169,172,30,ERRAUTHOR,"Мальчики. Сцена в 2 д. (По рассказу А. П. Чехова.) П.,' «Начатки знаний», 1924. (Детская театральная б-ка.) Стр. 23, т. 3 000, ц. 25 к."
173,174,31,ERRAUTHOR,"То же. Изд. 2-е, Л., «Начатки знаний», 1925. (Детская театральная б-ка.) Стр. 23, т. 6 2)0, ц. 25 к."
175,176,32,ERRAUTHOR,"Молодость и творчество великого изобретателя Эдисона. Биографии, рассказ. П., Гиз, 1923. Стр. 105, т. 7 000, ц. 40 к."
177,178,33,ERRAUTHOR,"Пущин в селе Михайловском. Страница из жизни Пушкина. П., Гиз, 1920. (Б-ка детского журн.«Детсюе чтение».) Стр. 39."
179,180,34,ERRAUTHOR,"П ^ески для малюток. Инсценировка басен И. И. Хемницера и И. А. Крылова. II., .<Начатки знаний», 1924. (Детская театральная б-ка.) Стр. 32, т. 3 000, ц. 30 к."
181,182,35,ERRAUTHOR,"То же. Изд. 2-е, Л., «Начатки знаний», 1925. (Детская театральная б-ка.) Стр. 32, т. 6 200, ц. 30 к."
183,186,36,ERRAUTHOR,"Пьесы для детей. П., «Начатки знаний», 1924. Стр. 96, т. 3 000. '*37. АВЕРИН В. Бесик. (История одного хорька.) Изд. 2-е, Кишинев, Бессарабское кн-во, 1918."
187,186,37,NOAUTHOR,MISSING
187,188,38,ERRAUTHOR,"То же. М., «Знание», 1924. (Б-ка юного натуралиста.) Стр, 20, т. 5 000, ц. 15 к."
189,194,39,NOAUTHOR,"АВЕРЧЕНКО А. Т. Рассказы о старой школе. Рис. К. Рудакова. М.—Л., Гиз, 1930. Стр. 57, т. 15 000, ц. 25 к. '40. АВИЛОВ М. Подшефные коммуны JS& 5. (Рассказ.) М.—Л., «ЗИФ»,‘ 1929. Стр. 119, т. 5 000, ц. 80 к."
195,194,40,NOAUTHOR,MISSING
