author_std,n,nolang,nas,langs,default,enforce
ФеоктистовС,2,0,1,нивхский,нивхский,
ФизулиМС,3,2,0,азербайджанский,азербайджанский,
ФирдоусиА,2,1,0,таджикский,таджикский,yes
Фич-ПеркинсЛ,21,5,14,английский,английский,yes
ФоксФР,4,0,3,английский,английский,yes
ФоминС,3,0,2,украинский,украинский,
ФонвизинДИ,41,0,40,французский,,no
ФранкоИЯ,28,1,9,украинский,украинский,
ФрансА,4,2,0,французский,французский,yes
ФучикЮ,13,1,3,чешский,чешский,yes
ХаггардГР,5,0,1,английский,английский,yes
ХаджимарчевИ,2,0,1,болгарский,болгарский,yes
ХадкевичТ,3,0,1,белорусский,белорусский,
ХакимС,8,1,0,татарский,татарский,
ХамидТ,2,0,1,узбекский,узбекский,
ХарлампьевГД,8,1,0,чувашский,чувашский,
ХаррисДЧ,17,8,2,английский,английский,yes
ХарузинаВН,2,0,1,африканские,,
ХемингуэйЭ,21,4,4,английский,английский,yes
ХетагуровК,11,1,6,осетинский,осетинский,
ХикматК,10,1,1,узбекский,узбекский,
ХогартЭ,3,0,1,английский,английский,yes
Хольц-БаумертГ,2,1,0,немецкий,немецкий,yes
ХомченкоВ,8,2,2,белорусский,белорусский,
ХорлоП,2,0,1,монгольский,монгольский,yes
ХоролВ,12,1,5,идиш,идиш,yes
ХристенкоИ,3,0,1,украинский,украинский,
ХромаджичА,3,0,0,сербохорватский;сербский,сербохорватский;сербский,
ХуаШ,5,0,1,китайский,китайский,yes
ХюмбургП,2,1,0,французский,,
ЦагараевМ,4,0,2,осетинский,осетинский,
ЦадасаГ,8,0,3,аварский,аварский,
ЦвиркаП,22,3,4,литовский,литовский,
ЦирулисГ,5,1,0,латышский,латышский,
Цур-МюлленГ,12,1,5,немецкий,немецкий,yes
ЧалыйБИ,13,0,3,украинский,украинский,
ЧаренцЕ,4,0,1,армянский,армянский,
ЧерныйК,2,0,1,чешский,чешский,yes
ЧернышевичА,2,0,1,белорусский,белорусский,
ЧжанТ,7,0,2,китайский,китайский,yes
ЧмыхалоА,3,0,1,хакасский,хакасский,
ЧокануА,2,0,1,молдавский,молдавский,
ЧуковскийКИ,601,0,592,английский,,no
ЧулгасьК,4,0,3,чувашский,чувашский,
ШаигА,9,0,1,азербайджанский,азербайджанский,
ШаларьАН,6,0,1,молдавский,молдавский,
ШамиловАШ,5,0,1,курдский,курдский,
ШамякинИП,2,0,1,белорусский,белорусский,
Шанкар,2,0,1,английский,английский,yes
ШахтамановО,2,0,1,аварский,аварский,
ШведерЕ,13,0,12,черногорский,,
ШевердинМ,2,0,1,узбекский,узбекский,
ШевердинаИМ,2,0,1,узбекский,узбекский,
ШевченкоТГ,28,0,19,украинский,украинский,
ШекспирВ,46,24,11,английский,английский,yes
ШесталовЮ,12,0,7,мансийский,мансийский,
ШиллерФ,11,3,3,немецкий,немецкий,yes
ШиловичГВ,4,1,0,белорусский,белорусский,
ШимЭЮ,42,0,41,грузинский,,
ШиряевВ,5,0,2,коми,коми,
ШляхуСГ,4,1,0,молдавский,молдавский,
ШманьГ,7,0,6,белорусский,белорусский,
Шолом-Алейхем,9,0,4,идиш,идиш,yes
ШомаховА,14,1,2,кабардино-черкесский,кабардино-черкесский,
ШуграеваВК,6,0,3,калмыцкий,калмыцкий,
ШульцДВ,12,2,3,английский,английский,
ЭвальдК,2,0,1,датский,датский,yes
ЭдиловХ,3,0,1,чеченский,чеченский,
ЭльчинТ,2,1,0,азербайджанский,азербайджанский,
ЭмануэльВ,4,0,2,английский,английский,yes
ЭмарГ,3,0,1,французский,французский,yes
ЭминескуМ,5,1,0,молдавский;румынский,молдавский;румынский,
ЭмсД,2,0,1,английский,английский,yes
ЭралиевС,4,1,0,киргизский,киргизский,
ЭрдинчФ,2,0,1,турецкий,турецкий,yes
ЭркайН,7,0,0,эрзянский;мордовский,эрзянский,
ЭркманЭ,2,0,1,французский,французский,yes
ЭшмамбетовК,7,1,0,киргизский,киргизский,
ЮксернВС,10,0,2,марийский,марийский,
ЮнкеА,7,1,0,испанский,испанский,yes
ЮргелевичИ,3,1,0,польский,польский,yes
ЮсуповН,22,0,1,лакский,лакский,
ЮхнинВ,5,2,0,коми,коми,
ЯкимовичА,11,0,2,белорусский,белорусский,
ЯкобсонВФ,2,0,1,латышский,латышский,
ЯковлевИ,5,0,4,чувашский,чувашский,
ЯкутскийНГ,5,0,1,якутский,якутский,
ЯрмышЮФ,8,0,4,украинский,украинский,
ЯхьяевМС,5,1,1,кумыкский,кумыкский,
братьяГримм,48,1,33,немецкий,немецкий,yes
де-КостерШ,3,0,2,французский,французский,yes
де-МопассанГ,3,1,1,французский,французский,yes
деАмичисЭ,5,0,3,итальянский,итальянский,yes
д’ЭрвильиЭ,20,2,12,французский,французский,yes
