author_std,wdname,qid,result,gender,sex,birth,death,birth_year,death_year,author
БондопадхайБ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Бондопадхай, Б."
БонзельсВ,"Бонзельс, Вальдемар",Q63055,1,-,male,NA,NA,1880;1881,1952,"Бонзельс, В."
БонифатьеваЛ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бонифатьева, Лидия"
БонифатьеваЛИ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бонифатьева, Л. И."
БонтанА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Бонтан, А.; Бонтан, Арна"
Бонч-БруевичВД,"Бонч-Бруевич, Владимир Дмитриевич",Q1282960,1,-,male,NA,NA,1873,1955,"Бонч-Бруевич, В.; Бонч-Бруевич, В. Д."
Бонч-БруевичВМ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Бонч-Бруевич, В. М."
Бонч-БуевичВД,NA,NA,NA,-,NA,NA,NA,NA,NA,"Бонч-Буевич, В. Д."
Бонч-ОсмоловскаяО,NA,NA,NA,f,NA,NA,NA,NA,NA,"Бонч-Осмоловская, О."
БончковскийА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бончковский, А."
БончковскийИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бончковский, Игорь"
БонюкВ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Бонюк, В."
Бор-РаменскийД,"Бор-Раменский, Дмитрий Петрович",Q4093404,1,m,male,NA,NA,1889,1965,"Бор-Раменский, Д."
БораненковНЕ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Бораненков, Н. Е."
БоргуновИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Боргунов, И."
