author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex
"Абрамов, С. А.","Выше радуги",Повести,1983,100000,NA,1,NA,NA,NA,м
"Авдеев, В. Ф.","Моя одиссея",Повесть,1984,100000,NA,NA,1,NA,NA,м
"Адамов, Г. Б.","Тайна двух океанов","Научно-фантаст. роман",1982,200000,NA,NA,1,NA,Ташкент,м
"Адамов, Г. Б.","Тайна двух океанов",Роман,1984,416000,NA,NA,1,NA,NA,м
"Азаров, Ю. П.",Призвание,"Публицистическая повесть",1983,75000,NA,1,1,NA,NA,м
"Акулов, Н. С.; Гребнев, Н. Н.","Несметное богатство",Рассказы,1982,100000,1,NA,NA,NA,Казань,мм
"Александрова, Н.А.","Четвертый в команде","Сборник рассказов",1983,50000,1,1,NA,NA,NA,ж
"Александрова, Э. Б.; Лёвшин, В. В","Искатели необычайных автографов, или Странствия, приключения и беседы двух филоматиков","Фантаст. трилогия",1982,100000,NA,1,1,NA,NA,жм
"Александрович, С. В.","Будь счастлив, неудачник!",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Алексеев, В. А.","Прекрасная второгодница","Повести и рассказы",1983,100000,NA,1,1,NA,NA,м
"Алексеев, В. К.","Жезл автоинспектор","Повесть. Рассказы",1984,100000,NA,1,1,NA,NA,м
"Алексеев, М. Н.",Драчуны,Роман,1984,100000,NA,1,1,NA,NA,м
"Алексеев, М. Н.",Карюха,Повесть,1983,700000,NA,NA,NA,NA,NA,м
"Алексеев, М. Н.",Карюха,Повесть,1984,100000,NA,NA,NA,NA,NA,м
"Алексеев, М. Н.","Цена ему - жизнь: (Слово о хлебе)",NA,1982,75000,NA,1,1,NA,NA,м
"Алексеев, М. Н.","Цена ему - жизнь: (Слово о хлебе)",NA,1984,50000,NA,NA,NA,NA,Омск,м
"Алексеев, Н. А.","Тогда шумела листва",Рассказы,1984,750000,1,NA,NA,NA,NA,м
"Алексеев, С. П.","Собрание сочинений",NA,1982,100000,NA,NA,NA,NA,NA,м
"Алексеев, С. П.","Собрание сочинений",NA,1983,100000,NA,NA,NA,NA,NA,м
"Алексеев, С. П.","Собрание сочинений",NA,1984,100000,NA,NA,NA,NA,NA,м
"Алексеев, С. П.","Сто рассказов о войне",NA,1984,100000,NA,1,NA,NA,NA,м
"Алексеева, А. И.","Пока рука держит кисть…","Повесть и рассказы (книга)",1982,100000,NA,1,NA,NA,NA,ж
"Алексин, А. Г.","А тем временем где-то…",Повести,1982,300000,NA,1,NA,NA,Киев,м
"Алексин, А. Г.","Домашний совет",Повести,1982,200000,NA,NA,1,NA,NA,м
"Алексин, А. Г.","""Мой брат играет на кларнете"" и другие повести",?,1983,900000,NA,NA,1,NA,NA,м
"Алексин, А. Г.",Повести,Повести,1984,100000,NA,1,1,NA,NA,м
"Алексин, А. Г.",Повести,Повести,1984,50000,NA,NA,1,NA,Ижевск,м
"Алексин, А. Г.","Раздел имущества, Ивашов и другие повести",Повести,1982,100000,NA,NA,1,NA,NA,м
"Алмазов, Б. А.",Презент,Повесть,1984,150000,1,NA,NA,NA,NA,м
"Алмазов, Б. А.","Я иду искать",Повесть,1982,150000,1,NA,NA,NA,NA,м
"Аматуни, П. Г.",Гаяна,"Фантастический роман",1983,30000,NA,1,1,NA,"Ростов н/Д",м
"Амлинский, В. И.","Бывший Машков переулок","Повести и рассказы",1984,200000,NA,NA,NA,NA,NA,м
"Андрианов, Ф. К.","Зарево над Рузаевкой","Повесть: Кн. 1 и 2",1984,15000,NA,1,1,NA,Саранск,м
"Андрианова, Г. П.; Никитин, А. И","Операция ""Золотой крест""","Приключенческая повесть",1983,15000,NA,NA,1,NA,Ставрополь,жм
"Анисимкова, М. К.",Ваули,Роман,1984,75000,NA,NA,NA,NA,NA,ж
"Анисимова, А. И.","На короткой волне",Повесть,1983,100000,NA,NA,NA,NA,NA,ж
"Арро, В. К.",Повести,NA,1982,150000,1,NA,NA,NA,NA,м
"Арсеньев, В. К.","Встречи в тайге",Рассказы,1982,200000,NA,1,NA,NA,Новосибирск,м
"Арсеньев, В. К.","Дерсу Узала",Повесть,1983,100000,NA,1,1,NA,Иркутск,м
"Арсеньев, В. К.","Дерсу Узала",Повесть,1984,300000,NA,1,1,NA,Тула,м
"Артеменко, Л. П.","Трудное лето Ромки Овчарова",Повесть,1983,30000,NA,NA,NA,NA,Воронеж,м
"Артюхова, Н. М.",Светлана,Повесть,1982,100000,NA,1,1,NA,NA,ж
"Архангельский, В. В.",Рыжик,Рассказы,1983,100000,1,NA,NA,NA,NA,м
"Архангельский, В. В.","Юность нового века",Повесть,1984,100000,NA,1,1,NA,NA,м
"Астафьев, В. П.","Бабушкин праздник",Рассказы,1982,300000,1,NA,NA,NA,NA,м
"Астафьев, В. П.","Бабушкин праздник",Рассказы,1983,200000,1,NA,NA,NA,NA,м
"Астафьев, В. П.","В тайге, у Енисея",Рассказы,1982,150000,1,NA,NA,NA,NA,м
"Астафьев, В. П.","Весенний остров",Рассказы,1983,300000,1,NA,NA,NA,NA,м
"Астафьев, В. П.","Конь с розовой гривой",Рассказы,1984,100000,1,NA,NA,NA,NA,м
"Астафьев, В. П.",Кража,Повесть,1983,50000,NA,1,1,NA,Красноярск,м
"Астафьев, В. П.","Последний поклон",Повесть,1983,300000,NA,1,NA,NA,NA,м
"Астафьев, В. П.",Стародуб,Повесть,1982,100000,NA,NA,1,NA,NA,м
"Астафьев, В. П.","Стрижонок Скрип",Рассказы,1982,2000000,1,NA,NA,NA,NA,м
"Астафьев, В. П.",Царь-рыба,"Повествование в рассказе",1984,150000,NA,NA,1,NA,NA,м
"Астафьев, В. П.","Ясным ли днем",Рассказ,1982,200000,NA,1,1,NA,Иркутск,м
"Бабушкин, В. Ф.","Кузька, шарышка и Петр Тимофеевич",Повесть,1982,200000,1,NA,NA,NA,Саратов,м
"Багров, С. П.","Воробьиное утро",Рассказы,1984,15000,1,NA,NA,NA,Вологда,м
"Багров, С. П.","Посреди Вселенной","Повесть в рассказах",1984,150000,1,NA,NA,NA,NA,м
"Бадигин, К. С","Кольцо великого магистра",Роман,1984,100000,NA,NA,1,NA,NA,м
"Баев, Г. К.","Волчья удочка",?,1984,30000,NA,1,1,NA,Ставрополь,м
"Бакланов, Г. Я.","Навеки - девятнадцатилетние",Повести,1982,200000,NA,NA,NA,NA,NA,м
"Балабаев, Г. В.","Острожок на Саранке",NA,NA,NA,NA,NA,NA,NA,Саранск,NA
"Балабуха, А. Д.","Люди кораблей","Фантастические повести",1983,100000,NA,1,1,NA,NA,м
"Баныкин, В. И.",Мачеха,Повести,1984,100000,NA,1,1,NA,NA,м
"Баныкин, В. И.","Там, где живут березы",Рассказ,1982,100000,1,NA,NA,NA,NA,м
"Барков, А. С.","Солнце в росе",Рассказы,1982,100000,1,NA,NA,NA,NA,м
"Баруздин, С. А.","Собрание сочинений",NA,1984,100000,1,NA,NA,NA,NA,м
"Баруздин, С. А.","Пионерский петух",Рассказы,1984,100000,1,NA,NA,NA,Кишинев,м
"Баруздин, С. А.",Светлана-пионерка,Рассказы,1982,300000,1,NA,NA,NA,Петрозаводск,м
"Баруздин, С. А.","Тоня из Семеновки","Маленькие повести и рассказы",1982,75000,NA,1,1,NA,NA,м
"Баруздин, С. А.","Шел по улице солдат",Рассказы,1982,2000000,NA,1,1,NA,NA,м
"Баскаков, В. Е.","Кружок на карте",Повести,1982,100000,1,NA,NA,NA,NA,м
"Батуев, А. М.",Призвание,"Рассказы и очерки",1982,100000,NA,1,NA,NA,NA,м
"Батурина, А. С.","Таежная ягода",Повесть,1984,100000,1,NA,NA,NA,NA,ж
"Баханцев, Д. Н.","Чужие следы",Повесть,1982,100000,1,NA,NA,NA,NA,м
"Бахарева, Л. П.","На золотом крыльце",Повести,1982,30000,NA,1,1,NA,Воронеж,ж
"Бахревский, В. А.","Дядюшка Шорох и шуршавы","Рассказы и сказка",1982,100000,1,NA,NA,NA,NA,м
"Бахревский, В. А.",Футбол,"Повести, рассказы, миниатюры, стихи",1984,100000,NA,1,1,NA,NA,м
"Бек, А. А.","Волокамское шоссе",Повесть,1982,100000,NA,1,1,NA,NA,м
"Бек, А. А.","Волокамское шоссе",Роман,1982,200000,NA,NA,NA,NA,NA,м
"Белинский, А. И.","Второй год войны",Повесть,1984,100000,NA,1,1,NA,NA,м
"Белов, Ю. П.",Угон,Повесть,1983,50000,NA,1,1,NA,Ашхабад,м
"Белозеров, Т. М.","Сладкая клюква",Рассказы,1983,100000,1,NA,NA,NA,Омск,м
"Белоусов, В. М.","Операция ""Рептилия""",Повесть,1984,30000,NA,1,1,NA,Мурманск,м
"Белых, Г. Г.; Пантелеев, Л.","Республика Шкид",Повесть,1983,210000,NA,NA,NA,NA,Ташкент,мм
"Беляев, А. Р.","Собрание сочинений",NA,1983,200000,NA,1,1,NA,NA,м
"Беляев, А. Р.","Голова профессора Доуэля","Научно-фантастический роман",1984,280000,NA,NA,1,NA,Волгоград,м
"Беляев, А. Р.","Звезда КЭЦ",Повесть,1984,100000,NA,1,1,NA,Иркутск,м
"Беляев, А. Р.","Изобретения профессора Вагнера",Рассказы,1983,100000,NA,1,1,NA,Кемерово,м
"Беляев, А. Р.",Человек-амфибия,Роман,1984,500000,NA,NA,1,NA,NA,м
"Беляев, А. Р.","Кто тебя предал?",Повесть,1982,100000,NA,NA,1,NA,NA,м
"Беляев, А. Р.","Старая крепость",Трилогия,1982,200000,NA,NA,1,NA,NA,м
"Бианки, В. В.","Первая охота",Рассказ,1982,500000,1,NA,NA,NA,NA,м
"Блинов, Н.Н.","Костер и парус",Повесть,1982,30000,NA,1,NA,NA,Архангельск,м
"Богданов, Н. В.","Гори, пионерский костер!",?,1982,150000,1,NA,NA,NA,NA,м
"Богданов, Н. В.","О смелых и умелых",?,1982,100000,1,1,NA,NA,NA,м
"Богданов, Н. В.",Фюнфкиндер,?,1984,100000,1,NA,NA,NA,NA,м
"Богданов, Н. В.","Хорошая пословица",Рассказы,1984,2000000,1,NA,NA,NA,NA,м
"Боголюбов, К. В.","Атаман Золотой","Повести: в сокращении",1983,75000,NA,NA,1,NA,Свердловск,м
"Богомолов, В. О.",Иван,Повесть,1983,100000,NA,1,1,NA,NA,м
"Богомолов, В. О.",Иван,Повесть,1984,250000,NA,1,1,NA,Ижевск,м
"Богомолов, В. О.","Момент истины: (В августе сорок четвертого)",Роман,1984,300000,NA,NA,NA,NA,NA,м
"Богучаров, М. А.","Отцовские рассказы про войну",Повесть,1982,30000,NA,1,1,NA,Воронеж,м
"Бодрова, А. Г.","Аринкино утро",Повесть,1982,100000,1,NA,NA,NA,NA,ж
"Божаткин, М. И.",Кладоискатель,Повесть,1983,30000,NA,1,1,NA,Одесса,м
"Болгарин, И. Я.; Северский, Л.Г.","Адъютант его превосходительства",?,1983,100000,NA,1,1,NA,Владивосток,м
"Бондарев, Ю. В.","Горячий снег",Роман,1982,144000,NA,NA,1,NA,Минск,м
"Бондарев, Ю. В.","Горячий снег",Роман,1982,100000,NA,NA,NA,NA,NA,м
"Бондарев, Ю. В.","Горячий снег",Роман,1983,100000,NA,NA,1,NA,NA,м
"Бондарев, Ю. В.","Горячий снег",Роман,1983,100000,NA,1,1,NA,NA,м
"Бондарев, Ю. В.","Горячий снег",Роман,1984,300000,NA,NA,NA,NA,NA,м
"Боровский, Ф.М.",Рыжий,"Повесть и рассказы",1984,50000,NA,1,1,NA,Иркутск,м
"Бородин, В.А.","Капитан Жек","Повесть и рассказы",1984,1500,NA,1,NA,NA,Архангельск,м
"Ботков, В. В.","Горизонты открываются в пути",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Боциев, Ю.Б.","Про кота Василия, болонку Микки и козла Сафара",?,1982,20000,1,NA,NA,NA,NA,м
"Браун, Ж.А.","Я умею рисовать трактор!",Рассказ,1982,150000,1,NA,NA,NA,NA,м
"Браун, Ж.А.",Переправа,Повесть,1984,100000,NA,NA,1,NA,NA,м
"Бриль, Ю.Г.","Не троньте лошадей!",Повесть,1983,75000,NA,NA,NA,NA,Свердловск,м
"Булычев, К. В.","Девочка из будущего…и другие повести",Повести,1984,100000,NA,1,1,NA,Кишинев,м
"Булычев, К. В.","Миллион приключений","Фантастическая Повесть",1982,100000,1,NA,NA,NA,NA,М
"Булычев, К. В.","Тайна третьей планеты","Фантастическая Повесть",1983,300000,NA,NA,NA,NA,NA,м
"Булычев, К. В.","Тайна третьей планеты","Фантастическая Повесть",1984,500000,NA,NA,NA,NA,NA,м
"Буренков, В.М.","Летние приключения в горах",Повести,1984,100000,NA,1,NA,NA,Алма-Ата,м
"Бухаловская, Н.Л.","Кличут трубы",Поветь,1983,15000,NA,NA,1,NA,Воронеж,д
"Вайнер, А.А.; Вайнер, Г.А.","Карский рейд",Повесть,1983,100000,NA,NA,1,NA,NA,мм
"Василенко, И.Д.",Артемка,Повесть,1984,100000,NA,1,NA,NA,NA,м
"Василенко, И.Д.","Волшебная шкатулка",?,1983,407000,NA,NA,NA,NA,NA,NA
"Васильев, Б. Л.","А зори здесь тихие...",Повесть,1984,200000,NA,NA,NA,NA,NA,м
"Васильев, Б. Л.","А зори здесь тихие...",Повесть,1984,100000,NA,NA,NA,NA,Кемерово,м
"Васильев, Б. Л.","А зори здесь тихие...",Повесть,1984,100000,NA,1,NA,NA,Улан-Удэ,м
"Васильев, Г.Н.","Почему лес плачет",Рассказы,1984,25000,NA,NA,NA,NA,Якутск,м
"Васильев, И.А.","Алые пилотки",Повесть,1983,750000,1,NA,NA,NA,NA,м
"Васильев, И.А.","В памяти живут люди",Повесть,1984,100000,NA,1,1,NA,NA,м
"Васильев, П.А.","Солнечный день",Повесть,1982,300000,1,NA,NA,NA,NA,м
"Васнецов, Ю. А.","10 книжек для детей",NA,1983,100000,NA,NA,NA,NA,NA,м
"Васюкова, Г. Г.","Тревожные дни",Повесть,1983,50000,NA,1,1,NA,Минск,ж
"Велтистов, Е. С.","Ноктюрн пустоты","Фантаст. роман",1982,75000,NA,NA,1,NA,NA,м
"Велтистов, Е. С.","Приключения Электроника","Фантаст. повести",1983,100000,NA,1,NA,NA,NA,м
"Верейская, Е. Н.",Таня-революционерка,Рассказ,1982,300000,1,NA,NA,NA,Петрозаводск,ж
"Вершигора, П. П.","Люди с чистой совестью",NA,1984,50000,NA,1,1,NA,Краснодар,м
"Виноградов, И.","На краю Родины",NA,1982,1000,1,NA,NA,NA,Петропавловск-Камчатский,м
