ФИО,Название,Жанр,Год издания,Тираж,Для младшего возраста,Для среднего возраста,Для старшего возраста,Примечания,Место издания,Пол
"Динин, С.",Враг-невидимка,Рассказы,1945,5000,0,1,0,1,Москва,м
"Довгаль, О.",На ловца и зверь бежит,,1942,15000,0,1,1,0,Тбилиси,м
"Дюбин, В. В.",Друзья,Повесть,1941,5000,0,1,0,0,Майкоп,м
"Емельянова, Н.",Колбат.Повесть о связной собаке,,1944,25000,0,1,0,0,Москва; Ленинград,ж
"Ершов, А.",Темкино счастье,Рассказ,1942,20000,0,1,0,0,Новосибирск,м
"Ефремов, И.",Белый рог,Рассказы,1945,30000,0,0,1,0,Москва,м
"Ефремов, И.",Пять румбов,Рассказы,1944,25000,0,0,1,0,Москва,м
"Ефремов, И.",Тень минувшего,Рассказы,1945,45000,0,0,1,0,Москва; Ленинград,м
"Жариков, Л.",Повесть о суровом друге,,1940,25000,0,0,1,0,Москва; Ленинград,м
"Житков, Б. С.",Рассказы,,1940,25000,0,1,1,0,Москва; Ленинград,м
"Замчалов, Г.",Рассказы,,1940,10000,0,0,1,0,Москва; Ленинград,м
"Зверев, С.",Удивительные превращения,,1945,30000,0,0,1,0,Москва,м
"Ильин, М.; Сегал, Е.",Как человек стал великаном,,1940,25000,0,1,1,0,Москва; Ленинград,м
"Ильин, М.; Сегал, Е.",Как человек стал великаном,,1941,25000,0,1,1,0,Москва; Ленинград,м
"Ильин, М.; Сегал, Е.",Как человек стал великаном,,1941,50000,1,1,0,0,Москва; Ленинград,м
"Каверин, В.",Два капитана,Роман,1940,25000,0,1,1,0,Москва; Ленинград,м
"Каверин, В.",Два капитана,Роман,1945,30000,0,0,1,0,Москва; Ленинград,м
"Каверин, В.",Два капитана,Роман,1945,30000,0,1,1,0,Москва; Ленинград,м
"Каверин, В.",Домик на холме,Рассказы,1941,50000,0,1,1,0,Ленинград,м
"Каверин, В.",Кнопка,Рассказ,1945,75000,0,1,1,0,Москва; Ленинград,м
"Каверин, В.",Орлиный залет,Рассказы,1942,35000,0,1,1,0,Москва; Ленинград,м
"Кальма, Н.",Большие шаги,Повесть,1940,100000,0,1,1,0,Москва; Ленинград,м
"Кальма, Н.",Девица-кавалерист,Повесть,1942,30000,0,1,0,0,Москва; Ленинград,м
"Кандыба, Ф.",Сестры Горские,Повесть,1941,25000,0,1,0,0,Москва; Ленинград,м
