Автор,Название,Жанр,"Год издания",Тираж,"Для мл. возраста","Для сред. возраста","Для старш. возраста",Примечания,Город,"Пол автора"
"Горбатов Б.","Игнат несогласный","Отрывок из повести",1946,75000,0,1,0,0,"Москва; Ленинград",м
"Грачёв А.","Тайна Красного озера",,1948,15000,0,0,1,0,Хабаровск,м
"Гриц Т.","Меткие стрелки",,1948,30000,0,1,0,0,"Москва; Ленинград",м
"Гроссман В.","Сын комиссара",,1946,75000,0,1,0,0,"Москва; Ленинград",м
"Губарев В.","Павлик Морозов",Повесть,1947,45000,0,1,0,0,Москва,м
"Губарев В.","Павлик Морозов",Повесть,1948,45000,0,1,0,0,"Москва; Ленинград",м
"Гумилевский Л.","Железная дорога",,1946,25000,0,0,1,1,Москва,м
"Гусев А.","Три беседы. Красное знамя. Красный галстук. Пионерское слово",,1948,50000,0,1,0,0,Москва,м
"Динин С.","Глоток воды",,1946,10000,0,1,0,0,Москва,м
"Долматовский Е.","Ровесники Октября",,1947,15000,0,1,0,0,"Москва; Ленинград",м
"Дюбин В.",Женя,Повесть,1947,40000,0,1,0,0,Майкоп,м
"Егоров И.","Роза - дочь Алана",Повесть,1946,15000,0,1,0,0,Ставрополь,м
"Емельянов Б.","Твой друг",Рассказы,1948,30000,0,1,0,1,"Москва; Ленинград",м
"Емельянова Н.",Колбат,Повесть,1946,20000,0,1,0,0,Горький,ж
"Житков Б.",Дяденька,Рассказы,1946,75000,0,1,0,0,"Москва; Ленинград",м
"Зверев М.","Заповедник Пёстрых гор",,1946,10000,0,1,0,1,Москва,м
"Зингер М.","Огонь в полночном океане",,1947,30000,0,1,0,0,"Москва; Ленинград",м
"Ильин М., Сегал Е.","Как человек стал великаном",,1946,30000,0,1,0,1,"Москва; Ленинград","м; ж"
"Ильина Е.","Четвёртая высота",Повесть,1946,30000,0,1,0,0,"Москва; Ленинград",ж
"Ильина Е.","Четвёртая высота",Повесть,1947,150000,0,1,0,0,"Москва; Ленинград",ж
"Ильина Е.","Четвёртая высота",Повесть,1948,150000,0,1,0,0,"Москва; Ленинград",ж
"Ильина Е.","Четвёртая высота",Повесть,1948,15000,0,1,0,0,Куйбышев,ж
"Исаковский М.","Ты по стране идёшь",,1947,75000,0,1,0,0,"Москва; Ленинград",м
"Каверин В.","Два капитана",Роман,1946,20000,0,0,1,0,Ленинград,м
"Каверин В.","Два капитана",Роман,1947,75000,0,1,0,0,"Москва; Ленинград",м
"Каверин В.","Два капитана",Роман,1947,75000,0,1,0,0,"Москва; Ленинград",м
"Каверин В.","Два капитана",Роман,1948,54000,0,0,1,0,"Москва; Ленинград",м
"Кальма Н.","Тетрадь Андрея Сазонова",Повесть,1947,30000,1,1,0,0,"Москва; Ленинград",ж
"Каменкович З.",Друг,,1947,15000,0,1,0,0,"Ростов н/Д",ж
"Капица П.","В открытом море",Повесть,1946,30000,0,0,1,0,"Москва; Ленинград",м
"Карнеев М.",Соперники,Повесть,1946,5000,0,1,0,0,Киров,м
"Кассиль Л.","Великое противостояние",Повесть,1947,45000,0,1,0,0,"Москва; Ленинград",м
"Кассиль Л.","Великое противостояние",Повесть,1948,75000,0,1,0,0,"Москва; Ленинград",м
"Кассиль Л.","Великое противостояние",Повесть,1948,10000,0,1,0,0,Рига,м
"Кассиль Л.","Великое противостояние",Повесть,1948,15946,0,1,0,0,Курск,м
"Кассиль Л.","Дорогие мои мальчишки",Повесть,1946,50000,0,1,0,0,"Москва; Ленинград",м
"Кассиль Л.","Дорогие мои мальчишки",Повесть,1948,150000,0,1,0,0,"Москва; Ленинград",м
"Кассиль Л.","Дорогие мои мальчишки",Повесть,1947,20000,0,1,0,0,Молотов,м
"Кассиль Л.","Дорогие мои мальчишки",Повесть,1948,10000,0,1,0,0,Воронеж,м
"Кассиль Л.","Есть на Волге утёс",,1947,75000,0,1,0,0,"Москва; Ленинград",м
"Кассиль Л.","Люди этого возраста",Рассказы,1948,30000,0,1,0,0,"Москва; Ленинград",м
"Кассиль Л.","Огнеопасный груз",Рассказ,1946,74000,0,1,0,0,"Москва; Ленинград",м
"Кассиль Л.","Повести и рассказы","Повести и рассказы",1948,50000,0,1,0,0,"Москва; Ленинград",м
"Катаев В.","Белеет парус одинокий",Повесть,1947,20000,0,1,0,0,Ленинград,м
"Катаев В.","Белеет парус одинокий",Повесть,1947,100000,0,1,0,0,"Москва; Ленинград",м
"Катаев В.","Сын полка",Повесть,1946,150000,1,1,0,0,"Москва; Ленинград",м
"Катаев В.","Сын полка",Повесть,1947,150000,1,1,0,0,"Москва; Ленинград",м
"Катаев В.","Сын полка",Повесть,1948,,1,1,0,0,"Москва; Ленинград",м
"Катаев В.","Сын полка",Повесть,1948,,1,1,0,0,"Москва; Ленинград",м
"Катаев В.",Флаг,,1946,75000,0,1,0,0,"Москва; Ленинград",м
"Катерли Е.","Гремячая башня",Повесть,1946,30000,0,1,1,0,"Москва; Ленинград",ж
"Киршина К.","На заре",Рассказы,1948,10000,0,1,0,0,Куйбышев,ж
"Ковпак С. А.","В Кремле",,1946,75000,0,1,1,1,"Москва; Ленинград",м
"Ковпак С. А.","От Путивля до Карпат","Литературная запись",1946,150000,0,1,1,1,"Москва; Ленинград",м
"Кожевников А.","У каменной гривы",Рассказ,1947,75000,0,1,1,0,"Москва; Ленинград",м
"Кожевников В.","Необыкновенный день",Рассказ,1947,75000,0,1,1,0,"Москва; Ленинград",м
"Коковин Е.","Детство в саломбале",Повесть,1947,15000,0,1,1,0,Архангельск,м
"Коковин Е.",Малыш-вожак,,1947,15000,1,1,0,0,"Москва; Ленинград",м
"Коковин Е.",Малыш-вожак,,1948,25000,1,1,0,0,Ставрополь,м
"Комаров П.","Золотая удочка",Рассказы,1947,25000,0,1,1,0,Хабаровск,м
"Комаров П.","Золотая удочка",Рассказы,1948,30000,1,1,0,0,"Москва; Ленинград",м
"Комаров П.","Лесной гость",,1945,10000,0,1,1,0,Хабаровск,м
"Кононенко Е.",Малыш,,1947,75000,0,1,1,0,"Москва; Ленинград",
"Кононенко Е.","Рассказы о Ленине",Рассказы,1946,20000,0,1,0,0,Куйбышев,
"Кононенко Е.","Рассказы о Ленине",Рассказы,1947,20150,1,0,0,0,Воронеж,
"Кононенко Е.","Рассказы о Чапаеве",Рассказы,1947,,1,0,0,0,"Москва; Ленинград",
"Кончаловская Н.","Наша древняя столица",,1947,50000,1,1,0,0,"Москва; Ленинград",ж
"Кончаловская Н.","Наша древняя столица",,1948,20000,1,1,0,0,"Москва; Ленинград",ж
"Короленко В. Г.","В дурном обществе",,1946,50000,0,1,1,0,"Москва; Ленинград",м
"Короленко В. Г.","В дурном обществе",,1948,15000,0,1,1,0,Минск,м
"Короленко В. Г.","Дети подземелья",,1948,200000,1,0,0,0,"Москва; Ленинград",м
"Короленко В. Г.","Купленный мальчик",,1947,15000,0,1,0,0,Сталинабад,м
"Короленко В. Г.","Слепой музыкант",,1948,100000,0,1,0,0,"Москва; Ленинград",м
"Короленко В. Г.","Слепой музыкант",,1948,7000,0,1,0,0,Воронеж,м
"Костылев В. И.","Андрей Чохов","Историческая повесть",1947,30000,0,0,1,0,"Москва; Ленинград",м
"Костылев В. И.","Кузьма Минин",Повесть,1948,30000,0,1,0,0,"Москва; Ленинград",м
"Котенко И.","Рассказы серебряного деда",Рассказы,1947,15000,0,1,0,0,"Ростов н/Д",м
"Кошевая Е.","Повесть о сыне",Повесть,1947,30000,0,1,0,0,"Москва; Ленинград",м
"Кошевая Е.","Повесть о сыне",Повесть,1948,150000,1,0,0,0,"Москва; Ленинград",ж
"Кошевая Е.","Повесть о сыне",Повесть,1948,45000,1,1,0,0,"Москва; Ленинград",ж
"Кошевая Е.","Красной армии - слава!",,1946,5000,1,1,0,0,Москва,ж
"Кратт И.","Путь к морю",Рассказы,1948,30000,1,1,0,0,"Москва; Ленинград",м
"Кратт И.","Суровый берег",Повесть,1947,30000,0,1,1,0,"Москва; Ленинград",м
"Крепин М.","Про охоту и рыбную ловлю",Рассказы,1948,6000,0,1,0,0,Новгород,м
"Крутиков А. Н.","Повесть о детстве",Повесть,1948,15000,0,1,0,0,Свердловск,м
"Кудинов И.А.","Юные огородницы",,1948,2000,0,1,1,0,Омск,м
"Кузнецова А.",Иришка-пулеметчица,,1942,10000,1,1,0,0,Иркутск,ж
"Кузнецова А.","Твой дом",,1948,15000,0,1,0,0,Иркутск,ж
"Кузнецова А.","Чортова дюжина",,1946,20000,0,1,0,0,Иркутск,ж
"Кунгуров Г.",Артамошка,"Историческая повесть",1948,10000,0,1,1,0,Иркутск,м
"Кунин К.","За три моря","Историческая повесть",1947,30000,0,1,1,0,"Москва; Ленинград",м
"Куприн А.","Белый пудель",,1947,100000,1,0,0,0,"Москва; Ленинград",м
"Куприн А.","Белый пудель",,1948,45000,1,0,0,0,"Москва; Ленинград",м
"Куприн А.","Белый пудель",,1948,,1,0,0,0,"Москва; Ленинград",м
"Куприн А.","Белый пудель",,1948,150000,1,0,0,0,"Москва; Ленинград",м
