author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex
"Абдуллин, А.","Белое молоко",Повесть,1976,100000,0,0,1,,Москва,м
"Абрамов, Ф.","Две зимы и три лета",Роман,1977,150000,0,0,1,,Ленинград,м
"Абрамов, Ф.","Из рассказов Олёны Даниловны",Рассказы,1978,300000,1,0,0,,Ленинград,м
"Алексеев, М. ",Карюха,Повесть,1978,100000,0,1,1,,Москва,м
"Алексеев, М. ",Карюха,Повесть,1978,10000,0,1,1,,Саратов,м
"Алексеев, О. ","Горячие гильзы",Повесть,1978,100000,1,0,0,,Москва,м
"Алексин, А.","Безумная Евдокия","Повести и рассказы",1978,100000,0,0,1,,Москва,м
"Алексин, А.",Повести,Повесть,1977,100000,0,1,1,,Москва,м
"Алексин, А.","Поздний ребенок","Повести и рассказы",1976,100000,0,0,1,,Москва,м
"Алексин, А.","Самый счастливый день",,1976,100000,1,0,0,,Москва,м
"Амлинский, В.","Жизнь Эрнста Шаталова","Роман. Повесть. Рассказы",1978,100000,0,0,1,,Москва,м
"Анненков, Ю.","Дерево жизни",Роман,1978,75000,0,0,1,,Москва,м
"Антонов, С.",Аленка,Повесть,1977,150000,0,0,1,,Москва,м
"Антонов, С.","Небольшие повести",Повесть,1976,100000,0,0,1,,Москва,м
"Арро, В.","Бананы и лимоны",Повесть,1977,100000,1,0,0,,Ленинград,м
"Арро, В.","Мой старый дом",Повесть,1976,150000,1,0,0,,Ленинград,м
"Артеменко, Л.",Выпускники,,1976,15000,0,0,1,,Воронеж,?
"Артюхова, Н.","Бабушка и внук",Рассказы,1976,250000,1,0,0,,Барнаул,ж
"Бажов, П.","Зеленая кобылка",Повесть,1976,150000,1,0,0,,Москва,м
"Бажов, П.","Зеленая кобылка",Повесть,1978,225000,1,0,0,,Иркутск,м
"Бальбуров, А.","Мы живем за Байкалом",Повесть,1976,50000,0,1,0,,Улан-Удэ,м
"Баныкин, В.","Вороньи качели",Рассказы,1978,150000,1,0,0,,Москва,м
"Баныкин, В.","Повести и рассказы","Повести и рассказы",1976,100000,0,1,1,,Москва,м
"Баранская, Н.","Отрицательная жизель","Повести и рассказы",1977,100000,0,1,1,,Москва,ж
"Барков, А.",Лукерья-кудесница,,1978,300000,1,0,0,,Москва,м
"Баруздин, С.","Повести и рассказы","Повести и рассказы",1977,100000,0,1,1,,Москва,м
"Баруздин, С.",Светлана-пионерка,Рассказы,1978,1500000,1,0,0,,Москва,м
"Батров, А.","Три бескозырки",Новеллы,1976,50000,0,1,0,,Киев,м
"Белкин, А.","Золотой меридиан",Повесть,1976,65000,1,1,0,,Ярославль,м
"Бляхин, П.","Красные дьяволята",Повесть,1977,200000,0,1,1,,Ленинград,м
"Богданов, Н.","Иван Тигров",Рассказы,1977,150000,1,0,0,,Москва,м
"Богданов, Н.","Когда я был вожатым",Повесть,1976,100000,0,1,1,,Москва,м
"Богданов, Н.","Самый главный",Рассказы,1976,100000,1,0,0,,Москва,м
"Богушевич, Ю.","Юность пришла ",Повесть,1977,100000,0,1,1,,Минск,м
"Бонч-Бруевич, В.","Ленин и дети",Рассказы,1976,1500000,1,0,0,,Москва,м
"Бородкин, Ю.","Санькино лето","Повести и рассказы",1976,100000,0,1,0,,Москва,м
"Бороздин, В.","Мальчишка с Корабельной",Повесть,1976,100000,0,1,0,,Москва,м
"Бочарников, В.","За горой Катаихой",Повесть,1977,100000,1,0,0,,Москва,м
"Браун, Ж.","Звонок из Ленинграда",Повесть,1978,100000,1,0,0,,Ленинград,ж
