ФИО,Название,Жанр,"Год издания",Тираж,"Для младшего возраста","Для среднего возраста","Для старшего возраста",Примечания,"Место издания",Пол
"Белых, Г.; Понтелеев, Л.","Республика Шкид",Повесть,1965,75,,1,,,Архангельск,м;м
"Белых, Г.; Понтелеев, Л.","Республика Шкид",Повесть,1966,75,,1,,,Архангельск,м;м
"Беляев, А.","Капитан Гастелло",,1964,200,1,,,,Москва,м
"Беляев, А.","Простились мы со школою",Повесть,1966,75,,,1,,Москва,м
"Беляев, В.","Голос Тараса. Первое оружие.",Рассказы,1965,300,1,,,,Москва,м
"Белянинов, А.","Мальчишки такие же, как ты",Повесть,1966,100,1,,,,Алма-Ата,м
"Белянинов, А.","Много дней впереди",Повести,1966,100,1,,,,Москва,м
"Бесхлебнов, Ю.","Золотой колос",Рассказы,1965,165,,,1,,Москва,м
"Бехтерев, Л.",Орленок,Повесть,1966,115,,1,,,Москва,м
"Бляхин, П.","Красные дьяволята",Повесть,1966,150,1,1,,,Воронеж,м
"Бляхин, П.","Красные дьяволята",Повесть,1966,100,1,1,,,Ярославль,м
"Богаткин, В.; Шмаринов, А.","Поездка на север",Рассказ,1964,200,1,,,,Москва,м;м
"Богданов, Н.","Когда я был вожатым",Повесть,1964,100,,,,,Москва,м
"Богданов, Н.","О смелых и умелых",Рассказы,1964,150,1,,,,Москва,м
"Богданов, Н.","Улыбка Ильича",Рассказы,1966,150,1,,,,Москва,м
"Богомолов, В.","Боцман с ""Авроры""",Повесть,1965,50,,1,,,Волгоград,м
"Богомолов, В.",Иван,Рассказ,1966,100,,,1,,Москва,м
"Бодунов, И.; Рысс, Е.","Записки следователя",,1966,75,,1,1,,Москва,м;м
"Большинцов, М.","Мальчик с Нарвской заставы",Рассказ,1964,100,,,,,Москва,м;м
"Бондаренко, П.","Тайна степного озера",Рассказы,1965,30,1,1,,,Воронеж,м
"Бондин, А.","Моя школа",Повесть,1966,50,,1,1,,Свердловск,м
"Борисов, Л.","Под флагом Катрионы",Роман,1965,50,,,1,,Ленинград,м
"Борисов, Л.","Свои по сердцу",,1966,50,,1,1,,Ленинград,м
"Борисов, Л.","Щедрый рыцарь. Цветы и слезы",Повести,1964,50,,,1,,Ленинград,м
"Ботков, В.","Горизонт открывается в пути",Повесть,1965,15,,1,,,Владивосток,м
"Браун, Ж.",Компас,Повесть,1965,100,1,,,,Ленинград,ж
"Бременер, М.","Тебе посвящается","Повесть и рассказы",1965,75,,,1,,Москва,м
"Брук Мнуха","Семья из Сосновска",Повесть,1965,75,,1,,,Москва,
