ФИО,Название  ,Жанр,Год издания,Тираж,Для младшего возраста,Для среднего возраста,Для старшего возраста,Примечания,Место издания,Пол
"Фадеев, А.",Разгром,Роман,1970,200,,,,,Ленинград,м
"Фадеев, А.",Разгром,Роман,1970,300,,,,,Москва,м
"Фадеев, А.",Разгром,Роман,1970,100,,,,,Элиста,м
"Фадеев, А.",Разгром,Роман,1971,40,,,,,Магадан,м
"Фадеев, А.",Разгром,Роман,1971,200,,,,,Москва,м
"Фадеев, А.",Разгром,Роман,1971,100,,,,,Хабаровск,м
"Файнберг, В.",Завтрашний ветер,,1970,100,,,,,Москва,м
"Фатуев, Р.",При осаде Салтов,Повесть,1970,100,,1,1,,Москва,м
"Федоровский, Е.","""Штурмфогель"" без свастики",Повесть,1971,100,,1,1,,Москва,м
"Федосеев, В.",Сейлсмен,,1970,50,,,1,,Москва,м
"Фомин, Л.",Парма,Повесть и рассказы,1971,50,,,,,Свердловск,м
"Фонякова, Э.",Хлеб той зимы,Повесть,1970,30,,1,1,,Новосибирск,ж
"Фраерман, Р.","Дикая собака динго, или повесть о первой любви",Повесть,1971,100,,1,,,Москва,м
"Френц, В.",Моя камчатка,,1971,900,,,,,Ленинград,м
"Фролова, М.",Гуси - красные лапки...,Повесть,1970,150,,,1,,Москва,ж
"Фролова, М.",Солнечная Северяния,Повесть,1970,30,,,,,Магадан,ж
"Хавкин, О.",Нилка,Повести,1971,100,,1,1,,Москва,м
"Хазанов, Ю.",Троллейбус в траве,Повесть и рассказы,1971,100,,,,,Москва,м
"Хазанович, Ю.",Свое имя,повесть,1970,75,,,,,Свердловск,м
"Хелемский, Я.",На темной ели звонкая свирель,,1971,75,,,1,,Москва,м
"Цуприк, Н.",На бывшей Жандармской,повесть,1971,15,,,,,Челябинск,ж
"Цюрупа, Э.","Доброе утро, мальчишки",повести,1971,100,1,,,,Москва,ж
"Чаплина, В.",Одна минута,рассказы,1971,14,,,,,Чебоксары,ж
"Чарушин, Е.",Никитка и его друзья,рассказы,1971,100,,,,,Воронеж,м
"Чарушин, Е.",Томкины сны,рассказы,1970,100,1,,,,Москва,м
"Черников, Н.",Наша красная звезда,,1971,100,1,,,,Москва,м
"Чудакова, В.",На тихой Сороте,повесть,1970,65,,1,,,Ленинград,ж
"Шадрин, А.",Следы на воде,повесть,1970,30,1,,,,Волгоград,м
"Шалимов, А.",Цена бессмертия,,1970,50,,1,1,,Ленинград,м
"Шапиро, Л.",Про меня и про всех,,1970,30,,,,,Петрозоводск,м
"Шеболдаев, К.",Старый маяк,рассказы,1970,100,1,,,,Москва,м
"Шейкин, А.",Резидент,,1970,75,,1,1,,Ленинград,м
"Шилов, А.",Мы были первыми,повесть,1971,100,,,,,Челябинск,м
"Шим, Э.",Вода на камешках,повести,1970,100,,,1,,Москва,м
"Ширяева, Г.",Гюрге-Дюрге-Дюк,повесть,1970,150,,1,1,,Саратов,ж
"Шишова, З.",Джек-Соломинкка,роман,1971,75,,1,,,Москва,ж
"Шкаровская, И.",Фонарик,рассказы,1970,65,1,,,,Киев,ж
"Шманкевич, А.",Вовка-зеленая фуражка,повесть,1970,100,1,1,,,Москва,м
"Шолохов, М.",Жеребенок,рассказ,1971,100,,,,,Ростов-на-Дону,м
"Шолохов, М.",Поднятая целина,роман,1971,100,,,,,Москва,м
"Юндин, И.",Хрустальный ключ,рассказы,1970,50,,,,,Алма-Ата,м
"Юрьев, З.",Рука Кассандры,повесть,1970,100,,1,1,,Москва,м
"Якир, С.",Белая коза с серебряным колокольчиком,рассказы,1971,30,,,,,Кишинев,ж
"Якир, С.",Жил-был двор,повести и рассказы,1971,100,,,,,Москва,ж
"Яковлев, Ю.",Где стояла батарея,рассказы,1971,100,1,,,,Москва,м
"Яковлев, Ю.",Девочки с Васильевского острова,рассказ,1970,100,1,,,,Москва,м
"Якушев, В.",Тайна одного грота,повесть,1970,15,,,,,Владивосток,м
"Ялугин, Э.","Мстиславцев посох, или страницы жизни рубежного города Мстиславля, тамашнего люда посполитого и отрока, имени Петрок, кому на роду написано в друкарской справе знатным мастерам стать и тем город свой меж иными прославить",повесть,1971,100,,,1,,Минск,м
"Ярмагаев, Е.",Возвращающий надежду,повесть,1971,50,,1,,,Ленинград,м
"Ярочкин, Б.",На старице,рассказы,1971,30,,,1,,Волгоград,м
