author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,lastname,ntitle
"Павлов, Б.",Вовка с ничейной полосы,рассказы,1971-01-01,100,NA,NA,NA,NA,Москва,м,Павлов,вовка с ничейной полосы
"Павлов, Б.",Дорога к дому,Рассказ,1965-01-01,100000,NA,NA,NA,NA,Москва,м,Павлов,дорога к дому
"Павлов, Б.",Мой друг Петька,NA,1971-01-01,150,TRUE,NA,NA,NA,Москва,м,Павлов,мой друг петька
"Павлов, Н.",Рассказы о Вадике и Жене,NA,1958-01-01,30000,TRUE,FALSE,FALSE,NA,Барнаул,М,Павлов,рассказы о вадике и жене
"Павлова, Е.",Дружба,NA,1955-01-01,30000,FALSE,TRUE,FALSE,NA,Кострома,ж,Павлова,дружба
"Павлова, Е.",Находка,NA,1958-01-01,30000,TRUE,FALSE,FALSE,NA,Кострома,Ж,Павлова,находка
"Павлова, Е.",Необыкновенное приключение. О простом и чудесном,Рассказы,1963-01-01,15000,TRUE,NA,NA,NA,Кострома,ж,Павлова,необыкновенное приключение о простом и чудесном
"Павлова, Е.",Славик и Леня,NA,1956-01-01,30000,TRUE,TRUE,FALSE,NA,Кострома,ж,Павлова,славик и леня
"Павлова, Н.",У всякой пташки свои замашки,NA,1958-01-01,115000,TRUE,FALSE,FALSE,NA,Москва,Ж,Павлова,у всякой пташки свои замашки
"Павловский, О.",Второе рождение Петьки Озерникова,Повесть,1966-01-01,30000,NA,TRUE,NA,NA,Кемерово,м,Павловский,второе рождение петьки озерникова
"Павловский, М.",Толя приехал на Сахалин,Рассказы,1962-01-01,30000,FALSE,TRUE,FALSE,FALSE,Ю-Сахалинск,м,Павловский,толя приехал на сахалин
"Паиков, В.",Как я рыдку ловил,Рассказы,1962-01-01,15000,TRUE,TRUE,FALSE,FALSE,Калинин,м,Паиков,как я рыдку ловил
"Палийчук, Б.",Алое кольцо,повесть,1971-01-01,30,NA,TRUE,NA,NA,Киев,м,Палийчук,алое кольцо
"Палькевич,Д.",Неведимка,NA,1942-01-01,50000,FALSE,FALSE,TRUE,FALSE,Москва; Ленинград,м,Палькевич,неведимка
"Пальман, В.",Красное и зеленое,Фантастич. роман,1963-01-01,65000,FALSE,TRUE,TRUE,FALSE,Москва,м,Пальман,красное и зеленое
"Пальман, В.",Кратер Эршота,Фантастич. роман,1963-01-01,75000,FALSE,TRUE,TRUE,FALSE,Краснодар,м,Пальман,кратер эршота
"Пальман, В.",Синие комбинезоны,Повесть,1964-01-01,30000,NA,TRUE,TRUE,NA,Москва,м,Пальман,синие комбинезоны
"Панов, Н","Боцман с ""Тумана""",Повесть,1961-01-01,75000,FALSE,FALSE,TRUE,FALSE,Кемерово,м,Панов,боцман с тумана
"Панов, А.",Девчонки и мальчикши,Рассказы,1963-01-01,30000,FALSE,TRUE,FALSE,FALSE,Ташкент,м,Панов,девчонки и мальчикши
"Панова, В.",Вера. Володя,Рассказы,1966-01-01,75000,NA,NA,TRUE,NA,Ленинград,ж,Панова,вера володя
"Панова, В.",Сережа,NA,1956-01-01,30000,FALSE,FALSE,TRUE,NA,Москва,ж,Панова,сережа
Пантелеев Л.,Гвардии рядовой,NA,1947-01-01,20000,FALSE,FALSE,FALSE,FALSE,Ташкент,м,Пантелеев,гвардии рядовой
Пантелеев Л.,На ялике,Рассказы,1948-01-01,45000,TRUE,TRUE,FALSE,FALSE,Москва; Ленинград,м,Пантелеев,на ялике
"Пантелеев, Л.",Новенькая,NA,1960-01-01,200000,TRUE,FALSE,FALSE,NA,Ленинград,М,Пантелеев,новенькая
Пантелеев Л.,Ночка,Рассказ,1948-01-01,150000,TRUE,FALSE,FALSE,FALSE,Москва; Ленинград,м,Пантелеев,ночка
Пантелеев Л.И.,Пакет,Повесть,1933-01-01,50325,NA,TRUE,NA,NA,М.-Л.,м,Пантелеев,пакет
Пантелеев Л.,Первый подвиг,NA,1946-01-01,15000,FALSE,FALSE,FALSE,FALSE,Петрозаводск,м,Пантелеев,первый подвиг
"Пантелеев, Л.",Повести и рассказы,Повести и рассказы,1954-01-01,75000,FALSE,TRUE,TRUE,FALSE,Ленинград,м,Пантелеев,повести и рассказы
"Пантелеев, И.",Тапочки,Рассказы,1963-01-01,30000,FALSE,TRUE,FALSE,FALSE,Иркутск,м,Пантелеев,тапочки
Пантелеев Л.И.,Часы,Повесть,1932-01-01,50000,NA,TRUE,NA,NA,М.-Л.,м,Пантелеев,часы
