Автор,Пол,Название,Год издания,Тираж,Место издания,Для младшего возраста,Для среднего возраста,Для старшего возраста,Примечания
"Матвеев, Г. ",М,Семнадцатилетние,1960,75000,Смоленск,0,1,1,
"Матвеев, Г. ",М,Тарантул,1958,20000,Алма-Ата,0,1,1,
"Матвеев, Г. ",М,Тарантул,1959,75000,Горький,0,1,1,
"Матвиенко, Н.",М,Петя-пограничник,1960,70300,Львов,1,0,0,x
"Матушкин, В.",М,Солдатский котелок ,1960,100000,Москва,0,1,0,
"Матюшин, М.",М,В большой семье,1958,90000,Москва,0,1,0,
"Махров, К.",М,Сердца первое волнение,1959,30000,Пермь,0,0,1,
"Медведев, Е.",М,Маринка,1958,30000,Барнаул,1,0,0,
"Медякова, Е.",Ж,Лев и Бобик,1958,15000,Свердловск,0,1,0,
"Мелентьев, В.",М,Солнце над школой,1958,15000,Иваново,0,1,0,
"Мелентьев, В.",М,Солнце над школой,1959,90000,Москва,0,1,0,
"Меттер, И.",М,Сердитый бригадир,1960,30000,Ленинград,0,1,1,
"Минутко, И.",М,Девочка из нашего класса,1959,115000,Москва,1,0,0,
"Минутко, И.",М,Жизнь и криключения Кубышки,1958,75000,Тула,1,1,0,
"Миронова, Д.",Ж,Потерянное детство,1959,90000,Москва,1,0,0,
"Митта, А.",М,Витя в тигровой шкуре,1960,125000,Москва,1,1,0,
"Михайлов, Р.",М,Тайной владеет пеон,1960,115000,Ленинград,0,1,1,
"Михайлова, В.",Ж,Алая лента,1960,45000,Симферополь,0,1,0,
"Михасенко, Г.",М,Кандаурские мальчишки,1959,30000,Новосибирск,0,1,0,
"Михеев, М.",М,"Капитаны 8 ""А""",1957,30000,Новосибирск,0,1,0,
"Михеев, М.",М,Президент пионерского клуба,1960,30000,Новосибирск,0,1,0,
"Могилевская, С.",Ж,"Гори, каш костёр!",1960,215000,Москва,1,0,0,
"Могилевская, С.",Ж,Марка страны Гонделупы,1958,100000,Москва,1,0,0,
"Молчанова, Л.",Ж,Детство Лены,1958,150000,Москва,0,1,0,
"Морозов, В.",М,В разведку шёл мальчишка ,1959,130000,Москва,1,1,0,
"Москвин, Н.",М,Лето летающих,1958,90000,Москва,0,1,0,
"Москвин, Н.",М,След человека,1959,90000,Москва,0,0,1,
"Мостовский, П. ",М,На каникулах,1958,30000,Москва,0,1,0,
"Мостовский, П. ",М,На каникулах,1958,15000,Красноярск,1,1,0,
"Мошковский, А.",М,Белые буруны,1959,100000,Москва,0,1,0,
"Мошковский, А.",М,Три белоснежных оленя,1960,115000,Москва,1,1,0,
"Мусатов, А.",М,Большая весна,1959,100000,Москва,0,1,0,
"Мусатов, А.",М,Варя,1960,100000,Москва,1,0,0,
"Мусатов, А.",М,Высокое небо,1960,15000,Благовещенск,0,0,1,
"Мусатов, А.",М,Гори ясно…,1960,125000,Москва,1,1,0,
"Мусатов, А.",М,Дождик не из тучки,1960,125000,Москва,1,0,0,
"Мусатов, А.",М,Дом на горе,1959,30000,Москва,0,1,0,
"Мусатов, А.",М,Земля молодая,1960,65000,Москва,0,0,1,
"Мусатов, А.",М,Стожары,1958,75000,Москва,0,1,0,
"Мусатов, А.",М,Стожары,1960,75000,Барнаул,0,1,0,
"Нагибин, Ю.",М,На озере Великом,1958,500000,Москва,1,0,0,
"Нагибин, Ю.",М,Трудное счастье ,1958,75000,Москва,0,0,1,
"Нагишкин, Д.",М,Тихая бухта,1959,100000,Благовещенск,1,1,0,
"Надеждина, Н.",Ж,Я вижу море,1959,315000,Москва,1,0,0,
"Назаренко, М.",Ж,На вершине,1959,30000,Новосибирск,0,1,0,
"Нарышкина, М.",Ж,Вавка,1960,15000,Ленинград,0,1,0,
"Наумов, С.",М,Тайна партизанского стана,1959,15000,Свердловск,0,1,0,
"Недоля, И.",М,Карагез,1960,30000,Краснодар,1,1,0,
"Незлобин, Н.",М,Кругосветная сумка,1958,700000,Москва,1,0,0,
"Нечаев, А.",М,Лесные тайны,1959,15000,Благовещенск,1,1,0,
"Никитенко, К.",Ж,Толбага - долина дружбы,1959,10000,Свердловск,0,1,0,
"Никитин, С.",М,Дорогой чести,1958,150000,Москва,0,1,1,
"Никитич, Н.",Ж,Андрюша идет в школу,1958,75000,Минск,1,0,0,
"Никонов, Н.",М,Мальчишки и девчонки,1958,15000,Свердловск,0,1,0,
"Никулин, Г.",М,Приключения Петьки Зулина,1960,80000,Ленинград,0,1,1,
"Никулин, М.",М,Жизнь впереди,1960,75000,Москва,0,1,1,
"Новогрудский, Г.",М,Дик с 12-й Нижней,1958,200000,Москва,0,1,0,x
"Носилов, К.",М,Северные рассказы,1959,200000,Ленинград,0,1,0,
"Носов, Е.",М,На рыбачьей тропе,1958,30000,Курск,0,1,0,
"Носов, Н.",М,Веселые рассказы и повести,1958,100000,Москва,1,0,0,
"Носов, Н.",М,Веселые рассказы и повести,1959,100000,Москва,1,0,0,
"Носов, Н.",М,Как Незнайкины друзья Винтик и Шпунтик сделали пылесос,1960,100000,Москва,1,0,0,x
"Носов, Н.",М,Незнайка в солнечном городе,1958,165000,Москва,1,0,0,x
"Носов, Н.",М,Незнайка в солнечном городе,1959,100000,Москва,1,0,0,x
"Носов, Н.",М,Незнайка в солнечном городе,1959,75000,Минск,1,0,0,x
"Носов, Н.",М,Приключения Незнайки,1959,100000,Москва,1,0,0,x
"Носов, Н.",М,Приключения Незнайки,1959,5000,Куйбышев,1,0,0,x
"Носов, Н.",М,Приключения Незнайки,1960,200000,Москва,1,0,0,x
"Носов, Н.",М,Незнайка-путешественник,1958,115000,Москва,0,1,0,x
"Носов, Н.",М,Приключения Незнайки и его друзей,1958,100000,Москва,1,0,0,x
"Носов, Н.",М,Приключения Незнайки и его друзей,1959,50000,Минск,1,0,0,x
"Носов, Н.",М,Приключения Незнайки и его друзей,1959,50000,Ташкент,1,0,0,x
