author_std,fullname,qid,gender,birth_year,death_year,author
КрасильниковИИ,NA,NA,m,NA,NA,"Красильников, И. И."
КрасильниковНН,NA,NA,m,NA,NA,"Красильников, Н. Н.; Красильников, Николай"
КрасильниковаЛП,NA,NA,f,NA,NA,"Красильникова, Л. П."
КрасильщиковА,NA,NA,m,NA,NA,"Красильщиков, А."
КрасильщиковВИ,"Красильщиков, Владимир Ильич",Q51669481,m,1924,1996,"Красильщиков, В. И."
КрасинВК,NA,NA,m,NA,NA,"Красин, В. К."
КрасицкийД,NA,NA,m,NA,NA,"Красицкий, Д.; Красицкий, Дмитрий"
КраскоЛМ,NA,NA,NA,NA,NA,"Краско, Л. М."
КраснерВГ,NA,NA,NA,NA,NA,"Краснер, В.; Краснер, В. Г."
КрасновА,NA,NA,m,NA,NA,"Краснов, Анатолий"
КрасновГВ,"Краснов, Георгий Васильевич",Q4238332,m,1937,2012,"Краснов, Г. В.; Краснов, Георгий"
КрасновИ,NA,NA,m,NA,NA,"Краснов, Иван"
КрасновНС,NA,NA,m,NA,NA,"Краснов, Н. С."
КрасноваМ,NA,NA,f,NA,NA,"Краснова, М."
КраснопевцевЕ,NA,NA,m,NA,NA,"Краснопевцев, Е."
КрасноперовА,"Красноперов, Алексей Фёдорович",Q4238991,m,1921,2006,"Красноперов, Алексей"
КрасноперовС,NA,NA,m,NA,NA,"Красноперов, С."
КраснощековА,NA,NA,m,NA,NA,"Краснощеков, А."
КраснощековВ,NA,NA,m,NA,NA,"Краснощеков, В."
КрасныеС,NA,NA,NA,NA,NA,"Красные, СЕВЫ"
КраснянскаяП,NA,NA,f,NA,NA,"Краснянская, Полина"
КрасовА,NA,NA,m,NA,NA,"Красов, А."
КрасовскаяГ,NA,NA,f,NA,NA,"Красовская, Галина"
КрасовскийА,NA,NA,m,NA,NA,"Красовский, Афанасий"
КрасовскийЛС,"Красовский, Леонид Станиславович",Q4239775,m,1930,1983,"Красовский, Л. С.; Красовский, Леонид"
КратохвилМ,"Кратохвил, Милош Вацлав",Q1935782,m,1904,1988,"Кратохвил, Милош В."
КраттИ,"Кратт, Иван Фёдорович ;Кратт, Иван Федорович",Q4239874,m,1899,1950,"Кратт, И.; Кратт, Иван"
КратюкВ,NA,NA,NA,NA,NA,"Кратюк, В."
КраузеГ,NA,NA,m,NA,NA,"Краузе, Ганс"
КрауиньК,NA,NA,m,NA,NA,"Крауинь, Карлис"
КнаутИ,NA,NA,m,NA,NA,"Кнаут, Иоахим"
КрафтФ,NA,NA,NA,NA,NA,"Крафт, Ф."
КрачковскаяА,NA,NA,f,NA,NA,"Крачковская, А.; Крачковская, Александра"
КрашенинниковА,"Крашенинников, Авенир Донатович",Q4239929,m,1933,1991,"Крашенинников, А.; Крашенинников, Авенир"
КрашенинниковНА,"Крашенинников, Николай Александрович",Q4239935,m,1878,1941,"Крашенинников, Н. А."
КрежВ,NA,NA,m,NA,NA,"Креж, Владимир"
КрейтанГ,"Крейтан, Георгий Владимирович",Q61710226,m,1900,1951,"Крейтан, Г."
КрейцвальдФР,NA,NA,m,NA,NA,"Крейцвальд, Ф.; Крейцвальд, Ф. Р.; Крейцвальд, Фридрих Рейихольд"
КрейцерВЛ,NA,NA,NA,NA,NA,"Крейцер, В. Л."
КрекшинЕ,NA,NA,m,NA,NA,"Крекшин, Е."
КрелинЮЗ,NA,NA,m,NA,NA,"Крелин, Ю. З."
КрельштейнБИ,NA,NA,NA,NA,NA,"Крельштейн, Б. И."
КремлевС,"Кремлев, Сергей",Q4096240,m,1951,NA,"Кремлев, С."
КренкельЭ,"Кренкель, Эрнст Теодорович",Q344460,m,1903,1971,"Кренкель, Э."
КрепеВМ,NA,NA,m,NA,NA,"Крепе, В.; Крепе, В. М.; Крепе, Владимир"
КрепинМ,NA,NA,m,NA,NA,"Крепин, М."
КресницкийК,NA,NA,m,NA,NA,"Кресницкий, К."
КрестинскийАА,"Крестинский, Александр Алексеевич",Q4240353,m,1928,2005,"Крестинский, А.; Крестинский, А. А.; Крестинский, Александр"
КрестьянскийД,NA,NA,m,NA,NA,"Крестьянский, Д."
КретоваОК,NA,NA,f,NA,NA,"Кретова, О. К."
КржижановскийГМ,NA,NA,m,NA,NA,"Кржижановский, Г. М."
КривельАМ,NA,NA,NA,NA,NA,"Кривель, А. М."
КривинФД,"Кривин, Феликс Давидович",Q201021,m,1928,2016,"Кривин, Ф.; Кривин, Ф. Д.; Кривин, Феликс"
КривицкаяЭ,NA,NA,f,NA,NA,"Кривицкая, Э."
КривицкийКЕ,NA,NA,m,NA,NA,"Кривицкий, К. Е.; Кривицкий, Ким."
КривичМ,NA,NA,NA,NA,NA,"Кривич, М."
КривичМА,"Кривич, Михаил",Q4152303,m,1938,NA,"Кривич, М. А."
КриволапоВЛ,NA,NA,NA,NA,NA,"Криволапо, В. Л."
КриволаповВ,NA,NA,m,NA,NA,"Криволапов, Валентин; Криволапов, В."
КривомазовНП,"Кривомазов, Николай Павлович",Q4240785,m,1947,2012,"Кривомазов, Н. П."
КривоносовА,NA,NA,m,NA,NA,"Кривоносов, А."
КривоносовЛ,NA,NA,m,NA,NA,"Кривоносов, Л.; Кривоносов, Лев."
КривоносоваЗА,NA,NA,f,NA,NA,"Кривоносова, З.; Кривоносова, З. А."
КривопаловВ,NA,NA,m,NA,NA,"Кривопалов, Владимир"
КривошапкинАВ,"Кривошапкин, Андрей Васильевич",Q4240861,m,1940,NA,"Кривошапкин, А. В."
Кривошеина,NA,NA,f,NA,NA,Кривошеина
КривошеинаСА,NA,NA,f,NA,NA,"Кривошеина, С. А."
КривошейИ,NA,NA,m,NA,NA,"Кривошей, Иван"
КригерЕ,"Кригер, Евгений Генрихович",Q4240974,m,1906,1983,"Кригер, Е."
КригерО,NA,NA,f,NA,NA,"Кригер, Ольга"
Крижанова-БриндзоваГ,NA,NA,f,NA,NA,"Крижанова-Бриндзова, Гелена; Крижанова-Бриндзова, Г."
КрижаускенеПП,NA,NA,NA,NA,NA,"Крижаускене, П. П."
КрикорянК,NA,NA,NA,NA,NA,"Крикорян, К."
КриммерА,NA,NA,NA,NA,NA,"Криммер, А."
КриммерЭ,NA,NA,NA,NA,NA,"Криммер, Э."
КриммерЭМ,NA,NA,NA,NA,NA,"Криммер, Э. М."
КриницкийМ,"Криницкий, Марк",Q4281790,m,1874,1952,"Криницкий, М."
КриничныйМ,NA,NA,m,NA,NA,"Криничный, М."
КристалинскийВГ,NA,NA,m,NA,NA,"Кристалинский, В. Г.; Кристаллинский, В."
КритскийВ,NA,NA,m,NA,NA,"Критский, В."
КрицкийВС,NA,NA,m,NA,NA,"Крицкий, В. С.; Крицкий, Вадим"
КричевскийИ,NA,NA,m,NA,NA,"Кричевский, Исаак"
КриштофЕГ,"Криштоф, Елена Георгиевна",Q92538682,f,1925,2001,"Криштоф, Е.; Криштоф, Е. Г.; Криштоф, Елена"
КрищенкоВД,NA,NA,NA,NA,NA,"Крищенко, В. Д."
КрольЮ,NA,NA,NA,NA,NA,"Кроль, Ю."
КронгаузВ,NA,NA,NA,NA,NA,"Кронгауз, В."
КроненбергАЕ,NA,NA,m,NA,NA,"Кроненберг, А. Я.; Кроненберг, Альберт"
КропоткинПА,"Кропоткин, Петр Алексеевич ;Кропоткин, Пётр Алексеевич",Q5752,m,1842,1921,"Кропоткин, П. А."
КроссЯ,"Кросс, Яан",Q161842,m,1920,2007,"Кросс, Я.; Кросс, Яан."
КроткийЭ,"Кроткий, Эмиль",Q4531648,m,1892,1963,"Кроткий, Э."
КротковВ,NA,NA,m,NA,NA,"Кротков, В.; Кротков, Василий"
КротовВЯ,NA,NA,m,NA,NA,"Кротов, В. Я."
КротовМ,NA,NA,m,NA,NA,"Кротов, Модест"
КроуфордЧП,NA,NA,NA,NA,NA,"Кроуфорд, Ч. П."
КрохинФ,NA,NA,m,NA,NA,"Крохин, Ф."
КрсмановичМ,NA,NA,f,NA,NA,"Крсманович, Мария"
КрубергЮ,NA,NA,NA,NA,NA,"Круберг, Ю."
КругликИ,NA,NA,f,NA,NA,"Круглик, Ирина"
КругликовГФ,NA,NA,m,NA,NA,"Кругликов, Г.; Кругликов, Г. Ф."
КругликоваЕС,NA,NA,f,NA,NA,"Кругликова, Е. С."
КругловА,"Круглов, Александр Васильевич",Q4241944,m,1852,1915,"Круглов, А."
КругловВ,NA,NA,m,NA,NA,"Круглов, В."
КругловГЕ,NA,NA,m,NA,NA,"Круглов, Г. Е."
КруговГ,NA,NA,m,NA,NA,"Кругов, Г."
КруговыхНП,NA,NA,NA,NA,NA,"Круговых, Н. П."
КрудоваНЮ,NA,NA,f,NA,NA,"Крудова, Н. Ю."
КрукЕ,NA,NA,NA,NA,NA,"Крук, Е."
КруминяЭ,NA,NA,f,NA,NA,"Круминя, Эмилия"
КрумовБ,NA,NA,m,NA,NA,"Крумов, Б."
КрундышевАА,NA,NA,m,NA,NA,"Крундышев, А. А."
КрупаткинБЛ,NA,NA,m,NA,NA,"Крупаткин, Б. Л."
КрупинВН,"Крупин, Владимир Николаевич",Q4242205,m,1941,NA,"Крупин, В. Н."
КрупинаР,NA,NA,f,NA,NA,"Крупина, Раиса"
КрупскаяНК,"Крупская, Надежда Константиновна",Q215637,f,1869,1939,"Крупская, Н. К."
КрустенЭ,"Крустен, Эрни",Q3743714,m,1900,1984,"Крустен, Эрни"
КрутецкийА,NA,NA,m,NA,NA,"Крутецкий, Алексей"
КрутецкийВ,NA,NA,m,NA,NA,"Крутецкий, В."
КрутиковАН,NA,NA,m,NA,NA,"Крутиков, А.; Крутиков, А. Н.; Крутиков, Александр"
КрутиковД,NA,NA,m,NA,NA,"Крутиков, Д."
КрутиковаНИ,NA,NA,f,NA,NA,"Крутикова, Н. И.; Крутикова, Нина"
КрутовЮП,NA,NA,m,NA,NA,"Крутов, Ю. П.; Крутов, Юрий"
КрутовскаяЕА,NA,NA,f,NA,NA,"Крутовская, Е.; Крутовская, Е. А.; Крутовская, Елена"
КрутогоровЮА,NA,NA,m,NA,NA,"Крутогоров, Ю. А.; Крутогоров, Юрий"
КрутянскийДИ,NA,NA,m,NA,NA,"Крутянский, Д. И."
КрученыхА,"Крученых, Алексей Елисеевич ;Крученых, Александр",Q721962,m,1886,1968,"Крученых, А."
КрученюкП,"Крученюк, Пётр Аксентьевич",Q60839010,m,1917,1988,"Крученюк, П."
КручинаА,NA,NA,f,NA,NA,"Кручина, А."
КручининСИ,NA,NA,m,NA,NA,"Кручинин, С. И."
КрушинскийС,NA,NA,m,NA,NA,"Крушинский, С.; Крушинский, Сергей"
КрчуловаГ,NA,NA,f,NA,NA,"Крчулова, Ганка"
КршижановскаяЕИ,NA,NA,f,NA,NA,"Кршижановская, Е.; Кршижановская, Е. И.; Кршижановская, Елена"
КрывелевИА,NA,NA,m,NA,NA,"Крывелев, И. А."
КрыжановскаяЕВ,NA,NA,f,NA,NA,"Крыжановская, Елена"
КрыжановскаяМЯ,NA,NA,f,NA,NA,"Крыжановская, М. Я."
КрыжановскийБ,NA,NA,m,NA,NA,"Крыжановский, Борис"
КрыжановскийВИ,NA,NA,m,NA,NA,"Крыжановский, В. И."
КрыловАА,"Крылов, Александр Абрамович",Q4242749,m,1789,1829,"Крылов, А. А."
КрыловАГ,"Крылов, Алексей Гаврилович",Q12114776,m,1913,1991,"Крылов, А.; Крылов, Алексей"
КрыловГВ,NA,NA,m,NA,NA,"Крылов, Г. В."
КрыловИА,"Крылов, Иван Андреевич",Q191480,m,1769,1844,"Крылов, И. А."
КрыловаЕ,NA,NA,f,NA,NA,"Крылова, Елена"
КрыловаМА,NA,NA,f,NA,NA,"Крылова, М. А."
КрыловаМД,NA,NA,f,NA,NA,"Крылова, М.; Крылова, М. Д."
КрымовЮС,NA,NA,m,NA,NA,"Крымов, Ю. С.; Крымов, Юрий"
КрысинЛП,NA,NA,m,NA,NA,"Крысин, Л. П."
КрыскаС,NA,NA,NA,NA,NA,"Крыска, С."
КрышкоМ,NA,NA,m,NA,NA,"Крышко, Михаил"
КрыщукНП,"Крыщук, Николай Прохорович",Q4243063,m,1947,NA,"Крыщук, Н. П."
КрэйгД,NA,NA,NA,NA,NA,"Крэйг, Д."
КрюгерЕВ,NA,NA,NA,NA,NA,"Крюгер, Е. В."
КрюгерМ,"Крюгер, Мария",Q11768981,f,1904,1999,"Крюгер, М."
КрюковА,NA,NA,m,NA,NA,"Крюков, А."
КрюковБ,NA,NA,m,NA,NA,"Крюков, Б."
КрюковЕ,NA,NA,m,NA,NA,"Крюков, Е."
КрюковМ,NA,NA,m,NA,NA,"Крюков, М."
КрюковаЛ,NA,NA,f,NA,NA,"Крюкова, Людмила"
КрюковаМС,"Крюкова, Марфа Семёновна",Q6759032,f,1876,1954,"Крюкова, М. С."
КрюндельАФ,NA,NA,NA,NA,NA,"Крюндель А. Ф. [шофер-слесарь автомобильного завода имени Сталина]"
КрюссД,"Крюс, Джеймс  ;Крюсс,",Q28147,m,1926,1997,"Крюс, Джеймс; Крюсс, Джеймс"
КрючекА,NA,NA,NA,NA,NA,"Крючек, А."
КрючковАП,NA,NA,m,NA,NA,"Крючков, А. П."
КрянгэИ,"Крянгэ, Ион",Q204810,m,1837,1889,"Крянге, Ион.; Крянгэ, И.; Крянгэ, Ион."
КсендзовВИ,NA,NA,m,NA,NA,"Ксендзов, В. И."
КсенинА,NA,NA,m,NA,NA,"Ксенин, А."
КссилаН,NA,NA,NA,NA,NA,"Кссила, Н."
КуантовАТ,NA,NA,m,NA,NA,"Куантов, А. Т."
КубаневВМ,"Кубанев, Василий Михайлович",Q4243550,m,1921,1942,"Кубанев, В. М."
КубанскийГВ,"Кубанский, Георгий Владимирович",Q4243502,m,1907,1976,"Кубанский, Г.; Кубанский, Г. В.; Кубанский, Георгий"
КубареваАП,NA,NA,f,NA,NA,"Кубарева, А. П."
КубаркинЛВ,NA,NA,m,NA,NA,"Кубаркин, Л. В."
КубилинекасК,NA,NA,m,NA,NA,"Кубилинекас, Костас"
КубилинскасК,"Кубилинскас, Костас",Q6433503,m,1923,1962,"Кубилинскас, К.; Кубилинскас, Костас"
КубинцевВМ,NA,NA,m,NA,NA,"Кубинцев, В. М."
КублицкийГИ,"Кублицкий, Георгий Иванович",Q4243651,m,1911,1989,"Кублицкий, Г.; Кублицкий, Г. И.; Кублицкий, Георгий"
КублоПЯ,NA,NA,NA,NA,NA,"Кубло, П. Я."
КубякТ,NA,NA,NA,NA,NA,"Кубяк, Т."
КуваевОМ,"Куваев, Олег Михайлович",Q4244170,m,1934,1975,"Куваев, О. М."
КувшиновИВ,NA,NA,m,NA,NA,"Кувшинов, И. В."
КугультиновДН,"Кугультинов, Давид Никитич ;Кугультинов, Давид Никитович",Q2634234,m,1922,2006,"Кугультинов, Д. Н.; Кугультинов, Давид"
КудажиК,NA,NA,NA,NA,NA,"Кудажи, Кызыл-Эник"
КудашС,"Кудаш, Сайфи Фаттахович",Q2618307,m,1894,1993,"Кудаш, С.; Кудаш, Сайфи"
КудашевВ,NA,NA,m,NA,NA,"Кудашев, В."
КудашеваРА,"Кудашева (Гедройц) Раиса Адамовна",Q4244371,f,1878,1964,"К. Р.; Кудашева, Р.; Кудашева, Р. А.; Кудашева, Раиса"
КуделлиПФ,NA,NA,NA,NA,NA,"Куделли, П. Ф."
КудимовВ,NA,NA,m,NA,NA,"Кудимов, В."
КудиновАИ,NA,NA,m,NA,NA,"Кудинов, А. И."
КудиновБ,NA,NA,m,NA,NA,"Кудинов, Б."
КудиновД,NA,NA,m,NA,NA,"Кудинов, Д."
КудиновИА,NA,NA,m,NA,NA,"Кудинов, И.; Кудинов, И. А."
КудиновИП,NA,NA,m,NA,NA,"Кудинов, Иван"
КудиновМ,NA,NA,m,NA,NA,"Кудинов, Михаил"
КудишкинВ,NA,NA,m,NA,NA,"Кудишкин, В."
КудлачевВС,NA,NA,m,NA,NA,"Кудлачев, В. С."
КудрешевИА,NA,NA,m,NA,NA,"Кудрешев, И. А."
КудринВ,NA,NA,m,NA,NA,"Кудрин, В."
КудринЛЯ,NA,NA,m,NA,NA,"Кудрин, Л.; Кудрин, Л. Я.; Кудрин, Леонид"
КудринаВМ,NA,NA,f,NA,NA,"Кудрина, В. М."
КудринаЛ,NA,NA,f,NA,NA,"Кудрина, Л."
КудрявскаяЛБ,NA,NA,f,NA,NA,"Кудрявская, Л. Б.; Кудрявская, Людмила"
КудрявцевА,NA,NA,m,NA,NA,"Кудрявцев, А.П."
КудрявцевВК,NA,NA,m,NA,NA,"Кудрявцев, В.; Кудрявцев, В. К."
КудрявцевМС,NA,NA,m,NA,NA,"Кудрявцев, М. С."
КудрявцевСС,NA,NA,m,NA,NA,"Кудрявцев, С.; Кудрявцев, С. С."
Кудрявцева-МолодчиковаЛП,NA,NA,f,NA,NA,"Кудрявцева-Молодчикова, Л.; Кудрявцева-Молодчикова, Л. П."
КудрявцеваВИ,NA,NA,f,NA,NA,"Кудрявцева, В. И.; Кудрявцева, Валентина"
КудрявцеваВМ,NA,NA,f,NA,NA,"Кудрявцева, В. М.; Кудрявцева, Вера"
КудрявцеваЛС,NA,NA,f,NA,NA,"Кудрявцева, Л. С."
КудрявцеваР,NA,NA,f,NA,NA,"Кудрявцева, Раиса"
КудряшевГ,NA,NA,m,NA,NA,"Кудряшев, Г."
КудряшевМ,NA,NA,m,NA,NA,"Кудряшев, М."
КудряшоваАА,NA,NA,f,NA,NA,"Кудряшова, А."
КудряшоваАЕ,NA,NA,f,NA,NA,"Кудряшова, А. Е."
КудряшоваВ,NA,NA,f,NA,NA,"Кудряшова, В."
КудряшоваС,NA,NA,f,NA,NA,"Кудряшова, С.; Кудряшова, Светлана"
КужельАВ,NA,NA,NA,NA,NA,"Кужель, А. В."
КузаковН,NA,NA,m,NA,NA,"Кузаков, Н.; Кузаков, Николай"
КузичевГ,NA,NA,m,NA,NA,"Кузичев, Г."
КузменкоС,NA,NA,NA,NA,NA,"Кузменко, С.; Кузменко, Ст."
КузминскийНА,NA,NA,m,NA,NA,"Кузминский, Н. А.; Кузминский, Николай"
КузнецЕН,NA,NA,NA,NA,NA,"Кузнец, Е. Н."
КузнецовА,NA,NA,m,NA,NA,"Кузнецов, А."
КузнецовАА,"Кузнецов, Александр Александрович (1926)",Q4244896,m,1926,2013,"Кузнецов, А. А."
КузнецовАВ,NA,NA,m,NA,NA,"Кузнецов, А. В.; Кузнецов, Анатолий"
КузнецовАГ,NA,NA,m,NA,NA,"Кузнецов, А. Г."
КузнецовАИ,"Кузнецов, Андрей Ирмович",Q4244926,m,1918,1978,"Кузнецов, А. И."
КузнецовАП,NA,NA,m,NA,NA,"Кузнецов, А. П."
КузнецовАР,NA,NA,m,NA,NA,"Кузнецов, А. Р."
КузнецовАС,NA,NA,m,NA,NA,"Кузнецов, А. С."
КузнецовАФ,NA,NA,m,NA,NA,"Кузнецов, А. Ф."
КузнецовАЮ,NA,NA,m,NA,NA,"Кузнецов, Андрей"
КузнецовБ,NA,NA,m,NA,NA,"Кузнецов, Б."
КузнецовВВ,NA,NA,m,NA,NA,"Кузнецов, В. В."
КузнецовВИ,NA,NA,m,NA,NA,"Кузнецов, В. И.; Кузнецов, Владимир"
КузнецовВН,NA,NA,m,NA,NA,"Кузнецов, В.; Кузнецов, В. Н.; Кузнецов, Василий"
КузнецовВП,NA,NA,m,NA,NA,"Кузнецов, В. П.; Кузнецов, Вадим"
КузнецовИГ,NA,NA,m,NA,NA,"Кузнецов, И. Г."
КузнецовИК,NA,NA,m,NA,NA,"Кузнецов, И.; Кузнецов, Исай"
КузнецовК,NA,NA,m,NA,NA,"Кузнецов, К."
КузнецовН,"Кузнецов, Николай Васильевич",Q4245029,m,1902,1958,"Кузнецов, Н."
КузнецовОА,NA,NA,m,NA,NA,"Кузнецов, О. А."
КузнецовОП,NA,NA,m,NA,NA,"Кузнецов, Олег"
КузнецовСИ,NA,NA,m,NA,NA,"Кузнецов, С. И.; Кузнецов, Сергей"
КузнецовФФ,"Кузнецов, Феликс Феодосьевич",Q4245074,m,1931,2016,"Кузнецов, Ф. Ф."
КузнецоваАА,"Кузнецова, Агния Александровна",Q4245093,f,1911,1996,"Кузнецова, А.; Кузнецова, А. А.; Кузнецова, Агния"
КузнецоваАВ,NA,NA,f,NA,NA,"Кузнецова, А. В.; Кузнецова, Аглая"
КузнецоваВВ,NA,NA,f,NA,NA,"Кузнецова, В. В."
КузнецоваВН,"Кузнецова, Вера Нестеровна",Q4245102,f,1908,NA,"Кузнецова, В."
КузнецоваЕ,NA,NA,f,NA,NA,"Кузнецова, Е.; Кузнецова, Евгения"
КузнецоваМ,NA,NA,f,NA,NA,"Кузнецова, М."
КузнецоваОИ,NA,NA,f,NA,NA,"Кузнецова, О.; Кузнецова, О. И."
КузнецоваСА,NA,NA,f,NA,NA,"Кузнецова, С. А."
КузнецоваЭВ,NA,NA,f,NA,NA,"Кузнецова, Э."
КузнецоваЭФ,NA,NA,f,NA,NA,"Кузнецова, Э. Ф.; Кузнецова, Эльвира"
КузницынЕ,NA,NA,m,NA,NA,"Кузницын, Е."
КузьминАИ,NA,NA,m,NA,NA,"Кузьмин, А.; Кузьмин, А. И."
КузьминВ,NA,NA,m,NA,NA,"Кузьмин, В."
КузьминВГ,NA,NA,m,NA,NA,"Кузьмин, В. Г.; Кузьмин, Валентин"
КузьминВЛ,NA,NA,m,NA,NA,"Кузьмин, В. Л.; Кузьмин, Владимир"
КузьминЛИ,"Кузьмин, Лев Иванович",Q4245352,m,1928,2000,"Кузьмин, Л.; Кузьмин, Л. И.; Кузьмин, Лев."
КузьминНП,NA,NA,m,NA,NA,"Кузьмин, Н. П.; Кузьмин, Николай"
КузьминОД,NA,NA,m,NA,NA,"Кузьмин, О. Д."
КузьминПС,NA,NA,m,NA,NA,"Кузьмин, П. С."
КузьминаВГ,NA,NA,f,NA,NA,"Кузьмина, В. Г."
КузьминаЛА,NA,NA,f,NA,NA,"Кузьмина, Л.; Кузьмина, Л. А.; Кузьмина, Людмила"
КузьминаН,NA,NA,f,NA,NA,"Кузьмина, Н."
КузьминовН,NA,NA,m,NA,NA,"Кузьминов, Н.; Кузьминов, Николай"
КуйбышевВ,NA,NA,m,NA,NA,"Куйбышев, В."
КуйбышеваЕВ,NA,NA,f,NA,NA,"Куйбышева, Е. В.; Куйбышева, Елена"
КуйвйыгиХ,NA,NA,NA,NA,NA,"Куйвйыги, Хейно"
КуйдинА,NA,NA,m,NA,NA,"Куйдин, А."
КукаевА,NA,NA,m,NA,NA,"Кукаев, А."
КуканбековС,NA,NA,m,NA,NA,"Куканбеков, Султан"
КукиноваВ,NA,NA,f,NA,NA,"Кукинова, В."
КуклачевЮД,NA,NA,m,NA,NA,"Куклачев, Ю. Д."
КуклинВ,NA,NA,m,NA,NA,"Куклин, Виталий"
КуклинГО,"Куклин, Георгий Осипович",Q4245761,m,1903,1939,"Куклин, Г.; Куклин, Г. О."
КуклинЛВ,"Куклин, Лев Валерианович",Q20745341,m,1931,2004,"Куклин, Л. В.; Куклин, Лев."
Кукрыниксы,NA,NA,NA,NA,NA,Кукрыниксы
КуксовВ,NA,NA,m,NA,NA,"Куксов, Владлен"
КукуевК,NA,NA,m,NA,NA,"Кукуев, Константин"
КукуевЛА,"Кукуев, Лев Архипович",Q4245849,m,1921,1992,"Кукуев, Л.; Кукуев, Л. А.; Кукуев, Лев."
КукулиевА,NA,NA,m,NA,NA,"Кукулиев, А.; Кукулиев, Амал"
КукуллуА,NA,NA,NA,NA,NA,"Кукуллу, Амалдан"
Кулага,NA,NA,NA,NA,NA,Кулага
КулагинБ,NA,NA,m,NA,NA,"Кулагин, Б."
КулагинВА,NA,NA,m,NA,NA,"Кулагин, В. А."
КулагинН,NA,NA,m,NA,NA,"Кулагин, Н."
КулагинаГ,NA,NA,f,NA,NA,"Кулагина, Г."
КулакНС,NA,NA,NA,NA,NA,"Кулак, Н. С."
КулаковА,NA,NA,m,NA,NA,"Кулаков, А."
КулаковД,NA,NA,m,NA,NA,"Кулаков, Д."
КулаковскаяНН,NA,NA,f,NA,NA,"Кулаковская, Н. Н."
КулаковскийЛВ,NA,NA,m,NA,NA,"Кулаковский, Л. В."
КулешовАА,"Кулешов, Аркадий Александрович",Q2632843,m,1914,1978,"Кулешов, А.; Кулешов, А. А.; Кулешов, Аркадий"
КулешовАП,"Кулешов, Александр",Q4327160,m,1921,1990,"Кулешов, А. П.; Кулешов, Александр"
КулешовВИ,NA,NA,m,NA,NA,"Кулешов, В. И."
КулешовИ,NA,NA,m,NA,NA,"Кулешов, И."
КулешоваВ,NA,NA,f,NA,NA,"Кулешова, В."
КулибайС,"Кулибай, Салях",Q13055989,m,1910,1976,"Кулибай, Салях"
КулиевКШ,"Кулиев, Кайсын Шуваевич",Q2630812,m,1917,1985,"Кулиев, К.; Кулиев, К. Ш.; Кулиев, Кайсын"
КуликА,NA,NA,NA,NA,NA,"Кулик, А."
КуликС,NA,NA,m,NA,NA,"Кулик, С.; Кулик, Сергей"
КуликовАМ,NA,NA,m,NA,NA,"Куликов, А. М."
КуликовАП,NA,NA,m,NA,NA,"Куликов, А.; Куликов, А. П.; Куликов, Александр"
КуликовГГ,NA,NA,m,NA,NA,"Куликов, Г.; Куликов, Г. Г.; Куликов, Геомар"
КуликовЛИ,"Куликов, Леонид Иванович",Q4246211,m,1924,1980,"Куликов, Л.; Куликов, Л. И.; Куликов, Леонид"
КуликовН,NA,NA,m,NA,NA,"Куликов, Н."
КуликовП,NA,NA,m,NA,NA,"Куликов, Петр"
КуликоваЕ,NA,NA,f,NA,NA,"Куликова, Е."
КуликоваК,NA,NA,f,NA,NA,"Куликова, К.; Куликова, Кира"
КуликоваМ,NA,NA,f,NA,NA,"Куликова, Мария"
КуличенкоВФ,NA,NA,NA,NA,NA,"Куличенко [Лир, В.]; Куличенко, В. Ф."
КулмыйЯ,"Кулмый, Якуб",Q580788,m,1918,1994,"Кулмый, Я."
КуловаЗ,NA,NA,f,NA,NA,"Кулова, З."
КулунчаковаБИ,NA,NA,f,NA,NA,"Кулунчакова, Б. И."
КулыгинМ,NA,NA,m,NA,NA,"Кулыгин, М."
КулышевЕ,NA,NA,m,NA,NA,"Кулышев, Е.; Кулышев, Евгений"
КульбакаСМ,NA,NA,NA,NA,NA,"Кульбака, С. М."
КульбинА,NA,NA,m,NA,NA,"Кульбин, А."
КульковаЕМ,NA,NA,f,NA,NA,"Кулькова, Е.; Кулькова, Е. М."
КульскаяИК,NA,NA,f,NA,NA,"Кульская, И. К.; Кульская, Инна"
КульскийЛА,NA,NA,m,NA,NA,"Кульский, Л. А."
КультиасовИМ,NA,NA,m,NA,NA,"Культиасов, И. М."
КулюкинАН,NA,NA,m,NA,NA,"Кулюкин, А. Н."
КулябинВ,NA,NA,m,NA,NA,"Кулябин, В."
КулябкоЮ,NA,NA,NA,NA,NA,"Кулябко, Ю."
КуляскинД,NA,NA,m,NA,NA,"Куляскин, Д.; Куляскин, Дмитрий"
КумакшевВ,NA,NA,m,NA,NA,"Кумакшев, В."
КуманинВ,NA,NA,m,NA,NA,"Куманин, В."
КуминоваА,NA,NA,f,NA,NA,"Куминова, А."
КуммаА,"Кумма, Александр Владимирович",Q4246965,m,1929,2011,"Кумма, А.; Кумма, Александр"
КунА,NA,NA,NA,NA,NA,"Кун, А."
КунНА,"Кун, Николай Альбертович",Q1975105,m,1877,1940,"Кун, Н. А."
КунаевА,NA,NA,m,NA,NA,"Кунаев, А.; Кунаев, Анатолий"
КунаевСД,NA,NA,m,NA,NA,"Кунаев, С. Д."
КунаевСП,NA,NA,m,NA,NA,"Кунаев, С. П."
КунаковМ,NA,NA,m,NA,NA,"Кунаков, М."
КунантаеваК,NA,NA,f,NA,NA,"Кунантаева, Куляш"
