author_std,fullname,qid,gender,birth_year,death_year,author
АверинВ,NA,NA,m,NA,NA,"Аверин, В.; Аверин, Вс."
АверченкоАТ,"Аверченко, Аркадий Тимофеевич",Q602217,m,1881,1925,"Аверченко, А. Т."
АверченкоВ,NA,NA,m,NA,NA,"Аверченко, Виталий"
АвижюсЙ,"Авижюс, Йонас",Q4055889,m,1922,1999,"Авижюс, И.; Авижюс, Йонас"
АвиловМ,"Авилов, Михаил Александрович",Q30199662,m,1907,1974,"Авилов, М."
Авилова,"Авилова, Лидия Алексеевна",Q4055905,f,1864,1943,Авилова
АвраменкоАИ,"Авраменко, Александр Иванович",Q4056018,m,1934,1974,"Авраменко, А. И."
АвраменкоИК,"Авраменко, Илья Корнильевич",Q2589706,m,1907,1973,"Авраменко, И.; Авраменко, И. К."
АврутинАЮ,"Аврутин, Анатолий Юрьевич",Q4056072,m,1948,NA,"Аврутин, А. Ю."
АвсеенкоИ,NA,NA,NA,NA,NA,"Авсеенко, И."
АвсюкевичВД,NA,NA,NA,NA,NA,"Авсюкевич, В. Д."
АвтократовН,"Автократов, Николай Васильевич",Q4056257,m,1894,1961,"Автократов, Н."
АвтономовВМ,NA,NA,m,NA,NA,"Автономов, В. М.; Автономов, Владимир"
АгаковЛ,"Агаков, Леонид Яковлевич",Q4056570,m,1910,1977,"Агаков, Л.Я.; Агаков, Леонид"
АганбегянАГ,NA,NA,NA,NA,NA,"Аганбегян, А. Г."
АгапкинаА,NA,NA,f,NA,NA,"Агапкина, А."
АгаповВД,"Агапов, Виктор Данилович",Q4056628,m,1939,2009,"Агапов, В. Д.; Агапов, Виктор"
АгаповСВ,NA,NA,m,NA,NA,"Агапов, С. В."
АгарвалС,NA,NA,NA,NA,NA,"Агарвал, Сатья Пракош"
АгарковБ,NA,NA,m,NA,NA,"Агарков, Борис"
АгасарянФ,NA,NA,NA,NA,NA,"Агасарян, Ф."
АгасовГ,NA,NA,m,NA,NA,"Агасов, Г."
АгатовВИ,"Агатов, Владимир Исидорович",Q4056697,m,1901,1966,"Агатов, В. И."
АгафоновАФ,NA,NA,m,1927,1995,"Агафонов, А. Ф.; Агафонов, Аркадий"
АгафошинНП,NA,NA,m,NA,NA,"Агафошин, Н. П."
АгашинаМК,"Агашина, Маргарита Константиновна",Q4056776,f,1924,1999,"Агашина, М.; Агашина, М. К.; Агашина, Маргарита"
АгаянГ,"Агаян, Газарос Степанович",Q426811,m,1840,1911,"Агаян, Г."
АгейкинГ,"Агейкин, Григорий Петрович",Q25687458,m,1924,2007,"Агейкин, Григорий"
АгзамМ,NA,NA,NA,NA,NA,"Агзам, М.; Агзам, Миразиз"
АгирреМ,"Агирре, Мирта",Q9033592,f,1912,1980,"Агирре, М."
АгишС,"Агиш, Сагит Ишмухаметович",Q4056954,m,1904,1973,"Агиш, Сагит"
АгишевР,"Агишев, Рустам Константинович",Q4056955,m,1913,1976,"Агишев, Рустам"
АгладзеА,NA,NA,NA,NA,NA,"Агладзе, А."
АгнивцевНЯ,"Агнивцев, Николай Яковлевич",Q4056993,m,1888,1932,"Агнивцев, Н. Я."
АграновскийАА,"Аграновский, Анатолий Абрамович",Q4057031,m,1922,1984,"Аграновский, А. А.; Аграновский, Анатолий"
АграновскийВА,"Аграновский, Валерий Абрамович",Q4057033,m,1929,2000,"Аграновский, В. А.; Аграновский, Валерий"
АдалисА,"Адалис, Аделина Ефимовна",Q4057234,f,1900,1969,"Адалис, А."
Адалло,NA,NA,NA,NA,NA,Адалло
АдаменкоПЯ,NA,NA,NA,NA,NA,"Адаменко, П. Я."
АдамескуАА,NA,NA,NA,NA,NA,"Адамеску, А. А."
АдамовА,NA,NA,m,NA,NA,"Адамов, А.; Адамов, Адам"
АдамовГБ,"Адамов, Григорий Борисович",Q941438,m,1886,1945,"Адамов, Г.; Адамов, Г. Б.; Адамов, Григорий"
АдамовичАМ,"Адамович, Алесь М ;Адамович, Александр Михайлович",Q52488,m,1927,1994,"Адамович, А. М."
АдамовичЕ,NA,NA,NA,NA,NA,"Адамович, Е."
АдамовичПА,"Адамович, Пётр А",Q11817234,m,1961,NA,"Адамович, П. А."
АдамсЕ,NA,NA,NA,NA,NA,"Адамс, Е."
АдамсонЭ,NA,NA,m,NA,NA,"Адамсон, Эрик"
АдамянН,"Адамян, Нора Георгиевна",Q16395885,f,1910,1992,"Адамян, Н."
АдгамоваС,"Адгамова, Сарвар Сабировна",Q13207180,f,1901,1978,"Адгамова, Сарвар"
АдельЕ,NA,NA,NA,NA,NA,"Адель, Ел."
АджиевА,"Аджиев, Анвар Абдулгамидович",Q4057535,m,1914,1991,"Аджиев, Анвар"
АджиевМЭ,"Аджиев, Мурад Эскендерович",Q4057536,m,1944,2018,"Аджиев, М.; Аджиев, М. Э."
АдировичЭ,NA,NA,NA,NA,NA,"Адирович, Э."
АдлаЗ,"Адла, Зденек",Q10724985,m,1910,1990,"Адла, З."
АдловаВ,"Адлова, Вера",Q10723775,f,1919,1999,"Адлова, Вера"
АдольфД,NA,NA,NA,NA,NA,"Адольф, Д."
АдольфН,NA,NA,NA,NA,NA,"Адольф, Н."
АдриановСН,NA,NA,m,NA,NA,"Адрианов, С. Н."
АдуевН,"Адуев, Николай Альфредович",Q4058000,m,1895,1950,"Адуев, Н."
АдуевскийВ,NA,NA,m,NA,NA,"Адуевский, В."
АешинРИ,NA,NA,m,NA,NA,"Аешин, Р. И."
АжаевВ,"Ажаев, Василий Николаевич",Q289504,m,1915,1968,"Ажаев, В."
АзаровВБ,"Азаров, Всеволод Борисович",Q15063917,m,1913,1990,"Азаров, В. Б."
АзаровК,NA,NA,m,NA,NA,"Азаров, К."
АзаровНИ,NA,NA,m,NA,NA,"Азаров, Н. И."
АзаровЮП,"Азаров, Юрий Петрович",Q4058151,m,1931,2012,"Азаров, Ю. П."
АзбукинБ,NA,NA,m,NA,NA,"Азбукин, Б.; Азбукин, Борис"
АзбукинД,NA,NA,m,NA,NA,"Азбукин, Д."
АзерниковВ,"Азерников, Валентин Захарович",Q4058283,m,1934,NA,"Азерников, Валентин"
АзимзадеА,"Азимзаде, Азим Аслан",Q2511637,m,1880,1943,"Азимзаде, Азим"
АзовДС,NA,NA,m,NA,NA,"Азов, Д. С.; Азов, Дмитрий"
АзовМ,"Азов, Марк Яковлевич",Q106438107,m,1925,2011,"Азов, М."
АзрапкинЮ,NA,NA,m,NA,NA,"Азрапкин, Юрий"
Айбек,"Айбек,",Q2393152,m,1904,1968,Айбек
АйбиндерГ,NA,NA,NA,NA,NA,"Айбиндер, Г."
АйвазоваЕ,NA,NA,f,NA,NA,"Айвазова, Е."
АйвазянА,NA,NA,NA,NA,NA,"Айвазян, А."
АйдарА,NA,NA,NA,NA,NA,"Айдар, Асгат"
АйдинянГ,NA,NA,NA,NA,NA,"Айдинян, Г."
АйзенвортА,"Айзенворт, Анатолий",Q15723879,m,1910,1942,"Айзенворт, А."
АйзенгардтФ,NA,NA,NA,NA,NA,"Айзенгардт, Ф."
АйзенштадтГИ,NA,NA,NA,NA,NA,"Айзенштадт, Г. И."
АйзенштатЛ,NA,NA,NA,NA,NA,"Айзенштат, Л."
АйзманГ,"Айзман, Гарри Эдуардович",Q7128459,m,1913,1979,"Айзман, Гарри"
АйларовИ,"Айларов, Измаил Харитонович",Q24938170,m,1924,2018,"Айларов, Измаил"
АйлислиА,"Айлисли, Акрам",Q4059788,m,1937,NA,"Айлисли, А."
АйниС,"Айни, Садриддин Саидмурадович",Q558794,m,1878,1954,"Айни, С.; Айни, Садриддин; Айни, Садрэддин"
АйпинЕД,"Айпин, Еремей Данилович",Q4058936,m,1948,NA,"Айпин, Е. Д."
АйтбаеваА,"Айтбаева, Айым",Q25601700,f,1917,1975,"Айтбаева, Айым"
АйтматовЧ,"Айтматов, Чингиз Торекулович",Q484292,m,1928,2008,"Айтматов, Ч.; Айтматов, Чингиз"
АкаевК,"Акаев, Кубаныч",Q25597918,m,1919,1982,"Акаев, К."
АкбальянЕР,NA,NA,NA,NA,NA,"Акбальян, Е. Р."
АкбаровМ,NA,NA,m,NA,NA,"Акбаров, М."
АкентьевВ,NA,NA,m,NA,NA,"Акентьев, В.; Акентьев, Владимир"
АкерР,NA,NA,m,NA,NA,"Акер, Рудольф"
АкиевК,NA,NA,m,NA,NA,"Акиев, К."
АкимЯЛ,"Аким, Яков Лазаревич",Q4059481,m,1923,2013,"Аким, Я.; Аким, Я. Л.; Аким, Яков"
АкимкинИ,NA,NA,m,NA,NA,"Акимкин, И."
АкимовВМ,NA,NA,m,NA,NA,"Акимов, В. М."
АкимовКИ,NA,NA,m,NA,NA,"Акимов, К. И."
АкимовичА,NA,NA,NA,NA,NA,"Акимович, А."
АкимушкинИИ,"Акимушкин, Игорь Иванович",Q4059559,m,1929,1993,"Акимушкин, И.; Акимушкин, И. И.; Акимушкин, Игорь"
