Абакумов Н.	2983
Абдуллаев М.	2221, 2307
Аввакумов Н. М.	3036
Августинович Е.	2905
Авдеев Ю.	701
Авербух Я.	544, 1212, 2417
Аверьянов М.	178, 267, 2958
Аврутис Е. А.	711
Агаев Г. А.	2349
Агевин В. И.	1629
Агибалов В.	2925
Адамкевич В.	163
Адамов Е.	29, 478, 2958, 3122, 3403
Адливанкин С.	561
Ажгихин Б. С.	458
Аксельрод М.	1517, 2196
Акуринин М.	503, 504, 2896
Алейников А.	2212, 2923, 2957, 2984, 3034
Александрова Т.	958, 1060, 2196
Алексеев В.	280, 423, 859, 958, 1081, 1248, 2483, 2779, 3256
Алексеев В. М.	12, 366, 1018, 2944
Алексеев Г.	2992
Алексеев М.	29, 674, 1445, 1446, 1469, 1470, 1494, 2011, 2012, 2035, 2223, 2755, 2756, 2921, 2946, 2984, 3034
Алексеева Ю.	2544
Алимов А.	1892
Алимов Г.	29, 160, 329, 736, 814, 1783, 2323, 2324, 2958, 2959
Алфеевский В.	150, 517, 735, 936, 1203—1205, 2152, 2377, 2484, 2485, 2487, 2490, 2492, 2550, 2749, 2934, 3230
Альменов Б. М.	1910, 2159, 2160
Алюхин С.	495, 496
Андреев В.	3059
Андреев Н.	750—753
Андреев Ю.	3101
Андриевич А.	2957, 2984
Андриевич В.	2497, 3018, 3398
Андриенко В.	2957, 3037
Андриолли.	2644, 2645, 2647, 2650
Анжанов А.	1664, 1666, 1667
Антокольская Н.	2510, 2728
Антоненко И.	605
Антонов В.	610
Антонов Е.	1230
Аланович В.	2905
Антощенко В. О.	153, 1401
Аргунов И.	2921
Аргутинский Е. К.	271, 1323, 1380, 1678
Аржекаев Б.	724, 1026, 2390, 2414, 2905
Аристов Л. В.	3087
Аркадьев Г. В.	3285
Артамонов В. А.	1249
Артемьев И.	1815, 2878—2880
Арутюнянц А.	2905
Архангельская И.	66, 67, 579, 580, 1178, 1419, 1632, 2012, 2016, 2017, 2019, 2131, 2132, 2958, 2959, 2984
Архипов И.	557, 1547, 1560, 1630, 1683, 1877, 1933, 2039, 2041, 2043, 2367, 2594, 2836, 2837, 2977, 3092
Архипов Т.	2451
Арцеулов К. К.	321, 858, 1267, 1285, 1490, 1583, 1796, 3133, 3229, 3240, 3241, 3542
Асеев П.	2358
Асланова М.	2958
Астапов И.	914
Афанасьева Е.	117, 119, 154, 208, 3069
Ахметзянов Х. Ш.	2262
Бабаев Р.	2448
Бабанин Ф.	977, 1610, 3083
Бабиченко Д.	1343
Балабин А. Ф.	3028
Балакин И.	1439
Балакин С. В.	2986, 2987
Балашов Г.	3069
Балашов Х. С.	1937
Балдаев Ф. И.	1645, 2384
Барабошин С.	399, 3184, 3333, 3339, 3579, 3589, 3708, 3723
Баранов К.	381, 607, 758, 1728
Барановский А.	1640
Баранчеев М. С.	1284
Бардина Р. Н.	1074, 1426, 1492, 1742, 2362, 2955, 2956
Бармашин К.	2925, 3348
Басманов П.	3040
Басманова Н.	1431, 2960
Басов В.	750—753
Батурин В.	3029
Батурин Н. В.	708
Бачурин Е.	588, 757, 3146
Башкирцев В. С.	660
Баюскин В.	509, 510
Безбородов К.	3037
Безносов М. И.	2353
Безукладников Г.	3047
Бек И.	2890, 2899, 2923, 2925
Бекетов И.	1072, 2131, 2132
Белов В. М.	1512, 2284
Белов И.	2519
Белов К. П.	162, 270, 900, 901
Белов М.	2131, 2132, 2705, 305
Белова Е.	2958
Белоземцев Н.	704, 3198, 3270, 3343, 3425
Белозубов Г.	3352
Белоусов Н.	750—753
Белоусов П.	1036, 3069, 3113
Белышев В. А.	2922, 3034
Бельдюсов Ю.	179, 1395
Бельский В.	58, 3016
Бельский М.	2157, 2305
Бельтюков Б.	757, 2973
Белюкин А.	1771, 2474
Беляев С. С.	1278
Берлин Е.	3273
Берман Г.	2981
Бескакотов А.	3078
Биан-Феглейн И.	2547,
Бибиков Б.	3054
Бибиков В.	2902
Билль А. Ф.	1739, 1905, 2316, 2984
Бирюков М.	626, 3030
Бисти Д.	67, 316, 754, 1057, 1060, 1138, 1140, 1271, 1660, 1731, 1883, 2543, 2660, 2899, 3030, 3160, 3171, 3181, 3206—3209, 3262, 3310, 3326
Битный М.	2925
