Ахматова А.	3871, 3889, 3907, 3920
Ахматова Раиса.	3871
Ахметов М.	3093
Ахундова Алла.	122, 3094, 3095
Ахунов Тариф.	3096
Аша Дэви.	3828
Ашальчи Оки.	3871
Аюпова М.	3871
Бабаджан Т.	4527
Бабаев Э.	123
Бабаевский С.	124
Бабев Петр.	3870
Бабель И.	3895
Бабенко Н.	125
Бабусенкова Н.	2006
Бабушкин В.	126
Бабушкин Д.	3825
Бабушкин И.	3770
Багандов Газим-Бег.	3861
Баграк П.	127
Багрицкий Вс.	3922
Багрицкий Э.	128— 130, 3857, 3859, 3887, 3907, 3920, 3936
Багряк П.	3844
Багряна Е.	3870
Бадаев А.	3902
Бадигин К.	131, 132, 3828, 3940
Бадридзе Е.	3828
Баева А.	133, 3938
Баженов В.	3805
Бажов П.	134— 138, 3782, 3794, 3798, 3805, 3836, 3895, 3909
Баздырев А.	139, 140
Баймурадов А.	3097
Байрамукова Х.	3871
Байтемиров Н.	3098, 3855
Бак М.	3851
Бакаев Н.	3099
Бакалдин В.	141— 143
Бакалинский Г.	3956
Бакалов Л.	3782, 3851
Бакбергенов С.	3880
Бакулев А.	3784
Балабуха А.	3932
Балакирев М.	3828
Баландин Р.	3982
Балаховская И.	4528, 4592
Балашенко Г.	4070
Балибин Г.	3883
Балкарова Ф.	3871
Балл Георгий.	150— 155, 3933
Балодис Л.	3815
Балашов В.	144, 145
Балашов Вл.	146, 147
Балдин Г.	148, 149
Балсис Э.	3851
Бальбуров А.	156, 3983
Бальзак Оноре де.	3555
Бальцежак Я.	3556
Бамдас С.	3835
Бамм Р.	4574
Бандакова Н.	4529
Банецкий К.	2989
Банина Н.	4017
Банк Н.	4447
Банников А. Г.	3590
Баньковский Лев.	3824
Баныкин В.	157, 158, 3829
Баранов О.	4530
Баранова Г.	4381
Баранцева Е.	3932
Баратынский Е. А.	3811, 3889, 3906
Барашев П.	3827
Барбюс А.	3940
Бардин И.	3901
Баренц Сергей.	3775
Барков А.	160, 3984
Барков А.	159
Барлина Г.	3845
Барри Дж. М.	3557, 3558
Барсамов Н.	3985
Барский Л.	9799
Барсова И.	3986
Бартев Г.	3945
Барто Агния.	161— 188, 3772, 3786, 3805, 3828, 3829, 3838, 3841, 3846, 3856, 3871, 3907, 3911, 3924, 3931, 3934, 4464
Барто Павел.	189
Баруздин С.	97, 98, 190— 199, 220, 1055, 1795, 2098, 2678, 3346, 3805, 3816, 3828, 3838, 3841, 3934. 3936, 3987
Басиев М.	3089, 3100
Басина М.	206, 207, 3786
Басистова Н.	4213
Баскаченко И.	4014
Бастиан Хорст.	3559
Батров А.	208—210
Батуев А.	3800, 3801, 4017
Батузов А.	4015
Батц Генрих.	3803
Батц Сэм.	3785
Батцев А.	3799
Бать Лидия.	211
Батюшков К. Н.	3889
Баханцев Д.	3800
Бахаровская З.	212
Бахревский В.	3828
Бахревский Владислав.	213—215, 3988
