Бадигин К.	102, 103, 4549
Бадмаев Ц.-Б.	2765, 3605
Баженов В.	3564
Бажов П.	104—107, 3579, 3590
Базоркин И.	108
Базунов Б.	4212
Базыль В.	3656
Байбакова А.	4211
Байгабылов Т.	3671
Байдерин В.	109, 3710, 3770
Байков П.	4213
Байрон Д Г.	3183
Байсал Ф.	3669
Байтеряков Н.	3605
Байчоров М.	3579
Бакалдин В.	110, 111
Бакинский В.	3616
Балабанов В.	4140
Балакина О.	3711
Балаш А.	3772
Балашов В.	112, 113, 3662
Балвант Гарги.	3502
Балданжабан Ж.	2766
Балл Г.	114, 115
Балтер Б.	3158, 3165, 3582
Балтрунас А.	2767
Балуева Н.	3564
Бамм Р.	4557
Бандо Е.	3772
Бандуренко Е.	3522, 3594
Банк С.	116
Баныкин В.	117, 118
Бао Фань.	3581а
Барабанов Л.	3522
Баранов И.	119, 3657
Баранов С.	120
Баранова М.	3773, 3774
Баранова Т.	3738, 3740
Барановская Р.	3634
Бараташвили В.	121
Бараташвили М.	3530
Баратынский Е. А.	3534, 3617, 3673, 3721
Барбюс А.	3621
Бардунов Л.	4214
Баркова Т.	4572
Бармашин К.	4215
Бармин А.	3546
Барроуз М.	3649
Барто А.	122—141, 3511, 3513, 3521, 3523а, 3534, 3544, 3581—3583, 3595—3597, 3611, 3638, 3675, 3703, 3723а
Барто П.	3527, 3534
Баруздин С.	142—156, 2772, 3513, 3515, 3527, 3534, 3591, 3595, 3596, 3611, 3704, 4524
Бархударян Р.	3599, 3616
Барыбин С.	157
Барышев М.	158, 159
Барышникова (Куприяниха) А.	2644
Басина М.	3549, 3550, 3551, 3557
Баскаков В.	160
Басс Э.	3184
Батманов В.	3775
Батов Н.	3710
Батожабай Д.	2768, 2769, 3605
Батозская И.	161, 162
Батров А.	163, 164
Батурина Н.	165, 166
Батыр В.	168
Батыров А.	3547
Бать Л.	167, 3019, 3692
Батюшков К. Н.	3585, 3617
Баумволь Р.	169—171, 3527, 3595, 3596, 3611
Бауэр Г.	3581а, 3583
Бахаровская З.	172
Бахревский В.	3583, 3625, 4080
Бацылев Е.	3742
Баширов Г.	3579, 3651
Башмаков В.	173, 3552, 3580
Баюканский А.	174, 3657
Баян О.	3776
Бгажба Х.	3164
Бебан М.	2770
Бебекин А.	3550, 3552, 3555
Бегалин С.	2771, 3574
Бедарев О.	175—183, 3494, 3595—3597, 3611, 3723а
Бедный Д.	184, 3629
Безобразова А.	3518
Безыменский А.	185, 3575, 3602, 3629, 3701
Бейлин А.	3600, 3622
Бейшеналиев Ш.	2772, 2773
Бекетова М.	3534
Бекмурзаев А.	3671
Бектенов К.	2774
Бекхожин Х.	3574
Белавенцева Г.	3725
Белахова М.	1369
Белев Г.	3185
Белеков А.	3671
Беликова С.	3865
Белинович Н.	186—190, 3476, 3527
Белинский В. Г.	4515, 4516
Белкина М.	191
Белковский М.	3706
Белов А.	3751, 4548
Белов Б.	3618
Белов В.	192
Белов К.	3724
Белоглазова Р.	193
Белозеров Т.	194, 195, 3565, 3577, 3724
Белоконь Н.	4517
