Вагин В.	327, 348, 525, 1046, 1120, 1227, 1266, 1562, 1614, 1628, 1677, 1680, 1738, 1762, 1763, 1766, 1771, 1791, 1805, 1816, 1845, 1950, 2841, 3323.
Валериус В.	2625.
Валетов Г.	73, 1100, 1718.
Вальк Г.	26, 296, 481, 558, 681, 750, 931, 1016, 1021, 1205, 2204, 2304, 2501, 2506, 2569, 2799.
Вальтер Э.	2146.
Вальцефер В.	500, 1051, 2138.
Ванюков Е.	2130, 2506.
Варшамов Р.	1092, 2100, 2634.
Василенкайте З.	2194.
Васильев В.	272, 597, 2854.
Василев Н. И.	2684, 4352.
Васильев О.	162, 175, 1080, 1918, 1919, 2018, 2183, 2380, 2383, 2474, 2641.
Васильев Ю.	2845.
Васильева Т.	5, 1320, 1575.
Васин А.	614, 615.
Васнецов Ю.	168, 169, 674, 1503, 1513, 1869, 1892, 1909, 1928, 2286.
Васнецова Е.	1191, 2497, 2498.
Ватагин В.	2353.
Вахрамеев В. Н.	2821.
Ведерников Е.	2616.
Вейцлер В.	2740.
Векслер А.	653.
Векслер В. А.	49.
Вендер А.	2071, 2076.
Верейский О.	41, 201, 255, 320, 326, 1192, 1338, 1339, 1342, 1343, 1344, 1403, 1404, 2494, 2511, 2840, 3280.
Верещагин Г. Г.	953, 1395.
Верижников Б. И.	2637.
Верховский С.	2707.
Верхоланцев М.	2807.
Веселова Т.	937.
Ветик М. И.	2903.
Ветрогонский В.	63.
Вечерский Ю.	1025.
Вешапури В. З.	421, 2749.
Виденский М. С.	1893.
Вильнер В.	37, 278, 558.
Викланд И.	2366.
Викторов Е. В.	2604.
Виноградова Л. Г.	273, 1101, 2205.
Винокур В.	670, 705, 1166, 2028, 2443, 2506.
Винокуров Б.	1021, 1084, 1382.
Винокуров Д.	1089, 1497.
Владимиров С. А.	1461.
Владимирский Л.	277, 1360, 1367, 2402.
Власенко Д. Д.	723.
Власов Б.	554, 2497.
Власов В.	1619, 1620, 1621, 2250.
Войшвилло Е.	2497, 2498, 2676, 2699 d 2750, 2800, 2886, 2887.
Волков А.	951, 2139, 2173, 2174.
Волков Н. П.	384.
Вольгушев Е. И.	709, 1301.
Вольский Р.	4, 315, 516, 602, 769, 1233 1550, 1989, 2060, 2079, 2082, 2325 2500, 2746, 3029.
Вольштейн Л.	548.
Воробьев Н.	900, 1007.
Воронкин В.	2249.
Воронцова З.	208, 1078, 1472, 2596 2652.
Врона К.	3063, 3072, 3112, 3120.
Высоцкий В.	154 ,224, 257, 291, 754, 1247 1721, 1803, 2335, 2352, 2500, 2511.
Высоцкая К.	2491.
Вязников В.	1545.
Вяльял С.	2119.
Гавриленко В. А.	1303.
Гаврилин Е. В.	2910, 2915, 2926, 2928, 3011.
Гаврилкевич Е.	568, 2405.
Гаврилко В.	3062, 3084.
Гаврилов Е.	3093, 3108, 3109, 3110.
Гагаркина Л.	146.
Гадиев М. Ш.	665.
Галацкий В.	572.
Галевиус А.	1595.
Г алей Е.	2692.
Галицкий В.	799.
Галумов Г.	1933.
Галумова Е.	1933.
Гальба В.	1494.
Гальдяев В.	6, 32, 42, 46, 70, 131, 595, 608, 616, 925, 926, 1127, 1242, 1838, 2494, 2951.
Гамбургер Л.	975.
Гянррц Р Р 1.
Ганнушкин Е.	1761, 2349, 2718, 2855, 3335.
Ганнушкина С.	890.
Гапоненко А.	1554.
Гапоненко Т.	1848, 1854.
Гармаев Ц. Г.	1810.
Гармыза Л.	275.
Гаспарян Дж. Е.	2107.
Гашимов Э.	2159.
Гаянов З. Г.	2949.
Гвоздева О.	1132.
