Брихничев Ю.	2089
Бродалько А.	119, 3490
Бродский В.	3752
Бродский С.	1448, 2245, 2564, 3503
Брок Г.	3265, 3268, 3269, 3379
Боонников И.	1388
Бруни И.	137, 141, 331, 339, 2423,4242
Брусиловский М.	3543, 3555, 3577
Брюлин И.	327 3635—3638, 3701, 3805
Брюханов Д.	598, 1200, 1201, 1941
Бубенщиков В.	953, 1373, 1727, 2204, 2230, 2244, 2275, 3499—3501
Бубнов А.	2443, 2444
Бубнов Ю.	3595
Будогосский Э.	334
Буйначев В.	3500
Булатов Ж.	2819
Булатов Э.	703, 741
Булгаков Б.	2700, 2701, 3960
Булгаков Г.	1756, 2141, 4015
Бундин В.	3192, 3553, 3554
Бундин В.	386, 630, 1957
Бургункер Е.	100, 2313, 3506, 3621 3725
Бурзалов М.	3500, 3501
Бурлак В.	144
Бусурин В.	1236
Буторов К.	3153, 3154
Буханов Г.	3640
Бухтеев В.	58
Бушмелева М.	2749
Быков Л.	2435, 3725
Быков Ф.	2713, 3590, 3725
Быльев Н.	967, 2651, 3474, 3474а
Бялковская С.	1873, 1874
Вальк Г.	128, 140, 1253, 1254, 1274, 1368, 1492, 1545—1547, 1556, 1567, 2032, 2034, 2075, 3187, 3262, 3544, 3581а, 3582, 3611
Вальтер И.	1539, 3161а, 3540, 3550
Вальцефер В.	57, 218, 302, 1086, 2888, 3552, 3599, 4002
Ванеев А.	26
Ванециан А.	2444
Ванюков Е.	116, 368, 369, 602, 855, 1387, 2217, 2122, 2422, 2978, 3574 3611, 3631, 3861, 3939, 3963
Вардзигулянц Р.	3621
Варвар И.	3510, 3550, 4125
Васильев Б.	3043
Васильев В.	1503, 1523, 1825, 1882, 2479, 3214, 3393, 3700
Васильев В.	358, 1018, 1476, 1478, 1479, 1481, 1695, 2126, 2464, 2465, 2778, 2781, 3403, 3493, 3656, 3657, 3909
Васильев В.	1846, 1849, 3609
Васильев Г.	1175
Васильев Е.	1171, 1172, 1182,3677,3682
Васильев Л.	2919
Васильев О.	3925, 4117
Васильев Ю.	665, 2777, 2972
Васин А.	13, 14, 70, 643, 1487, 1971, 2700, 2701, 3281, 3571, 4067
Васнецов Ю.	1293, 1788, 2297, 2592—2594, 2650, 2657, 2658, 2660, 2670, 2672, 2676, 2677, 2679—2681, 2690, 2735, 2736, 2738, 2740, 3549—3552, 3554, 3653, 3654
Васнецова И.	3639
Ватагин В.	1692, 1693, 3251, 3252
Вахер Э.	2913
Веденеев С.	1625, 2041
Ведерников Е.	2894
Ведская Е.	2318
Вежливцев В.	1070
Величко М.	4026
Величко Н.	1702, 3974
Вендер А.	2875 ,
Вендров Л.	1269, 3841, 3885
Вербицкая М.	628
