А. С.	4451, 6961.
Валуцкий С.	600, 1077, 2406, 5626, 5643, 7546, 8469.
Вано И.	1408, 1409.
Варич С.	1063, 1189, 1415, 1416, 5541, 6359, 6956.
Васильев А.	5820.
Васильев В.	587, 856, 1035, 1589, 1753, 1772, 2122, 2861, 3188, 3414, 3468, 3479, 3561, 3924, 4022, 4412, 5116, 5124, 5536, 5696, 5880, 5969, 6163, 6788, 7026, 7089, 7778, 7885, 8461, 8928, 8937, 9200, 9273, 10596, 10878.
Васильев Г.	668, 679, 721, 1434, 4466, 8396, 9390, 9651, 10465.
Васницев Ю.	916, 924, 9990.
Ватагин В.	1038, 1237, 1451, 1452, 1453, 1454, 1455, 1456, 1457, 1458, 1459, 1460, 1461, 1462, 1463, 1464, 1465, 1466, 1467, 1468, 1469, 1470, 1471, 1472, 1811, 2091, 2623, 3053, 3057, 3126, 3127, 3615, 4329, 4336, 4340, 4357, 4364, 5568, 5616, 5637, 5666, 5706, 5707, 5736, 5750, 5752, 5947, 5948, 5974, 5984, 6838, 6923, 6978, 7078, 7131, 7132, 7140, 7543, 7548, 7616, 7619, 7624, 7628, 7633, 7642, 7742, 7891, 8114, 8381, 8416, 8579, 8590, 8606, 8725, 8968, 8969, 8972, 9284, 9516, 97£3, 9737, 9816, 10107, 10126, 10605, 10702, 10831, 10916.
Ватагина А.	1473.
Вейгольд Ф.	3929, 3930.
Великанов Ю.	2076.
Великанова Р.	1402, 3039, 6920.
Веретенников В.	124, 750, 4579, 6280.
Веригин М.	4236, 4237, 4238, 4239, 9295.
Вермель В.	1248, 1971, 2057, 3424, 3433, 3630, 4753, 5711, 6373, 6661, 6852, 10573.
Веселовский Е.	4131.
Вестфален Г.	2550, 4313, 6633, 9503.
Виленский Д.	4962.
Вильфарт Г.	9348, 9541.
Вильямс П.	5605, 8208, 8610, 9153, 9797.
Винокуров Б.	9163.
Вирганский Б.	1712, 2120, 3041, 3619.
Вихрева М.	1718.
Вишневецкая С.	84, 1559, 2505, 2542, 3402, 3408, 10805.
Владимиров В.	1444, 1728, 3221, 3260, 3262, 3284, 3303, 4765, 5298, 5314, 5516, 5570, 5576, 10219.
Владимирская А.	5684.
Владимирский Н.	5033.
Власов В.	1418, 7257, 9271.
Волков А.	10029.
Волкова А.	480, 2259, 9067.
Волосдтиков Н. И.	9142.
Волынский О.	1981.
Вольштейн Л.	285, 1483, 1838, 1918, 5074, 5321 9575 9656.
Волянекая Е.	6220, 6837, 7123, 7590, 9812.
Воробьев В.	8120, 8494.
Воронецкий А.	1675, 2944, 7249, 9248, 9250, 9252, 9253, 10926.
Высотский К. С.	8710.
Вышеславцев Н.	3837, 4142, 4146, 6484, 8181, 8445, 8647.
Вялов К.	904, 2360, 6343.
Вячкилев П.	869.
Г. В.	1595.
Г. К.	2767.
Г. Т.	3406.
Галин И.	7852.
Галкин И.	1963.
Гальперин Л.	1743, 7667.
Гамбургер Л.	1318, 1691, 1692, 1693, 1694, 1695, 1696, 1697, 1698, 1699, 1700, 1701, 1702, 1703, 1973, 3088, 3357, 4962, 10578, 10738, 10739, 10740, 10741.
Ганф Ю.	54, 1102, 7537, 9206.
Гассилевский Н.	2087, 7766.
Гвайта В.	3801, 4379.
Гегелло Н.	9294.
Гельмерсен В. В.	8550, 8553, 8556, 8557.
Гембицкая Н.	2044, 7236, 9169, 10550.
Генке М.	697, 1528, 1541, 2068, 2069, 4478, 4490, 7187, 7851, 8344, 9103, 9742, 9751, 9752, 9753, 9755, 9782, 9789.
Генч Л.	6411.
Георгиева Е.	5996.
Герасимов С.	144, 146, 373, 524, 526, 547, 1106, 1524, 1950, 2338, 3440, 3443, 3447, 3449, 3634, 4036, 4564, 4567, 4574, 4839, 4855, 5066, 6249, 6334, 6582, 7003, 7095, 7575, 7582, 7654, 9553, 10245, 10625, 10918, 10921.
Герец М.	1434, 2497, 5325.
Гершов С.	7235, 10514.
Герштейн С.	261, 1088, 3103, 4294.
Гетманский М.	410, 1584, 6846.
Гефель Г.	5971, 6588.
Гиппиус Т. Н.	4014, 8624, 8625, 9352, 9360, 9673, 9674.
Глаголева А.	2159.
Гладун А.	2125, 2126, 5645, 8456.
Гладун-Кирпичев Х.	5260.
Глан В. (Глобус-Глан.).	1088, 2456, 3103, 4294, 4978, 7539, 8253, 10841.
Глебова Т.	1497, 1521, 1912, 2131, 2132, 3160, 3744, 3843, 4069, 5865, 6260, 6073, 7677.
Глинка В.	2144, 2146, 2738, 3566, 5146, 9058, 9655.
Голицын В.	278, 549, 1333, 1333-а, 1338, 1678, 1934, 2478, 2534, 4141, 4492, 5327, 6149, 6349, 5647, 5659, 6347, 8429, 9591, 6872, 6882, 10697, 10700.
Голованов Л.	6152, 8352, 8708.
Головнев З.	3672, 9141.
Головчинер Л.	2197.
Голубчиков Н.	3464.
Гольденберг Л.	2214, 3331, 3847, 4269, 10767.
Гольдман С.	809, 903, 1081-а, 1303, 1657, 1669, 1684, 1809, 1868, 2581, 2585, 2746, 2764, 2780, 2812, 2849, 2950-а, 2964, 3023, 3075, 3082, 3374, 3642, 3655, 3787, 4808, 4S09, 4818, 4826, 4881, 5567, 5991, 5992, 5993, 6629, 7007, 7065, 7417, 7418, 7419, 7428, 7745, 7824, 7838, 7856, 8056, 8236, 8363, 8562, 8653, 8714, 8735, 8861, 8994, 9086, 9445.
Гольц Г. П.	6498, 8159.
Гольштейн Е. М.	2835, 6593, 8558, 9583.
Гольштейн К. М.	217, 218, 219, 223, 245, 264, 3060, 5276, 5279, 5803, 9684.
Гончаров А.	123, 994, 2501, 2527, 3674, 4995, 5337, 6015, 7894, 9215, 9555, 10545.
