А. С.	4451, 6961.
Лебедева Т. (Лебедева-Маврина, Маврина.).	281, 282, 698, 1257, 1431, 2113, 3771, 3780, 4637, 5147, 5149, 6027, 6035, 6167, 7531, 7544, 7635, 7650, 7653, 8061, 8341, 8827, 8828, 9330, 9610, 10013, 10648, 10800.
Левин А.	3427, 6156, 6402.
Левин Г.	4852, 9291, 10581.
Левин И.	3135, 4243.
Левицкий З. И.	9018.
Лейферт.	8864.
Леман Н.	88, 774, 3314, 3352, 3353, 4416, 4431, 6021, 6844, 6845, 7786, 8674, 9914, 10167, 10599, 10600.
Лемар Т.	1449, 5342, 10172.
Либаков М.	308, 1194, 2187, 3627, 6208.
Линг-Джу-Танг.	8186.
Линблад К.	6237.
Липгарт В.	1213, 3184, 5872.
Лисснер Э.	1413, 3677, 6528, 9430, 10848.
Литвдк М.	10183
Литвиненко П. Е.	5806, 5807, 5866.
Литко В. Е.	6771.
Лишенко Д.	5591, 5592, 5593.
Лобанов С.	6296.
Логинов В.	6366.
Ложкин А.	2574, 3428, 3933-а.
Лопухин А.	5155, 6505, 7780.
Лофтинг Г.	5668.
Лузгин П.	10897.
Луйн Э.	830, 1738, 1745, 4406, 10935.
Лукина.	874, 9380.
Лунин И.	7652.
Львов Е.	1440, 2226, 2940, 7031, 7039, 7053, 7054, 8244.
Львов П. И.	1947, 8395.
Львовский Н.	6650.
Любавина Н.	1526, 8901.
Любимов А.	4928, 9062.
Люшин В.	5745.
М. Д.	4381, 4382.
Магницкая Л.	5757, 5760.
Мазель И.	5768, 5769, 5770, 5771, 579.
Мазель Р.	1100, 2319, 4326, 4528.
Майкин В.	3354, 4900, 5560.
Макаров А.	7882, 8502, 9627.
Маклецов С. Н.	2296.
Маковский А.	2280.
Малаев Ф.	2462.
Малаховский.	505.
Малашенко Е.	5827.
Малеина Е.	10283.
Малинин В.	6496.
Малиновский А.	5849, 6500, 6781, 8110, 10974.
Малкин Б.	8706, 9540.
Малкина-Фонвизина Н.	1905.
Малушин А.	1314, 3471, 10628.
Мальков.	1386, 3611, 3626.
Мальт С.	48, 2038, 5861, 6831.
Малютин И.	45, 61, 1516, 9882, 10688.
Малютин С. В.	94, 8217, 8224.
Малютина О. С.	8217, 8224.
Мамай В.	10909.
Мансуров П.	2075.
Мануйлов А.	1727, 2982, 2986, 3207, 3403, 3595, 5531, 5612, 5897, 5934, 5938, 6421, 6590, 8620, 10471.
Маторин М.	3473.
Машкин М. Г.	7769.
Машкова Н.	1730, 2683, 3096, 5723, 7024, 7415, 8245, 8932, 9270, 9311, 9899, 10271, 10468, 10902.
Медведева З.	4040.
Мезерницкий Ю.	1287.
Мей В.	1420.
Мейер Г.	1618.
Мель В.	321, 5862, 6620, 7831, 8655, 9457.
Мельников Д. И.	1880, 3603, 4115, 4476, 4503, 4510, 4884, 6347, 63S4, 8392.
Мельникова Е.	6253, 6341.
Меньшуткин С.	7239.
Мертэ А.	1841.
Милашевский В.	76, 529, 1105, 1112, 1137, 2391, 2917, 3054, 3644, 3545, 3550, 3556, 3640, 3910, 3920, 4526, 4542, 4539, 5120, 5211, 5710, 5904, 6006, 6432, 6740, 7108, 7432, 7528, 9084, 9190, 9560, 9666, 9929, 10178, 10786.
Милеева Л.	695, 2183, 4833, 5824, 6304, 9054, 9158, 9159, 10037, 10211, 10834.
Милиотти В.	239.
Минкина В.	2769, 4641, 5561, 6561, 8715, 10016.
Миролюбэва А.	10591
Мирский Б.	5591, 5592, 5593.
Митрохин Д.	2181, 2561, 2836, 3323, 6065, 6454, 7243, 7861, 9976, 10217, 10351, 10352,, 10356, 10385, 10647.
Митурич П.	922, 963, 990, 1490, 1757, 1871, 4028, 4407, 4480, 4491, 6807, 7272, 8666, 10068, 10627.
Михайлов М.	4934.
Михайлов С.	2457, 10505.
Михайловский А. Н.	5729.
Михаэлис М.	105, 134, 324, 680, 707, 741, 748-а, 1575, 1783, 1994, 2104, 2398, 2452, 2506, 2909, 3213, 3480, 3493, 3659, 4494, 4500, 4505, 5939, 6305, 6375, 6376, 6423, 6575, 6642, 7093, 7105, 7116, 7553, 8447, 8603, 9209, 9341, 10272.
Могилевский А. П.	565, 635, 726, 1574, 1577, 1587, 1588, 1747, 2055 , 3329, 5220, 5339, 6205, 6383, 6384, 7701, 7244, 7805, 8161, 8176, 9143, 9462, 9612, 9791, 9883, 10727, 10728, 10729, 10730.
Моравов В.	1667.
Моргунов А.	7041.
Мордвинов И. П.	6408, 6409.
Морозов А.	75, 5216, 7077, 7087.
Морозов-Лас.	4474.
Морозова В.	755, 5234.
Морозова Е.	918, 970, 995, 1004, 1023, 5809, 5810, 8541.
Морозова М.	8362.
Москалев И. М.	1602.
Москалева Т.	2633, 4872, 6980, 9346, 10267.
Мочалов С.	1115, 1310, 3251, 4136, 4600, 7922, 8301, 8306, 8347, 9544, 9545.
МощевитинД.	1142, 1150, 1557, 1572, 1576, 1919, 2482, 2899, 2902, 2908, 4246, 4380, 5277, 5479, 5482, 5642, 5695, 5763, 6684, 6689, 6708, 7142, 7596, 7839, 8542, 8737, 9188, 9679, 10206, 10511, 10592, 10603.
М-р М.	5741.
Мрочковский И.	77, 107, 139, 671, 2267, 2334, 3460, 3466, 3599, 3625, 3628, 3638, 3651, 3875, 4026, 4433, 4538, 4551, 4562, 4570, 4725, 4865, 4921, 5532, 5534, 6275, 6282, 6460, 6462, 6569, 6579, 6598, 6888, 7137, 8031, 8526, 8798, 9332, 9389, 10254, 10429.
Муцельмахер М.	423, 3361, 3657, 10031.
Мюллер В.	8652.
Нагорская Н.	4952, 4970, 6525, 7887.
Налетов А.	893, 3760, 5466, 6225, 8047, 8404.
Невежин Ф.	2464.
Невилль.	1604, 1606.
Недбайло М.	2507, 3202, 4130, 6153, 8456.
Непомнящий И.	7429.
Неручев А. В.	3691, 4581, 4589, 6227, 9038, 9260.
Нечаев Б.	2552.
Никитин С.	1804.
Никифоров Б.	7217, 7220.
Николаев А.	6811, 6812.
Никонов И. Ф.	10977.
Никонов Н.	6365, 9962.
Никулин.	8226, 8227.
Нисский Г.	690, 1335, 1935, 2385, 4248, 5629, 6490, 6874, 7251, 9033, 10467.
Новиков А.	1400, 4840, 9223.
Новиков П.	6857, 6858, 6859, 6860, 6861 8241.
Носов А.	820, 821, 3553, 7710.
Оболенская Ю.	6031.
Ованесов А.	5056, 5057, 7527, 8433, 10200, 10439, 10927.
Олдин Сесиль.	6044, 6958, 10790.
Оленин Е.	1555, 5854, 7698.
Оленина Н.	8682.
Орлов В.	479, 2298, 2943, 3627, 3633.
Орлов Г.	7556.
Ярлов К.	1354, 2999-а.
Орлова М.	7922, 9349, 9363, 9544, 10221.
Орловский Е.	4352, 9946.
ОС.	3650.
Осипов А.	9472.
Осолодков П.	4731.
Остапов И.	3211.
Павлинов П.	3304, 3901, 4769, 5440, 6848, 6875, 6879, 7102, 7799, 8617, 9201, 9205, 10459, 10833.
Павлов Н, А.	7800.
Павлов С.	1124, 8050.
Пайн Е.	7160.
Памфилов В.	5026.
Панов.	2036-а, 3044.
Парамонов П.	2871.
Пастухов П.	49, 1985, 2546, 3123, 3477, 5931, 6102, 6214, 6841, 7103, 9719, 9750, 9788, 10611.
Патракеев Ф.	5063, 9042, 9046.
Пахомов А.	1062-а, 2188, 2473, 3938, 4331, 4361, 4535, 4937, 4938, 6070, 6071, 6662, 6969, 7253, 9246, 9324, 9366, 10216, 10487, 10495, 10498.
Пахомова.	8864.
Пашкевич М.	59, 385, 1196, 1742, 1938, 2186, 3238, 3848, 4473, 5704, 6321, 6360, 7254 7255, 7595, 7608, 9287, 9296, 9303, 9878, 9954, 10565, 10694.
Пашков Г.	9078.
Пащенко М.	400, 7262, 7266, 7267.
Певзнер Т.	7269, 10504, 10507.
Пелецкий Н.	4534, 4883.
Перов В.	7875.
Перовская Ю.	7349, 9973.
Пестун-Дибровский А.	2832, 7393, 7394, 7395, 7396, 7397, 7398.
Петри А.	7399, 7400, 7401, 7402, 7403, 7404.
Петров А.	1594, 3616, 3713, 5483.
Петров Г.	1426, 4287, 4799, 8309, 10509.
Петров-Водкин К. С.	767, 4582, 6057, 8860, 9771.
Петрова А.	1531, 2545, 3031, 3510, 4618, 6718, 7128, 7409, 7410, 7632, 8340, 9448, 9786, 9798, 10602.
Петрова Н.	9369, 10486 а.
Пивоварский М.	7431.
Пиков М.	2029, 4271, 4444, 6457, 6930.
Пименов Ю.	6018, 6743, 8103, 9738, 9784
Пискарев Л.	7341, 10017, 10583.
Пичугин Д.	8474, 8528.
Пичугин И.	740, 842, 844, 6497.
Пластов А.	1143, 2043, 3499, 3502, 6568, 6683, 7112, 7113, 8548, 8970, 9579, 10419, 10548, 10556.
Платунова А. Г.	1433, 3518, 9150.
Плесковская М.	2151, 4830, 7789, 10582.
Плещинский И.	9479, 9480.
Подкаминер Л.	1822.
Покаржевский П.	1946, 4554.
Покровская Т.	1261, 2014, 4281, 4631, 10626.
Покровский Б.	355, 359, 662, 676, 685, 701, 704, 713, 1081, 1238, 1561, 1795, 2071, 2395, 2503, 2510, 2515, 2754, 2927, 2928, 2979, 3206, 3214, 3363, 3520, 3572, 3588, 3606, 3609, 3621, 3658, 4076, 4795, 5007, 5331, 5360, 5362, 6177, 6303, 6311, 6314, 7064, 7091, 7118, 76.69, 7726, 7729, 7730, 8723, 9160, 9197, 9198, 9717, 9732, 10589, 10595, 10813.
Покровский М.	3546.
Полевой С.	7080.
Поленова Е.	808.
Полищук Ф.	93, 143, 580, 1301, 1733, 3508, 4508, 4739, 4926, 6301, 6702, 6719, 8026, 8338, 8515, 8956, 9760, 10457, 10692.
Половинкин А.	7657.
Полозов Н.	3335, 5458, 7260.
Поль-Гри.	7694.
Поляков М.	1475, 4138, 4706, 5538, 8158.
Попов Б.	3134.
Попов Е.	2349, 3452, 8529, 8678.
Попов Н.	2868, 2876, 3121, 3358, 4832, 5182, 7712, 9385, 10198, 10671, 10672.
Попова Л.	1530, 1531, 2514, 5878, 6165, 6738, 6987, 7150, 7217, 7220, 7715, 7716, 7717, 7718, 8082, 8200, 8326, 8330, 8962, 9167, 9391, 9725, 10798, 10817.
Порэт А.	1482, 1488, 6259-а, 6796, 7234, 7236-я, 7406, 7720, 7721, 7722, 8685.
Постников В.	9621.
Правосудович Т.	2042, 2593, 4264, 9992.
Пресняков В.	889.
Прокофьев В.	6501, 8179.
Прохоров Н.	1401, 3718, 3720, 5119, 5470, 8299
Пруссов С.	884, 1822, 8048, 9882.
Пруцкий А.	5061.
Пуни М.	3134.
Пургольд М.	431, 2201, 4262, 7066, 7067, 8382
Пустовойт Г. М.	2878, 6452.
Пушкина Е.	5144.
Пчельникова О.	1499, 3037.
Пшеничников В.	2206, 6862.
Рабичев И.	5000, 5004.
Радаков А.	376, 399, 1911, 3134, 4465, 6577, 6992, 7661, 7859, 7860, 7938, 10488.
Радлов Н. З.	9235, 10391.
Раевская В.	3040, 7955, 7956, 7957.
Разулевич М.	1910, 3800, 3816, 3817, 5455, 5805, 6236, 7666, 9317, 10404, 10409.
Райская М.	2442, 2459, 2904, 4315.
Ранков М.	7983.
Рахманин С.	55, 943, 944, 975, 1008, 3758, 5043, 5571, 5572, 5579, 5580, 5581, 5582, 5584, 5822, 7999, 8002, 8004, 8011, 8013, 8014, 8015, 8017, 8018, 8479, 9052, 10386.
Рахманина М. (Шаталова, Шаталова-Рахманина.).	975, 982, 1999, 8008, 8016, 8020, 10456, 10975.
Рачев Е.	1764, 1846, 1861, 2862, 2865, 4400, 4428, 4436, 6946, 8022, 8023, 10577, 10669.
Ребикова Е.	3381, 5145, 9811.
Редлих Е.	2096.
Рейдеместер В.	3097.
Рейнольдс.	8100.
Рейх М. В.	8048-а.
Рейхлин М.	8049.
Ре-Ми.	399, 10309, 10343.
Ремингтон.	5608.
Репин И. Е.	3134.
Рерберг И. Ф.	763, 764, 779, 1638, 2024, 2032, 2490, 3312, 4506, 4518, 5594, 6558, 8576, 8804, 9173, 9828, 10563.
Ржевников А.	3849.
Ридигер Б.	2035.
Ритын Ю.	9646.
Риу.	1603, 1604, 1605, 1607, 1610, 1614, 1619, 1622, 1624, 1625, 1635.
Рихтер А.	1841.
Рихтер Б.	8081.
Робинсон В.	342.
Рогачев Н.	1870, 2642, 3496, 7273.
Рогинская А.	472, 3119, 3770, 6581, 7158, 7542, 8007, 8095, 8354, 9758, 10809.
Родионов М.	117, 141, 259, 1551, 2279, 2983, 3898, 4557, 4829, 5218, 5228, 5533, 8459, 8927, 9392, 9521, 9526, 9963, 9966, 9968, 10247.
Родова Е.	7983.
Рождественская Т.	2325.
Ройтман.	9919.
Ром.	4079.
Романов А.	3090, 3092, 3099, 6336, 6337.
Романовский Б.	2612.
Ромоданов А.	1289-а.
Ромодановская А.	880, 2454, 7638.
Роскин В.	2291, 8455.
Российская.	8329.
Росский Ю.	2417.
Ростовцев А.	7009, 7010 7012, 7013.
Ротов К.	71, 355, 568, 2502, 2548, 3590, 3598, 3620, 3635, 5058, 5263, 5289, 5290, 6487, 7340, 8673, 8664, 9699.
Рош В.	2033.
Рошковский М.	9923.
Рублева.	7757.
Рудаков К.	39, 62, 394, 828, 868, 1056, 1799, 2650, 3840, 4858, 5313, 5738, 6148, 6769, 7258, 8098, 8716, 9293, 9299, 10306, 10353, 10358, 10371, 10485, 10489, 10508.
Рудякова С.	8207.
Румянцев Б.	4441.
Рыбников А.	130, 7913, 9144, 10719.
С. Г.	5565.
С. Я.	2158.
Сайчук В.	6890, 7346, 8092, 8702, 9538, 9539, 9898, 10804.
Самониш-Судковская Е.	4615, 4617.
Самохвалов А.	502, 977, 2869, 3264, 3286, 4291, 5698, 7049, 7809, 7810, 8364, 8366, 8367, 8368, 8370, 8371, 8372, 8374, 8375, 9210, 9449, 9775, 10585, 10614.
Сапожников А.	4983, 8055, 8464, 8671.
Саско М.	946.
Сафонова Е.	1498, 3728, 5047, 5170, 5354, 5883, 6992, 8021, 8389, 8390, 8391, 9546, 9985.
Сафронова А.	1214, 1566.
Сахаров Н.	4624.
Сашин А.	8399
Сварог В.	375, 960, 986, 1334, 1796, 2458, 3888, 5361, 7045, 7139, 7664, 8040, 9028, 10006, 10851.
Сверкунов.	4593.
Свиненко Н.	870, 1493, 7405, 8425, 8426, 8481.
Сонов К.	8497, 8500.
Серегин М.	692-а, 3779, 6465, 8046, 8525, 10438.
Сетон-Томпсон Э.	8565, 8567, 8569, 8594, 8601, 8607, 8612, 8616.
Сигорский В.	1933, 1975-а.
Силкин Б.	4620, 5669, 6295, 6617, 8608, 9915 10772.
Симаков И. В.	3482, 3487, 3488.
Симанович-Ефимова Н.	3450, 6856, 7106, 8642, 10469.
Синезубов Н.	2299, 2509, 3091, 3095, 5271, 6843, 7774, 8633, 8634, 8913, 10177, 10208, 10209, 10270.
Синякова М.	111, 507, 510, 512, 6697, 7111, 7143, 7146, 7283, 8323, 8570, 8659, 8662 9195, 9654, 9720, 9787, 10339, 10814.
Сипин И.	7261.
Скалдин Ю. Д.	481, 1508, 6816, 729 , 7295, 7302, 7303, 7306, 7308, 7328, 8269, 8273, 8451.
Скуляри М.	1398.
Славуцкая Л.	2668.
Смехов Л.	2154, 2155, 5577.
Смирнов Б.	746, 8744, 8746, 8747, 8748, 8750, 8752, 8754, 8759, 8761, 8762, 8763, 8765, 8766, 8768, 8770, 8772, 8775, 8776, 8777, 8780, 8781, 8782, 8783, 8785, 8786, 8788, 8792, 8831, 8832, 8834, 8835.
Смирнов В.	5744.
Смирнов Н.	8796, 10204.
Сморгонский А.	10033.
Смородкин M.	1822.
Снопков.	505.
Соболев Д.	8880.
Соболев П.	2674, 3430, 6791, 6851.
Соборова А.	739, 1206, 1520, 1660, 2290, 3580, 3592, 3596, 3612, 3632, 3662, 3786, 4066, 4417, 4421, 4423, .4425, 4429, 4432, 4792, 5274, 5471, 5474, 5477, 5563, 5966, 5968, 5970, 5973, 5977, 5978, 5979, 5982, 6599, 6614, 6699, 8644, 8884, 8885, 8886, 8887, 8888, 8889, 8934, 8955, 8967, 8971, 9685, 9686, 9698, 9702, 9806, 9810, 9813, 10734, 10864.
Соколов А.	8699.
Соколов К.	5231.
Соколов М. Г.	1569, 4029, 6681, 7140.
Соколов П.	934, 1200, 1262, 2797, 10400, 10414.
Соколов С.	10842.
Соколов-Аси.	23, 1195, 1672, 1706, 1788, 1901, 2097, 2752, 4762, 5137, 5495, 5748, 5751, 5795, 5799, 6013, 6368, 6371, 6475, 7278, 7795, 8029, 8388, 8491, 8495, 8895, 9030, 9254, 9579, 10544.
Соловейчик А.	9027.
Соловьев А.	2426, 6649, 8417, 8523.
Соломонов М.	1054, 2263, 5525, 9286.
Соминская Е.	8978.
Сосфенов И.	7630.
Софьин П.	8498, 8499.
Спандиков.	4065.
Спановская А.	9060.
Спасский В. В.	615, 616, 1668, 1902, 2157, 3583, 3656, 3682, 3683, 4876, 5498, 7872, 8991, 8992 9035, 9256, 9677, 9680, 9707, 10524.
Спасский К.	320, 1670, 2758, 7034, 7052, 9483, 9490, 9491, 9492, 10082.
Староносов П.	109, 1113, 1306, 1343, 1544, 2003, 2115, 2517, 2541, 2605, 3012, 3420, 3438, 3462 4017, 4442, 4516, 4531, 4553, 4569, 4572, 4867 4925, 4741, 5329, 5596, 5762, 5876, 6572, 6786 6790, 7873, 8454, 8509, 8521, 8799, 8823, 9174* 9312, 9644, 10440, 10871.
Стахеева А.	9044.
Степанов А.	1931, 5864.
Стерлигов В.	3143, 9073, 9074.
Столль А.	2460, 6153.
Страхов.	6469.
Строев П.	283, 287.
Суворов А.	2491, 3785, 3861, 3862, 3864, 5041, 6221, 6596, 6935, 7133, 8907, 9119.
Суворов Б.	3604.
Суворов Ф.	6004, 9063.
Судомора О.	4583.
Сундерлянд И.	1804, 3756, 6160, 9068, 10574.
Сутеев В.	1099, 5262, 7701, 7785, 9696.
Суханов Б.	747-а, 3548, 4504, 5663, 6348, 6806, 6986, 7523, 7547, 8258, 10446, 10799.
Сушкевич Е.	4555, 4631.
Сырнев Ю.	1484, 1740, 4635, 9617, 10497.
Сычев Л.	1964, 5402.
Талепоровский В.	7145, 8876.
Тамби В.	1055, 1056, 1202, 2141, 3223, 8311, 9175, 9176, 9177, 9178, 9179, 9180, 9181, 9182.
Тарханов М.	123, 2501.
Татаринов Б.	6139, 6142.
Татлин В.	9981.
Твардовский В.	46, 57, 72, 378, 396, 405, 1193, 1234, 2592, 6209, 3866, 4243, 5450, 7290, 7335, 7336, 8150, 9289, 9877, 10291, 10295, 10378.
Тевяшева Л.	7953, 9059, 10186.
Тезейкин Н.	542.
Тим П.	6839.
Тиморев В.	952, 991, 5175.
Титаренко Ж.	9351, 9397, 10777.
Титов Б. Б.	796, 7100.
Титов Я.	3492, 3661.
Тихвинский Е.	5045.
Тихомиров Ф.	5061, 5117, 8452, 10742.
Тихонов Н.	10212.
Толкачев З.	1071.
Том Я.	2646, 6443, 7858, 8360, 8949, 9111.
Томашевский К.	7879, 9974.
Томсон Р.	10725.
Топиков А.	21, 620, 1049, 1545, 1552, 1780, 2673, 2741, 2830, 3098, 3100, 3436, 3865, 3961, 4410, 4427, 4743, 4750, 5121, 5851, 5890, 6023, 6029, 6030, 6574 6589, 6641, 6645, 6652, 6996, 7094, 7420, 7759, 7760, 7761, 7763, 7764, 8134, 8249, 8546, 9025, 9066, 9161, 9421, 9422, 9423, 9424, 9425, 9426, 9814, 10042, 10229.
Торверт.	9925.
Травин Н.	2036, 3759.
Третьяков В.	7766, 10264.
Тронов В.	404, 1913, 2619, 6066, 7068, 7681, 7684, 8151, 9278, 9280, 9292.
Трошин Н.	2655, 2657, 2659, 2661, 5158, 9097, 9463, 9464, 9465, 9466.
Трояновская А. А.	4063.
Туганов Г.	194, 1531, 1537, 5487, 6742, 7756, 8190, 8336, 8342, 8629, 10423.
Турова Е.	1526, 1539, 3163.
Тырса Н.	824, 934, 937, 979, 1004, 1011, 2445, 3227, 3232, 3234, 3239, 3244, 3246, 3249, 3254, 3257, 3268, 3271, 3275, 3283, 3297, 3302, 3306, 3941, 3946, 4587, 6150, 6077, 7222,-8549, 9315, 9319, 9320, 9333, 9334, 10646.
Тэнниэль Д.	4230.
Ульянов Н.	147.
Успенский А.	1741, 1802, 2035-а, 3715, 4347, 6966, 8428.
Усова Н. А.	10108, 10116.
Усто-Мумин.	9451, 9633, 9634.
Уханов Б.	3799, 9163.
Ушаков А.	1982, 1983, 1984.
Ушакова Н.	709, 1505, 1567, 1982, 1984, 2064, 2528, 2736, 2916, 3192, 3542, 3543, 3547, 3601, 3622, 4132, 4133, 4134, 4135, 4434, 5756, 6161, 6270, 6287, 6309, 6316, 6320, 6842, 7109, 7421, 7425, 7952, 8149, 8931, 8951, 9718, 9747, 9781, 9794, 10579.
Ушаков. Поскочин М.	5042, 8153.
Ушин А.	1271, 2123, 3238, 4354, 7447, 7457, 10012.
Ушин Н.	7036, 7042.
Фаворская М.	6300, 6312, 10744.
Фаворский В. А.	8358, 10480.
Файдыш П.	3974, 4863.
Фандерфлит Н.	331, 1125, 2954, 7922, 8296, 9407.
Федорова.	10683.
Федотов И.	8534.
Федотов С.	7942.
Федулов А.	8873, 9064, 9102, 9804, 9805, 10836.
Фейнберг Л. Е.	468, 469, 470, 711, 751, 832, 1006, 2392, 3089, 4023, 5598, 5946, 6396, 7023, 7459, 7551, 7892, 8418, 8939, 9100, 9473, 9778, 9829, 9830, 9831, 9832, 10564, 10845.
Филиппович М.	877, 10900.
Филипповский М.	2114, 9885.
Фионин Г.	2640.
Фирсов В.	1430.
Фитингоф Г.	2471, 5232, 5466, 7376, 8152, 9960.
Фич-Перкинс Л.	9855, 9857, 9860, 9866, 9869, 9872.
Фишер Г.	8801.
Фогт Н.	383, 392, 426, 2199, 2200, 2734, 9671, 9951.
Фомичев.	2138.
Фонвизин А.	1481, 1905, 3094, 4129, 5157, 5287, 8171, 9357.
Формозов А. Н.	936, 939, 958, 1022, 2235, 7540, 7837, 9902, 9904, 9906, 9907.
Фрадкина Е.	84, 1559, 2505, 2542, 3402, 3408, 7620, 10805.
Француз И.	116, 537, 538, 675, 687, 689, 706, 1339, 1340, 1341, 1929, 2027, 2819, 3614, 3794, 4486, 6003, 6308, 6342, 6596, 9213, 9314, 9746, 9912, 9994, 10570.
Фрейберг П. Ф.	686, 9172.
Фрейхольд К.	9932.
Фридберг К.	217, 218, 219, 223, 236, 245, 257, 258, 264, 267, 272, 273, 275, 3060, 4094, 9565.
Фридберг-Арманд К.	2493, 4345, 5803.
Фридман.	1434.
Фролов А. В.	653.
Хавкина Н.	9098, 9964.
Харибин Е.	8269.
Хвостов А.	6506.
Херумян Р.	7888.
Хигер Е.	1805, 2617, 2632, 2955, 3051, 3076, 6977, 7676, 7678, 7679, 7688, 8552, 9694, 9739, 9953, 10001, 10002, 10003, 10004, 10005, 10205, 10696.
Ходасевич В.	3134, 8667.
Хомзе Е.	2529, 2689, 4452, 10039, 10040.
Хржановский Ю.	6364, 7662.
Храпковский М.	1419, 1562, 3755, 7063, 9688, 9809, 9818.
Храповицкий В.	2460.
Христофоров С.	2054.
Цельмер В.	3458, 5326, 8199, 10971.
Цехановский М.	3228, 3280, 3294, 3299, 3806, 3811, 3878, 6094, 6105, 6895, 7670, 8312, 100G4, 10065, 10066, 10067, 10787.
Цицковский Н. Н.	4969, 4974.
Цуппингер А.	8043.
Чапский К.	10080.
Чарос-Гуркин.	1924.
Чарушин Е.	872, 926, 1004, 1019, 1028, 5452, 8105, 8836, 8839, 9890, 10084, 10086, 10088, 10089, 10090, 10091, 10093.
Черевков M.	2829.
Черемных М.	4020.
Черкасский А.	6565.
Черкес Д.	1409.
Черкесов Ю.	1184, 2012, 3238, 7120, 10192, 10193, 10417.
Чернецов В.	6024.
Чернов-Плесский.	3591.
Чернышев Н.	1596, 5065, 6279, 7840.
Черняк С.	2885, 5184, 9623.
Чехонин С.	3134, 6062, 6404, 7602, 7659, 7689, 10293, 10300, 10303, 10348, 10350, 10355, 10360, 10384.
Чигарев М.	4529, 4565, 4621, 8285, 9095.
Чижов В.	7050.
Чикин А.	10258.
Чичаговы О. и Г.	2294, 2736, 3446, 6583, 8803, 8805, 8806, 8807, 8808, 8810, 8811, 8812, 8813, 8814, 8816, 8818, 10275.
Чугунов Г. И.	5866.
Чудинов Н.	2639, 3497, 4772, 5364, 6327, 6424, 10282.
Чуйков С.	10283.
Чупятов Л.	1122, 3253, 9316.
Шабанов И.	1495, 5754, 5998, 10850.
Шамбурова.	10472.
Шапошникова Е. М.	6514, 6515, 6516, 6517.
Шварц Б. В.	1791.
Шебуневич Н.	1930.
Шевченко Т.	1215, 2538, 4396, 4397, 5148, 7156, 8322, 8333, 8339, 9170, 9770, 9786, 10531.
Шевяков Г.	1927.
Шегаль Г. М.	5595, 10876.
Шемиот Б.	1739, 8945.
Шенгелидзе В.	10542.
Шервинская М.	199, 669, 1094, 1546, 1547, 1548, 1550, 1554, 1729, 1734, 1770, 2525, 2942, 3607, 3612, 4413, 4424, 6299, 6317, 6344, 8019, 8935, 8943, 10562, 10571.
Шерлаимов.	4559.
Шестопалова Е.	2008, 2389, 4998, 6868, 8510.
Шифрин Н.	1534, 1541, 2666, 4479, 6162, 8178, 9972, 10633, 10634, 10635.
Шишмарева Т.	934, 1119, 1418, 1590, 1597, 5127, 7225, 7803, 9228, 9572, 10081, 10410, 10639.
Школьник В.	7594.
Шкурдода Г.	8870.
Шмаринов Д.	1756, 2938, 2996, 3663, 4544, 6250, 6456, 6724, 7433, 8530, 8824, 9204, 10253, 10785.
Шор С.	4308, 4356, 6654, 7157, 9272, 9276, 9580, 10448.
Шохин Д.	3077.
Шпир.	10768.
Штайнер.	9379.
Штеренберг Д. П.	1147-а, 2511, 4370, 5340, 6002, 6166, 6231, 8332, 8829, 9609, 10707, 10708, 10709, 10710, 10711, 10712, 10796.
Штерн М.	871, 1121, 1914, 1916, 1917, 2856, 3330, 6262, 6427, 6836, 7226, 7748, 7806, 8718, 10418, 10499, 20713.
Штраних В.	2681, 3600, 6744.
Шульц Р.	6832.
Шухмин М.	2311.
Шуцман А.	749, 2000, 3594.
Щанкин В.	2149.
Щеглов В.	885, 2060, 3313, 3316, 3660, 4233, 5281, 5652, 5719, 8033, 8034, 9590, 9821, 10904.
Щелоков В.	1153, 9460.
Щербаков А.	114, 307, 1709, 1995, 1996, 3432, 4920, 6703, 6800, 6886, 7357, 7607, 8090, 8476, 8944, 9274, 9941, 10180, 10420, 10914.
Эбериль И.	7665.
Эберман М.	4540, 5222, 5956.
Эвенбах Е.	934, 1491, 1502, 2625, .3308, 3831, 3834, 4349, 6354, 9987, 10492, 10506, 10762, 10763, 10764.
Эльский В.	5123.
Эндер Б.	5990.
Эндриксон Е.	1758, 3202, 4887, 5038, 6711, 7252, 10421.
Эрбштейн А.	5305, 5333, 9675.
Эттель В.	1925, 
Юдин Л.	1486, 5463.
Юнгер А.	10063.
Юргенсон В.	8094.
Юрченко М.	569.
Ющенко К.	7680, 7928.
Якобсон А.	5468, 6770, 7391, 10637, 10905.
Яковлев М.	3035, 4960, 6418, 9435, 10047.
Яковлев С. И.	487, 8864, 10936.
Ямбо (Энрико Новелли.).	10950.
Яницкий К.	5071.
Янов А.	1253.
Яновский В.	2209.
Янг И.	3610, 7597, 7599.
Янцын М.	1259, 9350.
Ярушко Н.	7526, 8058.
Ястребов.	602, 10009.
