Ермолаев А.	23, 113—116, 292, 293, 300, 301, 303—305, 307—309, 313—315, 344, 594—596, 600, 601, 606, 614, 619, 707, 765, 767, 768, 926, 982, 987, 1030, 1031, 1084, 1091, 1633
Ермолов В.	17, 18, 254—256, 405—407, 944, 1282, 1363, 1624
Ефимов Б.	1722, 1723
Ечеистов Г.	340, 1094, 1095, 1907
Живаев Ф.	924
Житов С. И.	1616
Жоанно Т.	1100
Жолткевич Л. А.	1326
Завалов Ф.	426, 656
Завьялова А. И.	1422, 1724, 1728
Закржевская С. М.	294, 324—326, 463, 482, 733, 890, 1502, 1698, 1781, 1819
Замирайло В.	455
Заславский А.	1947
Зверев М. Д.	533, 534, 1117
Звонарева Т.	1730
Земцов А.	1158
Зенькович В.	88, 413, 542, 543, 1146, 1153, 1470, 1792
Зобнин П. В.	1033, 1051
Золотарев Н.	439
Зусман Л.	729, 882, 1023, 1100, 1443, 1923
Иванов Ю.	243
Иванова А. И.	449, 450
Ивашинцов М. И.	1466
Иевлев Н.	1158
Изаксон А. А.	449
Ильин Н. В.	558
Ингер Г.	1603
Иогансон А. Б.	449, 450
Иогансон Б. В.	449, 450
Камшилова Е. В.	1727, 1731
Каневский А.	235, 354, 767, 1088—1090, 1679—1681, 1892, 1897
Каплан А.	765
Каразин Н.	1158
Караченцов П.	469
Кардовский Д.	364, 1878
Каренцов А. И.	125
Карлов Г.	97, 276, 330, 331, 957, 1059, 1447
Кащеев К. Г.	15, 196, 492, 752, 1210, 1273, 1399, 1553, 1554, 1948
Квирикашвили Д. А.	14
Кеш.	99, 711—713, 715—717, 850, 851
Кибрик Е.	369, 741
Кизевальтер В. С.	118, 446, 449, 450
Кине Я.	1427
Киплинг Р.	649
Кирсанов Н. И.	1157
Киселев Ю.	166, 541, 1807
Клементьева К.	223, 765, 1153, 1518, 1689, 1690
Клещевников Ф. Г.	795, 799
Клодт М.	1158
Клюжев В.	1656
Кляевский Г. П.	1247
Клячко М.	206, 768, 1283
Кнорринг Н.	257, 768, 1180, 1726
Кобелев В.	333, 758, 947
Ковалев В.	266, 1145
Коврига Т. Я.	58, 375, 790, 792
Коган Е.	1768
Кожин Б.	1158
Кожухова Е. Д.	450
Козилова Г.	673
Козулина Т.	249, 685, 686
Кокорекин А.	410
Кокорин А.	1255
Коровин О.	1258
Колонков И.	474, 634, 753, 991, 1457, 1831
Комаров А. Н.	446, 449, 450, 772, 853, 854, 856, 858, 1539, 1540, 1542, 1544, 1549, 1550, 1552, 1782, 1783, 1919
Конашевич В.	38, 42—44, 419, 448, 518, 720, 758, 765—768, 875, 876, 979—981, 987, 1020, 1084, 1091, 1291, 1532, 1533, 1655, 1893, 1897, 1905
Кондратьев А.	327, 744, 863—866, 1556, 1738
Конев Е. А.	1790
Конев Е. Я.	1239
Коновалов В.	581, 765, 768, 1084
Константинов В. Н.	654, 688, 1126, 1127, 1548
Константинов Ф.	1758, 1909
Константиновский А.	542, 543
Кораблинов В.	90, 706, 989, 1028, 1083, 1141, 1144, 1529, 1530, 1637
Коровин О. Д.	105, 280, 530, 791, 794, 796, 903, 1016, 1115
Коростышевский Л.	1939
Коротков В.	1292
Коротков И. А.	189
Костров Н. И.	152, 242, 608—611, 1050, 1581, 1585, 1646
Кострова А. А.	758, 773—775, 874, 878—880, 1697
Косякова Е.	1294
Котляров Г. Ф.	320, 636
Кочергин Н. М.	274, 424, 586, 760, 907, 1004, 1005, 1439, 1440
Кравченко Л.	1049, 1524, 1721, 1838
Кравченко Н.	704, 1524, 1721
Крамер Р.	411, 412
Крамской И. Н.	1158
Крашенинников В.	63, 802, 804
Криммер Э.	517
Кроненберг А.	117
Крукшенк Д.	411, 412
Кудрин А. А.	1560, 1653, 1843
Кузнецов И. А.	27, 28, 146, 393, 397—399, 446, 450, 495—497, 548, 765, 816, 901, 902, 1043, 1070, 1102, 1103, 1342, 1559, 1631, 1810, 1811, 1824, 1946
Кузнецов К.	11, 12, 71, 92, 93, 247, 429, 495—497, 536, 547, 551, 668—670, 748, 749, 763, 764, 894, 1388, 1458, 1507, 1508, 1523, 1672, 1842
Кузнецова А. Н.	450
Кузьмин Н. В.	434, 1289, 1358, 1477, 1821
Кукрыниксы.	1486, 1487
Кукс М.	1167, 1304, 1459, 1460
Купецис К. К.	150
Курдов В.	155, 758, 767, 1709
Кустов В. А.	1394
Кустов Н.	503, 724, 1784—1786
Кустодиев Б.	373, 1158, 1354, 1356
Кязимов К.	1162
Ладыгин В.	1424, 1621
Ладыгин С.	695
Ладягин В.	75, 76, 173, 302, 472, 575—577, 1022, 1212, 1244, 1245, 1796, 1826
Лалинь А.	198
Лаптев А.	233, 504, 505, 683, 765, 777—780, 840—845, 959, 1084, 1468, 1528, 1773
Лапшин Н.	436, 556, 1496
Лебедев А.	1158
Лебедев В. В.	446, 448, 495—497, 765, 767, 768, 956, 960, 961, 965, 967, 968, 976—978, 985, 987, 990, 996, 1084, 1091, 1626, 1712, 1713
Лебединский Б. И.	1456
Легат М.	494
Лекаренко Н.	475, 964, 1295
Лембер В.	380, 963
Лемкуль Ф.	199, 1068
Лермонтов В.	1288, 1830, 1833
Лешко Л.	691
Ликман Г.	1880
Литвиненко В.	358
Литвинов Ф. А.	937
Лонгинов И. А.	1492, 1706
Луганский П.	761, 1845
Лысенков П. Л.	921
Любимов В. В.	446, 449, 450
Маврина Т. А.	239, 446, 449, 450, 1593
Мазрухо М.	175
Майофис С.	983
Макаров Ю.	218
Маковская Г.	675
Малеинов А.	768, 1428
Малик М.	1120, 1938
Малолетков Е.	77
Малюгин Б.	1671
Малюков И.	1204
Малюченко Б.	1490
Мартыш А. С.	298
Матюх В.	456, 1473, 1627
Меловщиков Н. Н.	1169
Мезерницкий А.	1182
Мезерницкий Ю.	445
Месропян Б.	1563
Мешков В. И.	1772
Мещанов И. И.	1092
Милашевский В.	185, 696
Миловидов Б.	176
Мильчин Л.	80, 81, 1382, 1423, 1904 
Минаев В.	500, 1619
Миньков Д.	82
Мирошхин А. Я.	950
Мистецкий А. С.	487, 1400
Митрохин Д.	473
Митрохин К.	916
Михалис М.	1603
Могилевский А.	127, 228, 495—497 767, 768, 862, 1391
Моор Д. С.	782—784, 786, 838, 896, 1323
Морозова К.	674
Моторин М.	1458
Мочалов С. М.	9, 193, 758, 906, 1233, 1377, 1397, 1398, 1636
Мунц Н.	987, 1322
Муратов Н.	169, 758, 1488, 1489, 1688
Мусалов А.	1732
Мухин Н.	1576
Нагишкин Д. М.	687, 1125
Назаров М.	684, 1276
Налбандян Д.	767
Непринцев Ю.	832, 909, 1231
Нецкая Е.	538, 803, 1517
Никифоров Н.	1347
Никольский Г.	20, 53, 158, 334, 335, 392, 495—497, 666, 692, 765, 767, 768, 1223, 1303, 1330, 1337, 1513, 1536, 1538, 1545, 1547, 1566, 1571, 1676, 1677, 1702, 1703, 1779, 1780, 1852
Обухова Н. А.	450
Окунь А.	253
Олминин Е.	1914
Омельяненко П. И.	643 
Орлова В. А.	450
Орлова М.	765
Орловская М.	1164, 1165
Островский П. П.	1045
Павлинов П.	506, 1720
Павлов А.	495—497, 1458
Павлов Н.	345
Павловский З.	1044
Панов А.	1158
Пастухов П.	228, 1808
Пахомов А.	149, 271, 391, 767, 768, 987, 1014, 1015, 1018, 1023, 1214—1216, 1868, 1905
Пахомов В.	916
Петров В.	432
Петров Ю.	882, 1232, 1692, 1696
Петрова В.	193, 1312
Петрова Н.	182—184, 240, 241, 511, 512, 639, 719, 758, 767, 906, 1199, 1344, 1787—1789, 1792
Пивоваров С.	1424
Пискарев Н. И.	1434
Пластов А.	1155, 1156, 1285, 1286
Плиев А.	1841
Поляков М.	163, 453, 768
Полянский В.	1361
Полянский Н.	33
Померанцева Е. Н.	1298
Попов В.	275
Порет А. И.	150, 450, 662, 958, 1086, 1628
Правдина Л. Н.	540
Преображенская Л.	1328
Приданцев М.	495—497
Проскуряков И.	714
Проскурякова Е.	703
Прушинский С.	1436
Пуетовийт Г.	1822
Пуетовийт Г. И.	942
Пуетовийт Г. М.	1704
Рабинович Л. С.	277, 278, 751
Рабье Б.	167
Радин М. П.	797
Радищев А.	1606
Рад лов Н.	1084, 1091, 1897
Развозжаев С. Н.	948
Разулевич М.	467, 1372
Раков Г. Н.	1456
Ратнер Л.	332
Рахман Заде М.	1902
Рачев Е.	121, 151, 156, 200, 568, 765, 767, 768, 900, 940, 941, 949, 1048, 1330, 1331, 1336, 1338—1340, 1761, 1823, 1952
Рерберг И.	49, 1113
Ребикова Е.	1700
Редлих Е. П.	73, 74
Рейнер Ю.	481, 920, 1122, 1123, 1937
Рейх М.	1041
Рекхэм А.	411, 412
Репин И. Е.	727, 728, 1158
Ризнич И. И.	181
Рихтер Л.	411, 412
Риу.	230
Романов С.	1013
Родионова Е.	1297, 1674, 1751, 1752
Родионов М.	768, 1674
Рождественский В. Л.	217, 1448
Ростовцев В.	340, 519
Ротов К.	1085, 1894
Рудаков К. И.	366, 382, 414, 433, 1357, 1373, 1754
Руденко А. К.	1456
Ружо В.	1471
Ручьев Л.	59, 62, 64, 135, 139, 208, 855, 953, 1407, 1767
Рылов А.	1472
Рябов П.	916, 1113
Рижских Е.	51, 618, 1143
Ряннель Т.	1047
Сазонов Н. И.	272, 1924
Сайфуллин Р.	121, 884, 885, 1732
Саттар А.	460
Сафонова Е.	513, 514
Свешников В. М.	730, 1384
Свидерекий А.	311, 1380
Севастьянов А.	383
Седаков Н. Н.	295, 395, 1882
Семенов Б.	341, 346, 758, 908, 1235, 1299
