Ерикеев А.	417
Еромицкий А. И.	418
Ершов П. П.	419—430
Ефетов М.	431
Ефремов Ю.	432
Жак В.	433
Жданов Н.	435
Жемчужников Ю., Гор Г.	436
Жестев М.	437
Жижка М. В.	438
Жилин С.	441
Житков Б. С.	442
Житков Б. С.	443
Житков Б. С.	444
Житков Б. С.	445—446
Житков Б. С.	447
Жуков В.	448
Жуков В.	449
Жуковский В. А.	450
Жуковский В. А.	451
Жуковский В. А.	452
Жуковский В. А.	453—454
Журба П.	456
Забила Н.	458
Забила Н.	459
Забила Н.	463
Забила Н.	460—462
Залыгин С.	466—467
Замойский П.	468
Захаревич А. И.	469
Захаров Ю. В.	470
Зверев М.	474
Зверев М.	475
Зверев М.	476
Зверев М.	477
Зверев М. Д.	473
Земляк Я.	478
Земной В.	480
Злобин С.	481
Золотов В.	482
Золотовский К.	484
Золотовский К.	485
Зорьян С.	493
Иваненко О. Д.	494
Иваненко О. Д.	494а
Иванов А.	495
Иванченко Н.	498
Иванченко Н.	499
Игишев В.	500
Игнатьев С. П.	501
Иерусалимский В.	502
Изюмский Б. В.	504—505
Ильин М.	506
Ильин М.	507
Ильин М. и Сегал Е.	508
Ильин М. и Сегал Е.	509
Ильина Е.	510—517
Ильина Е.	518
Инбер В.	519
Инспекторов М. М.	520
Инсцен. Зайцевой-Судец З.	1368
Иовлев Б.	522
Исаков А.	523—525
Исаковский М.	526—527
Каверин В.	528—530
Каверин В.	531—533
Кажинский Б. Б.	534
Кажинский Б. Б.	535
Казакевич Э.	536
Казанский Н. В.	537
Калинин А.	543
Калинина Н.	542
Кальма Н.	544—546
Каменкович З.	547
Кан Н.	548
Канонидис Ф.	549
Капиева Н.	550
Капица П.	551
Караев Г.	552
Кара-Мурза Г. С.	553
Кардашова А.	554
Карелин Д.	555
Карнаухова И. В.	556
Карнаухова И. В.	557—558
Карпеко В.	559
Карпель Р. А.	560
Кассиль Л.	561—562
Кассиль Л.	563
Кассиль Л. А. и Поляновский М. Л.	564—567
Катаев В.	568
Катаев В.	569—570
Катаев В.	571
Катаев В.	572
Кауфман Я.	574
Квитка-Основьяненко Г. Ф.	575
Квитка-Основьяненко Г. Ф.	576
Киселева А.	577 
Кистяковская Н. К.	578
Клементьев С. Д.	579
Клементьев С. Д.	580
Клыков А.	581
Княжинская Л. А., Никольская А. В., Писаревская О. Ф.	584
Ковалев П.	585
Коваленков А.	586
Кожедуб И.	587—592
Козаченко В.	595
Козлов П.	596
Коковин Е.	597
Коковин Е.	598
Колас Я.	599
Колас Я.	600
Колганов Д. И.	601
Кольцов А. В.	603
Комаровский Г. и Комаровский Н.	604—605
Комаровский Г. и Комаровский Н.	606
Кондырев Л.	608
Коновалов В.	625
Коновалов Ю.	626
Кононов А.	627
Кононов А.	628—630
Конопницкая М.	631
Кончаловская Н.	633
Кончаловская Н.	634
Копыленко А.	635
Копытин В.	24
Коробьина Н. А.	636
Короленко В. Г.	637—641
Короленко В. Г.	642—643
Короленко В. Г.	644
Коротенков Г.	645
Корчагина В.	646
Корчагина В.	647
Корчагина В.	648
Корчагина В.	649
Корчагина В.	650
Коряков О.	651
Коряков О.	652
Космодемьянская Л.	653—656
Котляр И.	660
Котляров Б.	661
Котовщикова А.	662
Коцюбинский М.	663
Кошевая Е.	664—669
Кошечкин С. и Эйдлин С.	671
Кравченко Ф.	672
Кратт И.	673
Кривоносова З. А.	676
Крылов И. А.	680—684
Крылов И. А.	685—686
Крылов И. А.	687
Крылов И. А.	688
Кублицкий Г. И.	689
Кублицкий Г. И.	690
Кублицкий Г. И.	691
Кудинов И.	692
Кудрин Л.	693
Кузнецов А. А.	694
Кузнецова А.	695
Кузнецова А.	696
Кузнецова А.	697
Кузнецова А.	698
Кулаков Д. и Серман Б.	699
Культпасов И. М.	700
Купала Я.	701
Купала Я.	706
Купала Я.	702
Купер Ф.	703
Куприн А. И.	704—705
Куприн А. И.	706
Куприн А. И.	707
Курбатов В.	708
Курочкин В.	709
Курышина А. Н.	710
Куханов К. М.	711
Кучук З. В.	712
Куштум Н.	713
Кычаков И.	714
Лангер Ф.	716
Лаптев А.	717—719
Лаптев А.	718
Лаптев А.	719
Ларионов Г.	720
Лебедев В.	721
Лебедев В.	722
Лебеденко П.	723
Левашев М.	936
Левина О.	724
Левченко О.	725
Лерман М.	726
Лермонтов М. Ю.	727—728
Лермонтов М. Ю.	729
Лермонтов М. Ю.	730—731
Лермонтов М. Ю.	732
Лермонтов М. Ю.	733
Лермонтов М. Ю.	735
Лермонтов М. Ю.	734
Лермонтов М. Ю.	736
Лермонтов М. Ю.	737—738
Лесков Н. С.	739
Летов Б.	740
Либединский Ю.	741
Ликстанов И.	742
Ликстанов И.	743—755
Ликстанов И.	756
Лифшиц В.	762
Лифшиц В.	763
Лондон Д.	764
Лондон Д.	765
Лосев П.	766
Лу Синь.	769
Лузгин М.	767
Лукин Н.	768
Лучининов С.	770
Любимов Б.	772
Любимова В.	773
Ляпунов Б.	779
Майзелис И. Л.	780
Макарова И.	781
Максимихин И. А.	782
Максимихин И. А.	783
Малинина А.	784
Малинина С.	786
Малинина С.	785
Маляревский П. Г.	789
Маляревский П. Г.	790
Мамаев Г.	791
Мамедханлы Э.	792
Мамин-Сибиряк Д. Н.	793—796
Мамин-Сибиряк Д. Н.	797
Мамин-Сибиряк Д. Н.	798—801
Мамин-Сибиряк Д. Н.	802
Мамин-Сибиряк Д. Н.	807
Мамин-Сибиряк Д. Н.	803—806
Мамин-Сибиряк Д. Н.	808—809
Мар Е.	810
Марков Г.	811
Мартынова Е.	812
Маршак С. Я.	829
Маршак С. Я.	838—840
Маршак С. Я.	813
Маршак С. Я.	814—815
Маршак С. Я.	816—823
Маршак С. Я.	824
Маршак С. Я.	825
Маршак С. Я.	826
Маршак С. Я.	827
Маршак С. Я.	828
Маршак С. Я.	830
Маршак С. Я.	831—832
Маршак С. Я.	833
Маршак С. Я.	834
Маршак С. Я.	835
Маршак С. Я.	836—837
Маршак С. Я.	841—842
Маршак С. Я.	843
Марьенков М.	844
Матвеев Г.	845
Матвеев Г.	846
Машистов А.	847
Маяковский В. В.	848—850
Маяковский В. В.	851—853
Маяковский В. В.	854—857
Маяковский В. В.	858—859
Маяковский В. В.	860
Маяковский В. В.	861—862
Маяковский В. В.	863
Маяковский В. В.	864—871
Маяковский В. В.	872
Медведев Д.	873—875
Мелузников А.	876
Мельникова Н.	877
Меркульева К.	879—880
Меркульева К.	881
Минин Д.	883
Минскин Е.	884—886
Миронов А.	890
Миронов М.	891
Миронова Д.	887—888
Миронова Д.	889
Миронова Н. В.	892
Мирошниченко Г.	893
Миршакар М.	894—895
Михайлов А.	896
Михайлов Б.	897
Михайлов Н. Н.	898
Михайлов Н. Н.	899
Михайлова Н.	900
Михалков С. В.	915а
Михалков С. В.	919
Михалков С. В.	901—902
Михалков С. В.	904—907
Михалков С. В.	903
Михалков С. В.	908
Михалков С. В.	909—914
Михалков С. В.	915
Михалков С. В.	916
Михалков С. В.	917
Михалков С. В.	918
Михалков С. В.	920—921
Михалков С. В.	922
Михалков С. В.	923
Михалков С. В.	924
Михалков С. В.	925—926
Михалков С. В.	927
Михалков С. В.	928
Михалков С. В.	929
Михалков С. В.	930—931
Могилевская С.	932
Могилевская С.	933
Могилевский Б.	935
Можарова Г. С.	937
Молчанов-Сибирский И.	941
Мольер Ж.-Б.	939
Моренков Д. Т.	940
Мстиславский С.	943
Муратов М.	944—945
Муратов М.	946
Муратов М.	947
Мусаев Р.	948
Мусатов А.	949
Мусатов А.	950—956
Мусатов А. и Чачко М.	957
Навои Алишер.	958
Нагишкин Д.	959
Нагишкин Д.	960
Нагишкин Д.	961
Нагишкин Д.	962
Нагишкин Д.	963
Найденова Н.	964
Найденова Н. и Резник М.	965
Наливкин Д. и Петров Л.	966
Намсараев Хоца.	967
Небылицкий Б. и Бунимович Т.	972
Незлобии Н.	974
Некрасов Н. А.	975—977
Некрасов Н. А.	978—983
Некрасов Н. А.	984
Некрасов Н. А.	985
Некрасов Н. А.	986—987
Некрасов Н. А.	988
Некрасов Н. А.	989
Некрасов Н. А.	990
Немцов В.	991
Нефедов А.	994
Нехода И.	995
Нехода И.	996
Нечкина М. В.	998
Никифоров И. М. и Чканников И . Н.	999
Никонова Ю.	1001
Никулин М.	1002
Нимен Л. Б.	1003
Новиков И.	1004—1005
Нойсс В.	1009
Носов Н.	1010—1012
Носов Н.	1013
Носов Н.	1014
Обработ. Л. Дьяконова.	208
Обработ. М. Булатова.	166
Образцов П.	1015
Овсянникова М.	1017
Одоевский В. Ф.	1020
Оленич-Гнененко А.	1021
Оленич-Гнененко А.	1022
Олеша Ю.	1023
Ольхон А. С.	1025
Ольхон А. С.	1026
Опарин А. И.	1027
Осеева В.	1029—1031
Осеева В.	1032—1034
Осеева В.	1035
Осипов К.	1036
Островский А. Н.	1038
Островский А. Н.	1039
Островский. А. Н.	1037
Охотников В.	1045
Павленко П.	1046—1052
Павленко П.	1053
Павлов П. С.	1054
Палечек Е. А.	1055
Панич М.	1058
Панкратов С.	1058а
Пантелеев Л.	1059
Пантелеев Л.	1060
Парве Р.	1061
Парве Р.	1062—1063
Патов Н.	1064
Патов Н.	1065
Паустовский К.	1066
Паустовский К.	1067
Паустовский К.	1068
Пахомов А. и Михалков С.	902а
Пашаев М. Д.	1069
Пекелис В.	1070
Первенцев А.	1071
Первенцев А.	1072
Первенцев А.	1073—1077
Перля З. Н.	1081
Пермяк Е. А.	1082—1083
Перро Ш.	1084
Перро Ш.	1085—1087
Перро Ш.	1088—1089
Перро Ш.	1090—1094
Перфильева А.	1095
Петефи Ш.	1099
Петефи Ш.	1100
Петров А. В.	1101
Петров А. В.	1102
Петров А. В. и Ювенальев И. Н.	1103
Писаржевский О. Н.	1109—1110
Пистоленко В.	1111
