Бикушев Г.	168, 1865
Бикчентаев А.	1867, 2348
Бильдушкинов В.	1868
Бирюков В.	2328
Бирюкова А.	169
Биушкина М.	2357
Благинина Е.	170—175,2350, 2367, 2634
Благой Д.	874, 878, 1669, 1670
Блинкин С.	2401
Блинов Александр.	176
Блинов Анатолий.	177, 178
Блинов Г.	179, 2635
Блок А.	180— 187, 2315, 2346, 2350,2364, 2365
Блудов М.	2402
Блынский Д.	188, 2367
Бляхин П.	189
Бобылев Ф.	190
Бовшек А. Г.	2282
Богатырев В.	2367
Богданов Н.	191, 2350
Богданов П.	2403, 2591
Богданов Ю.	2168
Боголюбов К.	1190
Боголюбская М.	2280
Богомазов С.	2298, 2299, 2320
Богомолов В.	192, 2324
Богомолов Е.	2589, 2628
Богословский Н.	1724, 1733, 1747,1749, 1750
Богоявленский П.	1596, 1637
Богушевич Ю.	193
Бойко Г.	2350
Боков П.	2353
Боконбаев Д.	2334
Болдрини Д.	2296
Болдырев Ю.	2137
Болховитинов В.	2592
Бондаренко Вен. и Бондаренко Вл.	194,195, 2347, 2353
Бондаренко И.	196
Бондарь И.	197
Бонди С.	1640, 1641, 1664— 1666
Бонифатьева Л.	2404
Бонч-Бруевич В.	198—202, 2320
Борзенко С.	2368
Борисов Б.	2319
Борисова Е.	203, 204
Борисова М.	205, 206
Борисова Р.	2332
Борноволоков Э.	2593
Бородин Ф.	2349
Бороздин В.	207—210, 2281
Босев А.	893, 2140
Боярская Н.	2346
Брагин М.	2405
Брандис Е.	908, 2572, 2573
Брауде Л.	2202
Браун Н.	2359
Бревдо Б.	2572, 2573
Брегова Д.	211, 1527
Бреев Б.	1116
Бременер М.	212, 2238
Бренкова К.	2296
Брехт Б.	2141
Бриман М.	2406
Бритаев С.	1869
Бровка П.	2320, 2359
Бродский А.	213, 2320
Брумберг В. и З.	2194
Бруссе Г.	214
Бруштейн А.	1303
Брынских С.	215
Брюсов В.	216
Брянцев Г.	217
Брянцева В.	2361
Брянцева Л.	218
Бублейников Ф.	2407
Буи Конг Бинь.	2241
Букин А.	180
Букин Н.	219
Булатов М.	1767, 1773, 1787, 2290,2316
Булгаков М. А.	2282
Булычев К.	220, 2303
Булышкина И.	221
Бунин И. А.	1521, 2346
Буравкин Г.	2298
Бургхардт М.	2142
Бурсов И.	222
Буртин Ю.	1311
Бустос Мандиола Х.	 2143
Бусуйок А.	1870
Буцень О.	2350
Бушмин А.	1679
Бхимнудхи Тивари.	2156
Бхишам Сахни.	2156
Быков А.	2424, 2572
Бытовой С.	223, 2286
Бычко В.	1871, 2350
Бяганская Я.	2320
Бялик Б.	383
Бялковская С. К.	224
Ваганова Л.	2349, 2362.
Важдаев В.	2084, 2104, 2119, 2124,2265, 2281
Ваксман С.	2291
Вакуловская Л.	226
Вальдман В.	2239
Вальдю А.	2303
Ван Линь.	2144
Ван Тхиен.	2241, 2296
Вангели С.	2296
Ваншенкин К.	2350
Ванслова А. В.	1833
Варданян А.	2311
Вардишвили Г.	1872
Варшавский А.	227, 2410
Василевская Г.	1873, 1874
Василенко И.	228, 229, 2363
Васильев В.	724
Васильев И.	230
Васильев П.	231
Васильев С.	567
Васильев Саша.	2299
Васильева Р.	2411
Васюкова Г.	232, 233
Ватагин М.	234, 2094, 2102
Ватаману И.	1875
Ватенмахер О.	2589, 2628
Вацземниек Л.	1876, 1877
Введенский А.	2161, 2162,2239, 2350
Вдовенко Е.	1034
Вебер Ю.	2412
Векен К.	2242
Векшегонова И.	2316, 2367
Веленгурин Н.	1362
Великанов А.	235
Великородных Ю.	2358
Велтистов Е.	237, 238, 2281
Вельм А.	2242
Вельскопф-Генрих Л.	2145
Венедиктов А.	2221
Веприцкая Л.	240, 241
Верейская Е.	2301
Вересов А.	242
Вержуцкий Б.	2413
Верзилин Н.	2314
Верн Ж.	2146, 2147
Вертман Ю. Д.	2282
Верхало Ю.	2589, 2628
Верховский В.	2298, 2320
Вершинин Л.	243, 244
Веселовский И.	2407
Весновская-Перевозчикова И. Я.	245
Вестли А.-К.	2296
Ветрова М.	246
Вехова М.	2637
Вечканов С.	2337
Вечтомова Е.	2349
Виард В.	2337, 2357
Вигдорова Ф.	331
Видгоп Л.	247
Виеру Г.	1878, 2316
Викторов В.	248,2140, 2320, 2332, 2361
Викторов К.	2638
Викулов С.	249, 2367
Вильдрак Ш.	2148
Виноградова С.	2361
Виноградская П.	250
Виноградская С.	250
Винокуров Е.	520
Винтина М.	2331
Витез Г.	2149
Витензон Ж.	251, 1379
Виткович В.	252
Вишневская Е.	1682
Владимиров А.	2415
Владимиров О.	2424, 2425
Владко В.	253
Владыкина-Бачинская Н.	241$
Власенко И.	2326
Власов А.	254, 255
Власов Ф.	747
Власов Ю.	2301
Внуков Н.	256—259
Водоносов Микола.	1879
Вожжова Л.	2322
Воздвиженский А.	260
Вознесенский А.	2367
Воинов А.	261, 262
Войнич Э.	2150—2152
Войскунский Е.	263
Войщвилло Е.	2572
Волгина Т.	264, 265, 2320
Волжина Т.	266, 267
Волк И.	268, 2301
Волков А.	269—272, 2281
Волкова А.	2417
Волкодаев П.	273
Волобринский М.	2282
Воловик Г.	1786
Воловик Л.	2361
Волохов Ф.	274
Волчкова Т.	2316
Волынов Б.	2368
Волынец М.	275
Волынский Л.	2418, 2419
Вольнов А.	276
Вольпин М.	1379
Вольский А.	2320
Вольф С.	277, 278
Вольф Ф.	2242
Воробьев В.	279, 280,2291, 2348
Воробьев Е.	281
Воробьев П.	282
Воробьева И.	1522, 1806
Воробьева М.	2292
Воронин А.	283
Воронин С.	284, 285
Воронина Н.	2368
Воронкова Л.	286—291, 1492,2281, 2320, 2350
Воронов Б. А.	1379
Воронокова С.	837
Воронько П.	2350
Воскобойников В.	292, 2306
Воскобойников М.	2120
Воскресенская З.	293—297,2226, 2320, 2325
Вронский Ю.	298, 2281
Всеволожский И.	299, 367
Ву Тхи Тхыонг.	2241
Вштуни А.	2360
Высотская О.	300—302, 2303,2320, 2350
Вьет Линь.	2241
Гаадамба М.	2296, 2355
Габбе Т.	1806, 2177, 2222,2236, 2237, 2239, 2294
Габе Д.	2155
Габриэлян В.	2360
Гаврилов И.	1880
Гаврилов Ю.	2349
Гагарин Ю.	2420
Гадаев В.	2337
Гайдар А.	303—325, 2298, 2303, 2317,2319, 2328, 2487
Гайни П.	2331
Гайсултанов У.	1881
Гакина В.	1569, 1571
Гальперштейн Л.	2354
Гамзатов Р.	2316, 2359, 2367
Ганейзер Г.	2421
Гапаров М.	1882
Гараи Г.	2156
Гарин-Михайловский Н. Г.	1522, 1523,2342—2344
Гармаа Д.	2355
Гарф А.	326—330,2281
Гаршин В. М.	2342—2344
Гасанов Б.	1883
Гасенко Г.	2292, 2363
Гауф В.	2157—2159, 2239
Гашев Б.	2348
Гашева Н.	2291
Гейгер Б.	2156
Гембель А.	2425
Георгиевская С.	331—333, 2281, 2316
Герасимов Е.	622
Гераскин Г.	2487
Гераскина Л.	225
Геращенко А.	2292
Гергей Ш.	2176
Герман Ю.	334
Гернет Н.	335—337, 1130, 1379, 2325,2341
Герцен А. И.	1524— 1527, 2282
Герчик М.	338
Гершкович С.	2368
Гете И.-В.	2160
Гиленко В.	2316
Гилле-Брандтс Е.	657
Гингольд Л.	2361, 2422
Гинзбург Л.	2153
Гинцберг Л.	2287
Гиппиус Н.	339
Главан З.	2423
Глазков А.	2328
Глазков Н.	2367
Глебка П.	2320
Глебов А.	340
Глинка В.	341
Глотов В.	2368
Глушкова Л.	2291
Гневышева Р.	2424
Говоров А.	2367
Гогебашвили Я.	2067
Гоголь Н. В.	1528—1547, 2282
Годунова М.	342, 343
Гожев К.	344
Голант В.	2424, 2425
Голованов Л.	2589, 2628
Голованов Я.	2368
Головина Н.	345, 346
Головко В.	2395
Голосов П.	347
Голуб Т.	348
Голубев Ф.	349
Голубева А.	350, 351
Голубева Н.	2321
Голубков Д.	352
Голубов С.	353
Голышкин В.	354—356
Гольденштейн М.	2426, 2427
Гольдин Л.	2573
Гольдшмидт И.	357
Голявкин В.	358—360, 2284, 2325
Голяховский В.	361
Гончаренко Г.	2595
Гончаров В.	1619
Гончаров И. А.	1550— 1552, 2282
Гончаров Н.	362
Гоппе Г.	363, 2298, 2320, 2350
Горбачевский Б.	2428
Горбовцев М.	364, 365
Горбунов В.	2429
Гордин М.	1757
Горлов Д.	1240
Городецкий В.	2430
Городовиков О.	367
Горская Е.	2361
Горький М.	368—392, 1752, 2282, 2303,2316, 2343, 2344
Горюнов И.	393
Горюнов М.	477
Горячкина М. С.	1601, 1681, 1736
Грабор П.	2330
Граевский А.	2291
Грандова В.	2603
Гранин Д.	394
Граубин Г.	395, 396, 2367
Граховский С.	2320
Граши А.	1884
Гребенников С.	397
Греков Б.	1819
Грибоедов А. С.	1548— 1552, 1745
Григо Э.	398
Григорьев Г.	2300, 2424, 2572
Григорьев Н.	399—402, 2305
Григорьев О.	403
Григорьев С.	404, 405
Григорьева Р.	406
Григорян Ш.	2311
Гриезане М.	1885, 2367
Гримм Я. и Гримм В.-К.	2161, 2162,2239
Гринберг И.	952
Гринин М.	407
Гриценко Т.	408
Гришашвили И.	2359
Гроденский Г.	536, 1425, 1474, 2431
Гродзеньская С.	2296
Гроздов А.	2326
Гром И.	2432
Гроссман М.	409
Грудзинский В.	410
Грудинина Н.	2301
Груя К.	2212
Грязнов Е.	2347
Губанова В.	2320
Губарев В.	411, 2298
Гудайтис-Гузявичюс А.	1886
Гудзенко Р.	2573
Гукасян О.	2311
Гулям Г.	1887
Гульянц Е.	2376, 2433
Гумилевская М.	2434, 2519
Гуральник У. А.	1746
Гурвич М.	2300
Гуревич В.	2361
Гуро И.	412, 1506
Гуртуев Э.	1888
Гурунц Л.	2301
Гусаров В.	2639
Гусев А.	2435
Гуссаковская О.	413
Гуцало Е.	1889
Гущин Н.	414
Гюго В.	2163—2167
Гюльназарян Х.	 1890, 2311
Давид К.	2242
Давидова Х.	415
Давыдов З.	416
Давыдов С.	417
Давыдычев Л.	418, 419, 2328, 2348
Дагаев М.	2379
Дадашев М.	2327
Дайреджиева Я.	2298
Даль В. И.	1776, 1793, 1794, 2350
Дамдинов Н. Г.	1891
Дангулов С.	2345
Данилов В.	1379
Данилов И.	420
Данилов Семен.	1892
Данилов Софрон.	1893
Данько В.	421
Дарбни А.	2360
Даржаа Алдын-оол.	1894
Даскалов Ц.	2345
Дворкин И.	423, 2286, 2349
Девель А.	2145
Девин И.	2337, 2357
Дегель Э.-Г.	2534
Дегтярев В.	628
Дедюхин Б.	425
Дейч А.	426
Дейч Г. М.	427
Деляну Л.	1895— 1897
Дементьев А.	428
Дементьев Н.	2316
Демиденко М.	429—431, 2286
Демидова Л.	2333
Демыкина Г.	432—434
Демьянов И.	435, 2306
Денисов Ю.	436, 2353
Денисова Г.	2572
Дербенев Л.	2316
Державин Г. Р.	1553
Дефо Д.	2169
Дешин А.	437
Джаббаров Д.	2359
Джавахишвили Д.	1898
Джалалбекова Л.	2424, 2425, 2572,2573
Джалиашвили Э.	2086
Джамбул.	2359
Джами.	2307
Джангазиев М.	2334
Джангар.	2307
Джойс П.	2296
Джорджеску К.	2170
Джусойты Н.	2367
Дзен-Литовский А.	2425
Дзесов К.	1899
Диёр З.	2293
Дижур Б.	2396
Дик И.	438, 439, 2281
