Бичюнайте Л.	3156
Блинов Н.	4214, 4667
Блинова Л.	670
Блиох И.	4780
Блох А.	4448
Бобров А.	4401
Бобрович А.	4529, 4859
Бобровникова Л.	1919
Богаевская О.	1621, 1623, 1658
Богаткин В.	1394
Богатов А.	4315
Богданец Н.	279, 808, 2536, 3017
Богданова-Березовская Н.	641
Богдеско И.	1376
Богоявленский В.	1479
Божко Ф.	3416
Бойко С.	2427, 3173, 3496
Боковня В.	3946
Боксер Ю.	2035
Болдин В.	1054
Большакова И.	1115
Большаков М.	2500, 2564, 2565, 4707
Бондаренко Т.	4309, 4311
Бордюг С.	1420
Борисов А.	98, 284, 581, 843, 1004, 1093, 1423, 1441, 1442, 1484, 3257, 3578, 3901, 4111, 4157, 4159, 4730, 4805, 4895
Борисов В.	3656, 3703
Борисов П.	3466, 3725, 3728, 3858
Борисова В.	1816
Борисова Е.	1132
Боровко В.	2516, 3010, 3332, 4304, 4323, 4778
Боровский Д.	2425, 2677, 2678
Бородачев Ю.	1479
Бородкин М.	4319
Бородин С.	2438
Бортников Н.	2201
Борушко С.	349, 1253, 4226
Бочаров В.	642
Бочкарев Ю.	1285, 1969, 3930
Боярский Ю.	362, 3785, 4275
Брагинский В.	1001, 1346, 1457
Брайтман А.	102
Брей А.	133, 708, 1823, 2653, 3419
Бритвин В.	2579
Бродский В.	636, 3930, 4240, 4309, 4460, 4739, 4740, 4741, 4815, 4905, 4938
Бродский С.	1350
Бродская Э.	3461
Брок Г.	3663, 3666, 3678, 3805—3809, 3811, 3812, 3814
Брузгин Л.	4294
Бруни И.	2383
Брылев Л.	4754
Брынза С.	525
Брюн Л.	3956
Брюханов Д.	632, 1028, 2353, 2435, 2527, 2590, 2890, 3163, 3284, 3462, 3465, 3480
Брюханов Н.	3685
Бубенщиков В.	1029
Бубнов В.	517
Бубэ Н.	1082
Бугай М.	611, 2532
Будко С.	4639
Будников Н.	2135, 2136, 2584
Будный В.	2259, 3388
Булай А.	3032, 3033, 3034
Булаки А.	322
Булатов В.	891, 3071, 3203
Булатов М.	2572
Булатов Э.	141, 205, 1058, 1296, 1507, 1982, 2983, 3351, 3426, 3428, 3429, 3580, 3745, 3746, 3908
Булдаков И.	2114
Бундин В.	313, 1046, 1088
Буракова Т.	1070, 3518
Бурба В.	1592
Бурзалов М.	1565
Бурмагина Г.	74, 174
Бурмистровы М. и А.	2278
Бутенко В.	4577
Бутко С.	4465, 4616
Бухарев В.	1264
Бухаров М.	13
Бушин Н.	4177
Быков Л.	244
Былинский Л.	3945
Былинский С.	1715, 3946
Быргазов В.	196
Бычков М.	404, 1083
Бэнбери Ф.	3521
Вагин В.	107, 259, 260, 438, 462, 530, 543, 547, 852, 1630, 1641, 1674, 2017, 2290, 2329, 2333, 2342, 2400, 2407,  2408, 2413, 2422, 2424, 2433, 2453, 2513, 2550, 2566, 2689, 2704, 2705, 2707, 2716, 2728, 2754, 3561, 3573, 4346, 4753
Вакарчук М.	3920
Валеева М.	323
Валетов Г.	353, 1220, 3651
Валиев В.	79, 1994, 2226, 3137, 3197
Валлимяэ Л.	3211
Валсамаки В.	3109, 3282
Вальдман А.	4696
Вальк Г.	27, 294, 583, 609, 657, 677, 945, 947, 1318, 1360, 1429, 1431, 1434, 1448, 1449, 1815, 1908, 3954, 4348
Ванюков Е.	1017
Варданян Э.	3285, 3453
Вардзигулянц Р.	1303, 4618
Варзар И.	2642
Варлашин В.	4782
Варшамов Р.	705, 706, 1829, 1910—1913,  2049,.  4186, 4217, 4698
Василевская Н.	4288, 4372, 4534, 4678, 4679
Василенко А.	969, 2793, 3207
Василенко В.	4281
Василенко Н.	211
Васильев В.	488, 785, 1356, 1438, 2649, 4428, 4521, 4522, 4783
Васильев Г.	454
Васильев Е.	4850, 4870
Васильев Н.	4151
Васильев О.	141, 205, 1296, 1507, 1557, 1982, 2983, 3351, 3426, 3428, 3429, 3580, 3745, 3746, 3908
Васильев Ю.	641
Васильева Т.	132, 200, 296, 467, 757, 1482, 1650, 1706, 2414, 2494, 3791, 3942, 4156
Васильева Ф.	641
Васин А.	845, 3886
Васин В.	4850
Васина З.	620
Васнецов А.	3964, 3965
Васнецов Ю.	922, 1214, 1654, 1655, 1659, 2140, 2149, 2151, 2667, 2770, 2779, 2829, 2849, 2859, 2880, 2892, 2905, 2946
Васнецова Е.	1714, 2767, 3206
Васнецова Ю.	216
Ващенко Ю.	1816, 3951
Вегерчук М.	3115
Ведерников Е.	3044
Вежливцев В.	915
Вейцлер В.	4535
Вейлерт Р.	4228
Векслер А.	3495
Великанов А.	4556
Величкин С.	4163, 4648
Величко С.	1749
Вельде И.	641
Вельчинская Е.	4244, 4657
Вельчинская О.	4244, 4657
Вендер А.	3199
Вендров А.	4533
Вендров Л.	4178, 4487
Верейский О.	348, 1718, 1720, 1923, 1925, 1928, 1930, 2011, 2016, 2020, 2022, 2213, 3954, 4609, 4610, 4611, 4654, 4655
Веркау А.	424, 425, 426, 1858, 3866, 3946
Вершинина Н.	3272, 3273
Веселов А.	730
Ветик М.	957
Ветрогонский А.	641
Вечерский Ю.	959, 2062
Вечерчук М.	4710
Виеру И.	3023
Визель В.	4523
Викланд И.	3689
Виноградова Л.	1497, 2276, 2700
Виноградова Н.	3900
Винокур В.	894, 1426, 1680, 2160, 2197, 2242, 3510, 3657, 4681
Винокуров Д.	3404, 3449
Вишнепольский С.	3443
Владимиров В.	1382
Владимиров Ю.	4438, 4579
Владимирская А.	2806, 3895
Владимирский Л.	371, 372, 373, 377, 378, 1471, 2573, 3914
Владычек И.	4500
Власов Б.	3620, 3621, 3855, 3910
Власов В.	1985, 3392, 3909, 3924
Власов Н.	3954
Власова А.	3138, 3460, 3945, 4216
Власова Е.	3392, 3924
Вовикова А.	1628
Воинкова В.	1570
Войткович Т.	4894
Войшвилло Е.	2171, 4309, 4311, 4426, 4703, 4739, 4947
Волков А.	3052
Волков С.	848, 1916, 3170, 3224, 4946
Волнянский Ю.	3709
Волович В.	106, 3803
Володина О.	3945
Волошин А.	2256
Волхонская Г.	2384
Волхонский С.	3201
Вольгушев Е.	2648
Вольский В.	623, 3505
Вольский Р.	26, 722, 913, 927, 929, 1025,  1462, 1720, 1747, 2967, 3393, 3571, 3861, 4766
Волынец В.	1460
Волынский Р.	1513
Воробьев В.	1850, 4720
Воробьев Н.	732, 803, 2493, 2599
Воробьев С.	1887, 2991, 3627
Воробьева К.	4311
Воронова Н.	2520, 3401, 3845, 3954, 4734
Ворохов В.	4732
Ворошилов Ш.	641
Врона К.	4909, 4910
Врубель М.	2440
Вторенко В.	12
Вуколов О.	1851
Вундерлих С.	4743
Высоцкий В.	302, 565, 645, 647, 833, 904, 1325, 2665, 3165, 3653, 3714, 3767
Высоцкая К.	2378, 2805
Гаврилин Е.	4509
Гаврилов О.	4174
Гаврилюк И.	1922, 4644
Гагаркина Л.	3938
Гагин Г.	1695
Гадзалова З.	829
Гайсин М.	2988, 3317
Галзонс М.	3271
Галинская О.	896
Галицкая О.	309, 3043
Галкина Н.	4154
Гальдяев В.	427, 437, 439, 816, 1095, 1389, 1514, 1688, 1693, 1722, 1835, 1836, 1937, 1938, 2181, 2205, 2206, 2220, 2220а, 2508, 3070, 3757, 3938, 4154, 4539, 4577, 4783
Гангалюка А.	795, 921, 4831
Ганнушкин А.	1016, 1539
Ганнушкин Е.	1110, 1974, 2629, 3602, 3603, 3798, 4489
Ганнушкина С.	645, 2700
Гансовская И.	4343
Гапоненко Т.	2738
Гарин Л.	4191
Гарипов М.	3245
Гармидер Г.	851
Гармыза Л.	369, 534, 824, 3148
Гасников А.	340, 1921, 4540, 4638
Гаянов З.	3209, 4002
Гвоздева О.	658, 2791
Гелеверов Г.	1822
Генюшене И.	3184
Герасимов А.	3247
Гераскевич С.	4085
Гергая Г.	2992
Герман В.	4265
Гершкович Ю.	473, 3306, 3502, 3650,   3963
Гесин С.	492, 2664, 4195, 4311
Гилев А.	2192
Гилевич А.	3409
Гинуков В.	4626, 4844, 4876
Гирель И.	803, 888, 2275
Гладикова Е.	236
Гладков В.	125, 3125
Гладнева Л.	10, 30, 1881, 2660, 3969, 4974
Глазунов И.	4380
Глебов Ф.	1309, 1646, 3954
Гликман Г.	104, 475
Глуховцев А.	783, 3439
Глушков В.	3150
Гнисюк Т.	1316, 2415
Говоркова Т.	674, 2523, 2609, 3363
Годин И.	34, 276, 351, 422, 563, 692, 903, 1894, 2064, 2199, 2200, 2403, 2468, 2485, 2497, 2512, 2627, 3946
Голицын А.	1222
Головатый С.	3732
Головаш Ю.	1154
Головченко А.	4658
Голощанов С.	306
Голубев А.	219
Гольдберг Л.	1149, 1968, 3863, 3954
Гольдин Е.	57
Гольдяев В.	559, 607, 650, 3318, 3954
Гольц Н.	3472, 3473, 3577, 4763
Голявкин В.	500, 502
Гонина Е.	2848
Гонков С.	538
Гончаренко В. Г.	930, 1259, 2364, 4203, 4976
Гончаренко В. Т.	528
Гончаров А.	2447
Гончаров В.	649, 3086
Горб Т.	641, 816, 3048, 3178, 3635
Горбатов В.	1615
Горбачев В.	3230
Горбенко И.	1897
Горбунов Н.	1419, 1561, 1946, 2008, 2706, 3534, 3598, 4305
Гордеев В.	3995, 4016, 4017, 4018
Гордийчук В.	2747
Гордон М.	4528
Горняк М.	432
Гороховский Э.	1002, 1276, 1322, 1354, 1357, 3027, 3584, 3730, 3880, 4398, 4674
Горяев В.	139, 145, 148, 1067
Горячев В.	1545, 2660, 3193, 3350
Горячева В.	182, 247, 2294, 3954
Горячкина Н.	3945, 3946, 3954
Гофман Ю.	3596
Гошко В.	1469
Гранвиль Ж.	3602, 3603, 3604, 3605, 3606, 3609, 3771—3774
Грановский А.	4741
Гребенников В.	4324
Гребенюк О.	186, 187
Грибова Е.	3964, 3965
Григорьев В.	1281, 2107, 3841, 4874
Григорьев П.	1673
Григорьева Л.	924, 1281, 3841
Григорьева Н.	515
Гринев Б.	4344
Гринштейн И.	856, 856а, 860
Гринько В.	4139
Гритчин Л.	4797
Гришин А.	1605, 2989, 4156
Гришин Н.	2081, 4268
Грищенко Н.	707
Громан Д.	635, 4877
Громов А.	3533
Громыко М.	2692
Громыко Т.	380, 2116
Гроссе О.	301, 2758, 4602
Грудинская Н.	1228, 1486
Грюнталь И.	4380
Губанов Г.	4218
Губарев В.	2401, 2765
Гудзенко Р.	1196, 1262
Гудков В.	4996, 4997
Гулин А.	2708
Гульковский Н.	4335
Туманов А.	1274
Гумеров Р.	3369, 3463
Гуревич Б.	58, 773, 776, 1241, 3938
Гурин И.	4309, 4311, 4739, 4740, 4741
Гурин Ю.	1527
Гуркин И.	3930
Гурьев А.	2459, 2517, 2644
Гурьянов П.	3202
Гусев В.	1, 580, 1066, 1258, 1409, 1917, 1985, ‘2183, 4206, 4702
Гусева И.	2541, 2626, 3781
Гусева Т.	267
Давыдов А.	490
Давыдов В.	1465, 1467, 4467, 4666
Давыдов Р.	1165, 2078
Давыдова О.	418, 1581, 3835
Дадашев Э.	2636
Далбанов Н.	4645
Данилевич И.	4660
Данилов М.	517, 942, 4686
Данилов С.	1781
Данилов Ю.	1584, 2936
Данич Л.	1547, 1553
Даровских В.	4867
Дацко Е.	3575
Деев Ю.	1400
Демарин А.	2656
Демидова О.	1646
Демыкин А.	2802, 3386, 3641
Денисов А.	204, 1414, 1564
Денисов С.	237, 1078, 1681, 3047
Денисов Ю.	564, 3484
Денисова Н.	3409
Деряжная Е.	3092
Дехтерев Б.	150, 680, 849, 1213, 1305, 1780, 2064, 2152, 2368, 2405, 2558, 2585, 2587, 2588, 2601, 2608, 2690, 2691, 2694, 2766, 3515, 3516, 3556, 3610, 3668, 3729, 3733, 3782, 3793, 3954, 3968, 4355, 4369а, 43696
Дехтяр А.	4745
Джайчивеков Б.	1048, 2439
Джугань И.	387
Джулакян Р.	3367
Джумбаев Дж.	1740
Дианов А.	3198, 3433, 3450
Дианов В.	3450
Диодоров Б.	955, 987, 1310, 1311, 3684, 3691,3708, 3903, 4164, 4604
Дисней У.	3907
Диуренко Е.	1480
Дмитриев Г.	2257
Дмитриев Д.	2369, 2370
Дмитриева Г.	77, 1132, 2519, 3349
Дмитриенко О.	367 ,
Дмитрюк В.	562, 1186, 1509, 4466
Днгак В.	3131
Добер А.	2554, 2555
Добер В.	262, 2638
Добрицын А.	3937, 4204, 4374
Добровинская Т.	2832
Добровинский Е.	2832
Добровольнова Т.	4995
Доброницкая И.	1862
Доброхотова-Майкова Н.	4337, 4578
Доброхотова-Майкова Т.	4337
Додэ В.	1160, 2929
Дозорец В.	2889, 3700
Докрунов В.	3011 
Долгополов А.	122, 1599
Домнин Л.	1133
Донгак В.	3148
Донское В. А.	2063
Донское В. И.	3297
Дорожинская А.	3424, 3905
Дорой Е.	1364
Дорой К.	1670, 2447
Доронин Н.	1807, 2511, 3345
Дорэ Г.	3755
Драгунов Н.	499, 1087, 2221
Дризина А.	4311, 4740
Дробязин Е.	365
Дроздов В.	4415
Дронова Н.	1463, 3258, 4634, 4651, 4875
Дубинский Н.	3954
Дубровин И.	209, 1480
Дубровина С.	884
Дубцова С.	2059, 3783
Дувидов В.	812, 1044, 2137, 2150, 3159, 3289, 3647, 3891, 4149, 4155
Дудин А.	931, 1416, 3023а, 3024
Дудова О.	368, 1759
Дузелханов А.	2997
Дунаева И.	290, 841, 1074, 1297, 1365, 3528, 3567
Дунский Ю.	3591
Дурасов Л.	376, 411, 586, 624, 1091, 1717, 1728, 1790, 1793, 2920, 3519, 3613, 3614, 3615, 3819, 3867, 4286
Духович В.	4395, 4591
Дъяков А.	273
Евдокименко В.	412, 962, 1548, 2737, 3964, 3965
Евстигнеев А.	254, 691, 2292
Егоров В.	49, 1566, 1895
Егоров Н.	3304, 3883
Егорова Л.	2309, 2354
Ежелин А.	4739, 4740, 4741
Ежкин Н.	4442
Елизаветский В.	4755
Елисеев А.	745, 1073, 1210, 2614, 2768, 2792, 2797, 2803, 2915, 2921, 3375, 4156
Елиеев Г.	4671
Емельянов В.	1171
Епишин Г.	476, 595, 596, 1123, 2068, 2830, 3658, 3882, 3913
Епишкин Е.	4535
Еранкин В.	1339, 3674
Еременко Т.	4807
