Гончаров И. А.	394
Гончаров И. А.	395
Гончаров И. А.	396
Гончаров К. В.	397
Гор Г.	398
Гор Г. и Петров В.	399
Горбачева З.	401
Горбовцев М.	402
Гордиенко В.	403
Горлов Д.	404
Горький М.	405, 406
Горький М.	407
Горький М.	408—411
Горький М.	412
Горький М.	413, 414
Горький М.	415
Горький М.	416, 417
Горький М.	418
Горький М.	420—423
Горький М.	419
Горький М.	424
Горький М.	425
Гра Ф.	428
Гравишкис В.	429
Гречишникова А. Д.	1935
Грибачев Н.	430
Грибков Н.	431
Грива Ж.	432, 433
Грива Ж.	434
Григорович Д. В.	435, 436
Григорович Д. В.	437
Григорьев Н.	438
Григорьев С. Т.	439
Григорьев С. Т.	440
Григорьева М.	441
Григулис А.	442
Григулис А.	443, 444
Гримм, бр.	445
Гримм, бр.	449, 450
Гринберг И.	451
Гринберг И.	452
Гринвуд Д.	453
Гриц Т.	454
Гришашвили И.	455
Гроденский Г.	456
Громов В. И.	457
Груздев И.	458
Губарев В.	459, 460
Губарев В.	461
Губарев В.	462—464
Губарев В.	465
Губарев В.	466
Губарев В.	467, 468
Губей Г.	469
Гукасян О.	470, 471
Гулиа Г.	472
Гулям Гафур.	474
Гулям Гафур.	475
Гуревич Г.	476
Гуро И.	477
Гурьян О.	478
Гуссейн М.	479
Гюго В.	482
Гюго В.	483, 484
Гюго В.	485—487
Гюго В.	488—490
Давыдов Л.	491
Давыдова В.	492
Давыдычев Л.	493
Дальний Б.	495
Даренский И.	496
Дарьян З.	497
Дегтярев В. А.	501
Демидов М.	503
Державин А. И. и Скрипчинский В. В.	505
Дефо Д.	515, 516
Дефо Д.	517
Джамбул.	518
Джатиев Т.	519, 520
Дик И.	521, 522
Диккенс Ч.	523, 524
Диккенс Ч.	525, 526
Дильбази М.	527
Динере Ц.	528
Динин С. и Нимен Л.	529
Дмитриева Е.	532, 533
Днепровский Д.	534
Доброленская Ю.	535
Добролюбов Н. А.	536
Долинова Е.	538
Долматовский Е.	539, 540
Донникова В.	541
Донченко О.	542
Донченко О.	543
Дорохов А.	545
Дрожжин М. Г.	547
Дрожжин М. Г.	548
Дрожжин С. Д.	549
Дрозд А.	550
Дроздов Л. и Жемайтис С.	551
Дроздов Л. и Тетерина М.	552
Дружинин В.	554
Дружинин В.	555
Дружинин В. и Слоним И.	556
Дубов Н.	557—559
Дубов Н.	560
Дубянская М.	561
Дугинец А.	562
Дудкина А. И.	563
Дуров В.	564, 565
Душкин Н.	566
Дьяконов Л.	567
Дьяконов Л.	568
Дьяконов Л.	569
Евстафьев Н.	570
Елагин В.	572, 573
Емельянов Б.	574—578
Емельянов Б.	579, 580
Ерикеев А.	581
Ерикеев А.	582
Еромицкий А.	583
Ершов П. П.	584, 585
Ефетов М.	586
Ефетов М.	587
Ефремов И.	588
Ефремов Ю. К.	589
Жак В.	590
Жак В.	591
Жак В.	592
Жак В.	593
Жариков Л.	594
Жданов Н.	595
Жданов Н.	596—598
Жемайте Ю.	602, 603
Жестев М.	604
Жигалов И.	605
Жилин С.	611
Житков Б.	612
Житков Б.	613
Житков Б.	614
Житков Б.	615
Житков Б.	616, 617
Житомирова Н. Н.	1939
Жуков В., Иовлев Б.	618
Жуковский В. А.	619
Жуковский В. А.	620
Журавлев Т.	621
Журба П.	622—624
Забила Н.	628
Забила Н.	629
Забила Н.	630
Забила Н.	631
Забила Н.	632—635
Забила Н.	636
Заботин И.	637
Зайцев В.	641
Зайцев И.	642
Зак А. и Кузнецов И.	643, 644
Залка М.	645
Залуцкий М., Шпальский Р.	646
Зарецкий А.	647
Захарченко В. (В. Дмитриев).	649
Збанацкий Ю.	651, 652
Зверев М.	653
Зверев М.	654
Зверев М.	655
Зверев М.	656
Зверев М.	657
Зверев М.	658
Зверев М.	659 
Зверев М.	660
Звягина В.	661
Зельцман Л.	663
Зигель Ф.	664
Зигель Ф.	665
Зимин С.	666
Золотовский К.	670
Зорин М.	673
Зорин Ф. М.	674
Зорьян С.	675
Зотов К.	676
Иваненко О.	681—683
Иваненко О.	684
Иванов А.	685
Иванов А.	686, 687
Иванов И.	688
Иванов С.	689
Ивановский М.	690
Иванченко Н.	691
Иванченко Н.	692, 693
Иванченко Н.	694
Игнатов П.	695
Иерусалимский В.	696
Ильин М.	698
Ильин М. и Сегал Е.	699
Ильина Е.	700
Ильина Е.	701, 702
Иовлев Б.	703
Иовлев Б.	704
Ирасек А.	706
Ирасек А.	705
Исаков А.	707
Исмаилов Х.	708
Казакова Н.	1940
Калинин А. И.	716
Калинина Н.	717
Калинина Н.	718
Калинина Н.	719
Калинина Н.	720
Кальма Н.	721—724
Кальма Н.	725
Каменкович З.	726
Канель Л. В.	727
Канонидис Ф.	728
Капутикян С.	729
Караев Г.	731
Каралийчев А.	732
Карганова Е. и Неменова Л.	733
Кардашова А.	734
Кардашова А.	735
Карев Ю.	736
Карелин Ф.	737
Карим М.	738
Карнаухова И.	739—741
Карнеев М.	742
Карташев Р.	743
Карышева О.	745
Кассиль Л.	746
Кассиль Л. и Поляиовский М.	750—755
Кассиль Л. и Поляновский М.	748
Кассиль Л. и Поляновский М.	747
Кассиль Л. и Поляновский М.	749
Катаев В.	756
Катаев В.	757
Катаев В.	758
Катаев В.	759—761
Катаев В.	762
Катаев В.	763
Кауров В.	764—767
Кауфман Я.	768
Кежун Б.	769
Кежун Б.	770
Кипарисова К. П.	1947
Киршина К.	771
Кирюшкин В.	772
Киселева А.	773 
Клементьев С. Д.	778
Клементьев С. Д.	779
Ковпак С. А.	780
Кожедуб И.	781
Козлов П.	785
Козлов С.	786
Коковин Е.	787—789
Коковин Е.	790
Колас Я.	791
Колганов Д. И.	792
Коломиец А.	796
Коломиец А.	797
Колосков А.	798
Комаров П.	799
Комаровский Г., Комаровский Н.	800
Комовский А. Г.	802
Коновалов В.	803
Кононенко Е.	804
Кононов А.	805
Кононов А.	806
Кононов А.	807—812
Кононов А.	813
Коробков Г.	814 
Короленко В. Г.	817, 818
Короленко В. Г.	819
Короленко В. Г.	820
Короленко В. Г.	821—823
Корольков С.	824
Коростина Л.	825, 826
Коростина Л.	827
Корсунская В.	828
Корчагина В.	829
Коршун И. и Толмачева Е.	830, 831
Коршунова Л. А. и Пушкарев Г. М.	1955
Корюн М.	832
Косицкий Г. И.	833
Космодемьянская Л.	834
Космодемьянская Л.	835—839
Косов С.	840
Костенко И. и Микиртумов Э.	841, 842
Котляр И.	845
Котляров Б.	846
Котовщикова А.	847
Кочетков В.	848
Кочетова Р., Никифоров И., Константинов В.	849
Кошевая Е. Н.	850, 851
Кравець О.	852
Кравець О.	853
Кравченко В.	854
Красев М.	856 
Крейс В. и Минц К.	857
Кривоносов Л.	858
Кривоносова З.	859
Кротов М.	860 
Крушинский С.	863
Крылов Г. В.	864
Крылов И. А.	865—873
Крылов И. А.	874
Крылов И. А.	875
Кублицкий Г.	876
Кудрин Л.	877
Кузичев Г.	878
Кузнецов В.	879
Кузнецова А.	880
Куликов А.	882
Куликов Л.	883, 884
Куликов Л.	885
Куминова А.	886
Кунгуров Г.	887
Кунгуров Г.	888
Кунгуров Г.	889
Кунгуров Г.	890
Кунилов Ф.	891
Кунин К.	892, 893
Купала Я.	894, 895
Купала Я.	896
Купер Д. Ф.	897
Куприн А. И.	898, 899
Куприн А. И.	900—902
Куприянов Н.	903
Купфер М.	904
Куратов И. А.	905
Куриленко З. Е.	906
Куртикян С.	907
Кучеров Е. В.	908
Кучерявенко В.	909
Кучерявенко В.	910
Кычаков И., Чмыхало А.	911
Кычаков И., Чмыхало А.	912
Лагин Л.	913
Ладонщиков Г.	914, 915
Лаптев А.	916, 917
Лапыгин М.	918
Лебедев В.	919
Лебедев В.	920, 921
Лебеденко П.	922
Левченко Л.	923
Леманис И.	924
Леонидзе Г.	925, 926
Леонов Н.	927
Лепешинская О. Б.	928
Лермонтов М. Ю.	929, 930
Лермонтов М. Ю.	931
Лермонтов М. Ю.	932
Лермонтов М. Ю.	933
Лесин А. и Щеглов М.	934
Лесков Н. С.	935
Лесной М.	936
Ликстанов И.	941, 942
Липин Л., Белов А.	943
Лисовский К.	946
Лисовский К.	947
Литвинов В. М.	948
Логинов Н.	951
Лозовой М.	952
Лондон Д.	953, 954
Лосев П.	955
Лубнин Л.	956
Луговской И.	957
Луке В.	960
Лукин Н.	958
Лукичева Т. С.	1957
Лукьянов Б. и Латов В.	961
Лушников В.	962
Лызлова А.	963
Львова К.	964
Любимов Б.	965
Любимов Е.	966
Любимова В.	967
Люшнин Г.	968
Лялицкая С. Д.	969
Лялицкая С. Д.	970
Ляпунов Б.	971
Майков А. Н.	972
Макаров М.	973
Макарова И.	974
Максимихин И.	975
Максимихин И.	976
Малинина С.	979
Малышев А.	980
Маляревский П. Г.	982
Маляревский П. Г.	983
Маляревский П. Г.	984, 985
Мамедкули Заде Д.	986
Мамедханлы Э.	987 
Мамин-Сибиряк Д. Н.	988—995
Мамин-Сибиряк Д. Н.	997—999
Мамин-Сибиряк Д. Н.	1001
Мамин-Сибиряк Д. Н.	1004
Мамин-Сибиряк Д. Н.	1005—1007
Мамин-Сибиряк Д. Н.	1002, 1003
Мамин-Сибиряк Д. Н.	1008
Мамин-Сибиряк Д. Н.	1009
Мамин-Сибиряк Д. Н.	1010, 1011,
Мамин-Сибиряк Д. Н.	996
Мамин-Сибиряк Д. Н.	1000
Мамсуров Д.	1012
Мар. Е.	1013
Маркова О.	1014
Марченко Т.	1015
Маршак С. Я.	1031, 1032
Маршак С. Я.	1036
Маршак С. Я.	1016
Маршак С. Я.	1017, 1018
Маршак С. Я.	1019—1021
Маршак С. Я.	1022
Маршак С. Я.	1023
Маршак С. Я.	1024
Маршак С. Я.	1025
Маршак С. Я.	 1026, 1027
Маршак С. Я.	1028
Маршак С. Я.	1029
Маршак С. Я.	1030
Маршак С. Я.	1034
Маршак С. Я.	1033
Маршак С. Я.	 1035
Маршак С. Я.	1037
Марьенков М.	1038
Матвеев Г.	1040
Матвеенко А.	1041
Матросов А.	1042
Матутис А.	1043
Матушкин В.	1044
Маяковский В. В.	1046
Маяковский В. В.	1047
Маяковский В. В.	1048
Маяковский В. В.	1049
Маяковский В. В.	1050
Маяковский В. В.	1051
Маяковский В. В.	1052, 1053
Маяковский В. В.	1054
Межелайтис Э.	1055
Межелайтис Э.	1056
Мезенцев В.	1057
Мелузников А.	1058
Мелузников А.	1059
Мельникова Н.	1060
Мельникова Н.	1061
Меркульева К.	1062
Мильман Н. И.	1064
Милявский А.	1065
Минаева В. Г.	1066
Минин Д.	1067
Мирмиков Л. М.	1068
Мирмухсин.	1069
Мирмухсин.	1070
Миронова Д.	1071
Михайлов А.	1074
Михалков С.	1075, 1076
Михалков С.	1077
Михалков С.	1079—1084
Михалков С.	1078
Михалков С.	1085—1087
Михалков С.	1088, 1089
Михалков С.	1090, 1091
Михалков С.	1092
Михалков С.	1093
Михалков С.	1097
Михалков С.	1094—1096
Михалков С.	1098
Михалков С.	1099
Михалков С.	1100
Михалков С.	1101
Михалков С. и Пахомов А.	1102
Михеев М.	1103, 1104
Мишутин Н.	1105
Могилевская С.	1106
Могилевская С.	1107
Могилевский Б.	1108
Мозурюнас В.	1112
Моисеева М.	1113
Молчанов И.	1117
Молчанов-Сибирский И.	1118
Молчанов-Сибирский И.	1122
Молчанов-Сибирский И.	1119
Молчанов-Сибирский И.	1120
Молчанов-Сибирский И.	1121
Мольер Ж.-Б.	1123
Мстиславский С.	1125
Муканов С.	1127—1129
Мультатули.	1130
Мусатов А.	1131
Мусатов А.	1132—1134
Мухаммади К.	1135
Мухачев И.	1136
Нагишкин Д.	1137, 1138
Нагишкин Д.	1139—1141
Назир Хаким.	1142
Найденова Н.	1143
Найденова Н.	1144
Найденова Н.	1145
Накоряков В.	1147
Наливкин Д., Петров Л.	1148
Нарышкина М.	1151
Незлобии Н.	1157
Некрасов В.	1158
Некрасов Н. А.	1159—1161
Некрасов Н. А.	1162—1165
Некрасов Н. А.	1166
Некрасов Н. А.	1167
Некрасов Н. А.	1168
Некрасов Н. А.	1169
Некрасов Н. А.	1170
Немцов В.	1171
Немцова Б.	1172
Нерис С.	1173
Нехода И.	1174
Нецкая Е. и Вилип П.	1175
Нечаев М.	1176
Никитин И. С.	1177
Никитин И. С.	1177
Никитич Н.	1178
Николаев Вл.	1962
Николаев С.	1179
Новиков И.	1182
Новоспасский К.	1183
Носов Н.	1195
Носов Н.	1184—1188
Носов Н.	1189—1192
Носов Н.	1193
Носов Н.	1194
Носов Н.	1196, 1197
Носов Н.	1198
Носов Н.	1199
