Дехтерев Б.	94, 95, 436, 542, 546, 547, 555, 608, 673, 946, 947, 1143, 1208, 1402, 1752, 1754, 2406, 2433
Джолос Л.	860, 869, 870, 873, 2257
Дисней В.	2386
Дмитриевский А.	815
Добровольский В.	503—505, 894, 895, 1905, 1906, 2535
Доброклонская А. М.	392
Доброклонский В.	1208
Добужинский М.	1936, 2636
Довга ль А.	872
Довгаль О.	1471, 1472
Докальская Г.	570, 1220
Долгоруков Н.	825
Домащенко М.	18, 1073, 1074, 1184а, 1185, 1249, 1967
Дорэ Г.	1792, 1961, 1982—1984, 2137, 2154, 2418
Дубинский Д.	2417
Евган Е.	1023
Егорова Н. Н.	2263
Елисеев К.	1153
Елисеевнина Л.	191, 673, 1208
Елкин В.	1892
Ельцова О. А.	1287
Ерганжиев Хр.	216, 709
Ермолаев А.	37, 38, 162, 213, 233, 374, 375, 429, 430, 433, 434, 436, 438—441, 446, 448, 450—453, 609, 766, 848, 849, 883, 884, 1033, 1039—1041, 1055, 1057, 1128, 1189, 1208 1318, 1348, 1384, 1386—1388, 1423 1426, 1439, 1447, 1457, 1536, 1550 1551, 1582, 1583, 1674, 1725, 1741 1747, 1763—1765, 2064, 2152, 2254, 2448, 2482, 2494, 2605, 2682, 2694, 2696
Ермолов В.	14, 44, 337, 610, 673, 1525, 2139, 2216, 2217, 2769
Ефимов Б.	1720
Ец И.	484, 485, 951, 2193
Ечеистов Г.	2344
Житенев В.	1015, 2277
Жуков Б.	2619
Жуков Н.	370, 1011, 1708, 2022
Жуковский Е. Г.	637
Журов А.	1351
Завьялова А. И.	2391, 2394
Заичкин В.	1030
Заковряшин А.	954
Закржевская С.	293—295, 572, 1060, 1062, Л168, 1183, 1189, 1334, 2043
Запенин И.	2065, 2066
Зарецкий Н.	1936
Заславский А.	865, 1241, 1243, 1899, 1900
Звонарева Т.	1674, 2164, 2366, 2407 
Зданевич К.	19
Земенков Б.	1716
Зенькович В.	310, 1269, 2295, 2296, 2451, 2452
Зичи М.	1323
Зобнин П.	1022
Зорин С.	45, 71
Зотова М. В.	340
Зуев В.	2644
Зусман Л.	809, 1331, 2033
Зюзин Л. К.	1611, 2072
Иванов К.	1077, 1886
Иванов М. П.	1651
Ивашенцева М. И.	674
Игнатьев Ю.	1816, 2022
Изаксон А.	1575
Ильин Н. В.	2042
Иогансон Б.	2576
Иоффе М.	444
Калачиков Д.	1923
Калинин В.	1311
Калошин С. К.	673, 674
Каневский А.	136, 491, 625, 1048; 1674, 1951, 2336, 2613, 2625, 2628, 2636, 2637
Капаницын Д.	536, 613, 1413
Каплан Л.	313, 876, 1370, 1416, 1532, 1924
Каратаева К.	1718
Караченцов П.	240
Кардовский Д.	2578, 2580
Карпенко М.	104
Карповский.	339
Катковский А.	457
Кауров А.	749
Кейль А.	697
Кеша И.	135, 342, 351,969—971,1144, 1146—1148, 1150—1152, 1208, 1523, 1544, 1545, 1547
Кизевальтер В. С.	672—674
Кипренский О.	500
Кирнарский М.	1025, 1483
Кирпичев П.	248, 492, 2447
Киселев А.	463
Кисилевич Л.	2307
Кичай С.	1085, 1468
Кияшко Е.	2379
Клементьева К.	633, 713, 1208, 1337, 1562, 1957, 2155, 2163, 2345, 2409, 2607а
Климашин В.	619
Кнорринг Н.	2429
Князев А.	2773
Кобелев В.	466, 1342, 1405—1407 2563
Ковригин В.	851, 2131
Коджоян А. К.	2189
Козленков С. И.	2203
Козловская Н. Ф.	1981
Козулин Т. С.	1553
Кокорекин А.	133, 585, 697
Колочков И. Т.	738, 1254
Комаров А.	127, 128, 671, 673, 674, 719, 791, 933, 1354, 1879, 2005, 2175, 2181, 2185, 2366, 2468, 2552
Комаров Е.	627
Конашевич В. М.	51—53, 245, 612, 641, 760, 940, 945, 1208, 1213, 1214, 1236—1238, 1316, 1421, 1431, 1435, 1437, 1438, 1445—1447, 1449, 1453, 1482, 1693, 1694, 2353, 2579, 2610, 2624, 2629—2631, 2636, 2637, 2658
Конвисарев М.	2491
Кондратьев А.	787
Кондрашкин В.	2264
Коновалов В.	250, 300, 306, 539, 540, 695, 760, 1208, 1551, 1563, 2150, 2329, 2498
Константинов В.	36, 595, 1095, 1257, 2225
Константинов Ф. Д.	84, 671, 1189, 1317, 1674
Кораблинов В.	1201, 1851
Корецкий В. Б.	1537
Корнев.	1618
Коробейников Н.	1083
Коровин Е.	163
Коровин П.	1332
Коровина А.	240, 1263
Королев И.	173, 1315, 1571, 1663 2058, 2446
Короткий А.	636, 1349, 1755, 2497
Коротков Ю. А.	919
Костров Н.	322, 353, 796, 799, 1727
Котовщиков И.	2215
Кочергин Н.	740, 1463
Кочетков К. И.	1169, 1805, 2303
Кошелев А.	2762
Кравченко Н.	1136
Краснопольский М.	106
Криммер Э.	2469
Кроль Р.	1277
Кротков А. В.	722
Крукшенка.	690
Крутиков Е. А.	1949
Крюков Б. И.	1802
Кудрин А. А.	1576
Кузанян Н.	420, 1473
Кузнецов И.	126, 148, 223, 376, 674, 760, 1059, 1113, 1517, 1540, 1541, 1840, 1942, 2040, 2389
Кузнецов К.	20, 22, 32, 122, 123, 146, 629, 630, 666, 673, 760, 813, 814, 879, 880 1109, 1110, 1115 1335, 1336, 1674, 1692, 1748, 1750, 1751, 1891, 2039, 2041, 2049, 2339, 2532
Кузьмин Н.	103, 500, 515, 530, 531, 5547 892, 1010, 1319, 1339, 1753, 2334, 2666
Куколев В.	900
Кукрыниксы.	510—512, 517, 518, 520, 521, 1460, 1461, 2082, 2584, 2587, 2588
Кукс М.	549, 1024, 1161, 1643
Кулешов И. Д.	307, 672—674, 1001, 2202
Купреянов Н.	1641
Курдов В.	193, 194, 201, 932, 1021, 1079—1082, 2068, 2589
Кустов Н.	309, 556, 557, 559
Кустов П.	1304, 2710
Кутателадзе Д. Е.	920
Кэмбл.	2292
Лавров А.	2169, 2709
Ладягин В.	101, 681, 946, 947, 1478
Лазарев В. П.	674
Лазаревская В. Н.	1205, 2203, 2590, 2591
Лансере Е.	2352, 2376, 2377
Лаптев А.	117, 341, 823, 927, 1208, 1233, 1299—1301, 1567, 1719, 1721  9409
Лапшин Н.	640, 929—931, 2119
Лебедев Б.	2615, 2620
Лебедев Вс.	639
Лебедев В. В.	671—674, 1160, 1189, 1208, 1280, 1419, 1420, 1422, 1432, 1433, 1442, 1444, 1445, 1447 1453, 1551, 1674
Лебедев К.	2406
Левин Г.	2067
Левин Н.	1572
Левич К.	1919
Лелуар М.	747
Леман Н. А.	671, 2313
Лемкуль Ф.	33
Лермонтов М. Ю.	1334
Либер О.	2260
Ликман Г.	768
Лис Н.	9
Лисснер Э.	1404, 1408, 2406
Литвак И.	2022
Литвак Л.	760, 2418
Лорис-Меликов Р. И.	1560
Лубнина Г.	219
Лукад Б.	2275
Лурье А.	1372
Любимов В. В.	671
Любимов Н. Н.	2623
Ляхин Г.	1829
Маврина Т.	554, 674, 943, 1997, 2239, 2505
Майков А. Н.	1385
Мак-Риди А.	2496
Мамаджанян А.	15, 855, 1116, 1180, 2310
Манжос.	243
Маркова Е.	1724
Матвеева М.	119, 1649
Матвиенко.	1464
Маторин М.	2039, 2339
Матюх В. Ф.	673, 1470
Машалов.	1979
Медведев А.	748
Медведев В.	567
Мезерницкий Ю.	234, 235, 237, 256, 556, 559, 1018, 1264, 1360, 2068, 2191
Мешечка Б.	2245
Милашевский В. А.	349, 365, 1710
Миллер Г.	712, 1370
Милова Г.	2594
Мильков Д.	787
Мильчин.	2080
Миронова М.	647
Мирошкин А.	174
Митрохин Д.	676, 2170
Митурич П.	2134, 2711
Михайлов Д. М.	1169
Михаэлис М. М.	40, 671, 760
Могилевский А.	17, 47, 49, 50, 54—56, 1283, 1294, 1295, 1941, 1947, 1948, 1951, 1952, 2029
Мороз В.	1529, 1945, 1946, 1951
Морозов В. М.	1800
Морозова Е.	2163
Морозов-Лас А.	432
Мох М. Н.	897
Мочалов С.	236, 260, 507, 652, 948, 1363, 1664, 2068, 2328
