Аас В.	2966.
Афанасьев А. Н.	1909, 1936, 1942.
Афанасьев И.	2999.
Афанасьева Т.	4750.
Афонин Л.	3463.
Ахапкин А. А.	2824.
Ахвердов А.	2137.
Ахмадиев В.	4157.
Ахмадулина Б.	1312, 2508.
Ахматов А.	1980.
Ахматова А.	1312.
Ахматова Р.	1981.
Ахматова С.	2508.
Ахмедов М.-Ш.	2662.
Ахмедов С.	3464.
Ахмедова А.	4158, 4643—4644.
Ахметов М.	2663.
Ахунди Н.	1982.
Ахундов С. С.	2137.
Ахундова А.	69.
Ахунов Г.	1983.
Ахунова Э.	2508.
Ачебе Ч.	2325.
Ашарина Н.	2873.
Ашк, Упендранатх.	2419.
Ашман М.	2956.
Ащепков Е. А.	2826.
Баазиб Али.	2442.
Баал Х.	1984.
Бабаев Э.	70.
Бабаян В.	2060.
Бабич В.	2518.
Бабич И.	71.
Бабкин В.	979.
Баблоян Р.	72.
Багдади М.	2442.
Багдасарян М.	2107.
Багмут И.	1985.
Баграмян И.	1316.
Баграмян М.	4160.
Багрицкий В.	1316, 2545.
Багрицкий Э.	73, 400, 1166, 1227, 1312, 3665.
Багульников Р.	4442.
Бадеев Б.	74.
Бадеев Н.	75.
Бадигин К.	76—77, 2507.
Бадмаев Ц.-Б.	1986—1987, 2132.
Бадоев К.	1988.
Бажов П.	78—82, 1939, 2490.
Базанов В. В.	3666.
Базарон Б.	2132.
Баиадзе В.	4161.
Байгушев А.	3164.
Байдерин В.	83.
Байдыев С.	1989.
Байко Н.	4815.
Байрамов Н.	1031.
Байрон Дж.-Г.	1650, 1779, 2303.
Бакаев Н.	2019.
Бакалдин В.	84.
Бакланов Г.	1316, 3667, 3948.
Бако У.	2060.
Бактыгереева А.	2508.
Балабанова М.	3028.
Балабуха А.	2516.
Балаж Б.	2304.
Балакаев А.	1990.
Балан Д.	4396.
Баландин Р.	2664.
Балановский Р.	85.
Балаховская И.	4645—4655.
Балачан В.	576.
Балашов В.	86—88.
Балашов Вл.	2529.
Балашов Д.	1948.
Балашова Е.	89.
Балашова С.	4414.
Балаян В.	2107.
Балебин Г.	2954.
Балл Г.	90—91, 2119.
Балныков И.	4750.
Балтэ Т.	2260.
Бальбуров А.	92—93.
Бальзак О. де.	2305.
Балясная Л.	2973, 3253.
Балясная Р.	2508.
Банк Н.	3156, 3165—3166.
Банников Н.	4079, 4479.
Баннов Г.	94.
Бановски А.	2133.
Баныкин В.	95—97.
Барабанов Н.	98.
Барабаш В.	99.
Баранов В.	3593, 4080.
Баранов М.	100.
Баранова М.	2921.
Баранова Марта.	2665.
Бараташвили Н.	2220.
Баратынский .Е. А.	1601, 1650, 1721, 2511.
Бараускас В.	1991, 2494, 2640.
Барда Ф.	2221—2223.
Бардадым В.	101.
Баренов П.	2912.
Баринов А.	1377.
Барков А.	102.
Баркова Т.	4713, 4794—4795.
Бармин А.	103, 4031.
Барнакян Л.	2107.
Барский Ю.	979.
Бареток М.	4162.
Барто А.	13, 104—121, 400, 824, 2500—2501, 2506, 2509, 2640—2641, 2974, 3167, 3254, 3465, 3738, 4397, 4581.
Бартэн А.	537.
Баруздин С.	122—132, 943, 1556, 2499—2500, 2506, 2975—2976, 3466—3467, 3939, 3976, 4624.
Бархин М.	2808.
Барыбин С.	133.
Басина М.	134, 2666.
Басистый H.	2507.
Басов А.	2545.
Бассейн Н.	4816.
Баталов В.	1992.
Батов П. И.	2667.
Батрашина А.	4806.
Батров А.	135.
Батуев А.	495, 2668, 2699.
Батырбаев Т.	1993.
Бать Л.	136.
Батюшков К. Н.	1602, 1650, 1721.
Баум Л. Ф.	276.
Баух Е.	137—138.
Бахишев Ф.	139.
Бахмутская И.	4817—4819.
Бахнов В.	2509, 2545.
Бахори А.	2019.
Бахревский В.	140—142, 2501, 2506, 2804, 4112, 4140.
Бахтамов Р.	2669.
Бахтерев И.	2790.
Бахтина С.	4820.
Бадер И.	2518.
Башкирова Г.	4398.
Башмаков В.	143.
Базе К.	2342.
Баянов В.	576.
Бгажба Х.	2262.
Бегак Б.	3150, 3168—3169, 3468, 3669—3672, 3929, 3968, 3972, 4081, 4090, 4103, 4163.
Бегишева Е.	2965.
Бедарев О.	2506.
Бедзик Д.	1994.
Бедный Д.	144, 1425, 2494, 2513.
Безденежных В.	4821.
Безуглов А.	2503.
Безыменский А.	2506, 2513.
Бейлин А.	2840.
Бейлинсон Я.	4646.
Бейшеналиев Ш.	2951.
Белахова М.	146.
Белев Г.	2306, 2596.
