Аас В.	2966.
Глущенко В.	370.
Глязер С.	3013, 3024, 3064.
Гнеденко Б. В.	2899.
Гнедина Т.	371.
Гнедич Н. И.	1721.
Говоров А.	372—374.
Гоголь Н. В.	1613—1628, 1650.
Годенко М.	375.
Годунова М.	2641.
Голант В.	2699.
Голев Л.	2858.
Голенкова А.	376.
Голицын С.	377.
Голованов Я.	1024.
Головатый Н.	1377.
Головач В.	378.
Головина Г.	979.
Головина Л. Г.	2824.
Головина Н.	379.
Головко Д.	2869.
Головко О.	576.
Головнев Г.	2325.
Голодный Ц.	2038.
Голосов П.	380, 1377, 1780.
Голосуева А.	4854.
Голуб И.	3702.
Голубев Г.	381.
Голубева А.	382—383, 1033, 1166, 2951.
Голубева Е.	4855—4857.
Голубева Э.	4500.
Голубкова Е.	384.
Гслышев Г.	1301.
Гслышкин В.	385.
Гольдберг А.	386.
Гольденштейн М.	2825.
Гольдин А.	3489.
Гольдин Л.	2887.
Гольдфельд А.	3229.
Гольдфельд В.	2541—2543.
Гольдфингер А.	387.
Гольдштейн Р.	3703.
Гольцева Э.	2807.
Гольцов В.	4304.
Гольцман Э.	388.
Голявкин В.	389—390, 979, 1165, 1291, 2497, 2506, 2604.
Голяховский В.	391—392.
Гонгопадхай, Нарайон.	2419.
Гончаренко В.	2641.
Гончаренко Г.	2700.
Гончаренко Т.	2501.
Гончаров А.	3181.
Гончаров В.	2804.
Гончаров Виктор.	3154.
Гончаров И. А.	1629—1633.
Гончаров Ю.	3307, 3490, 3704.
Гоппе Г.	393—394, 2965.
Гор Г.	2516, 4501.
Горбачев И.	395.
Горбачев М.	4333.
Горбовский Г.	396.
Горбунов В.	4406.
Горбунов Д.	397, 1377.
Горбунов Н.	979.
Гордейчев В.	398.
Гордин А.	2886.
Гордин И.	2982.
Гордин Я.	399.
Гордицкий А.	2102.
Гордон Я.	3491.
Горин Г.	1165, 2509, 2554.
Горлов Д.	402.
Горловский А.	4305.
Городецкий. В.	2701.
Городисский З.	2545.
Городовиков О. И.	2764.
Горохова Л.	2702, 2825.
Гортинский Е.	3677.
Горшков А.	3451.
Горшунова Е.	4721.
Горышин Г.	4036, 4068.
Горький М.	403—427, 1166, 1849, 1872, 2489—2490, 2500, 2518, 2840, 3308, 3371, 3605, 3627—3628.
Горюнов Н.	4093.
Горюнова М.	2703, 3492.
Горюхина Э.	4858.
Горяев В.	4502.
Горячкина М.	1688, 1720, 1775, 1832, 3309—3312.
Грабовский Я.	2331.
Гравии С.	3182.
Граевский А.	400—401.
Грандова В.	2999.
Гранин Д.	428.
Граубин Г.	311, 429—430.
Грачев А.	431.
Грачев Н.	2566.
Грачева А.	1167.
Грачева Е.	4464.
Граши А.	2060.
Гребенина А.	2943, 2951.
Гребенников С.	1472, 2500, 2963.
Гребенникова Л.	4859.
Гребнева Н.	2521.
Греков А.	432.
Греков Н. П.	2491.
Грехова Н.	433.
Гречишникова А.	3605.
Гриб К.	2030.
Грибачев Н.	2518.
Грибова Л.	1955.
Грибоедов А. С.	1631—1634, 1843.
Грива Ж.	4297.
Григорович Д. В.	1635—1637, 2489, 2512.
Григорьев Б.	2912.
Григорьев В.	2566, 4354.
Григорьев Г.	2704.
Григорьев К.	3154, 4298.
Григорьев Н.	434—435, 2790.
Григорьев С.	462.
Григорьева В.	4715.
Григорян В.	2107.
Григорян Ш.	2107.
Гримм В. К.	2332-2334, 2390—2391, 2412.
Гримм Я.	2332—2334, 2390—2391, 2412.
Грин А.	436.
Гринберг В.	2954.
Гринберг И.	3705, 4627.
Гринберг Я.	2596.
Гринева Г.	2545.
Гринфельд Т.	4037.
Гринько А.	2705.
Гринько Д.	4296.
Гриценко А.	437.
Гришашвили И.	2513, 2545, 2640.
Гришин Б.	2706.
Гришин В.	2707.
Гришина Л.	4718, 4860.
Гроденский Г.	164, 2699, 3155, 3493.
Гром И.	2708.
Громова А.	438.
Гоосси Т.	2335.
Гроссман В.	439, 1316.
Гру В.	2914.
Грудинин В.	4651.
Грудинина Н.	495.
Грудцова О.	4738.
Груздев И.	414, 3494.
Грусланов В.	440.
Грушко П.	2375, 4355, 4457.
Губанова М.	4722.
Губарев В.	2640, 2951, 2986, 4104.
Губарев Виталий.	44, 3706.
Губарев Вл.	2500.
Губернаторова В.	1377.
Губжев М.	2031.
Гудзенко Р.	2886.
Гудзенко С.	1316.
Гужва В.	630.
Гукасян О.	2032, 2107.
Гуковский М.	907.
Тулинская З.	2709.
Гулыга А.	2786, 4356.
Гульнова Г.	4720, 4785, 4787.
Гульянц Е.	2710 
Гуляковский Е.	2504.
Гулям Г.	2033—2034.
Гумилевская М.	2500, 2711.
Гумилевский Л.	462, 3708.
Гунин Д. Д.	2955.
Гунин Л.	2983.
Гура В.	3495.
Гурвич А.	3496.
Гурвич В.	2699.
Гуревич А.	363, 4357.
Гуревич Г.	442.
Гуревич С.	2879.
Гуревич Э.	4187.
Гуржибекова И.	2508.
Гурка С.	2035.
Гуртовенко В.	2508.
Гурунц Л.	495.
Гурьев Г.	2808.
Гурьян О.	443—444.
Гусаров Д.	2518.
Гусев А.	2956, 2968.
Гусев В.	1425.
Гусев Вадим.	2554.
Гусев О.	1328, 3497.
Гусева Н.	2419, 2521.
Гусейнов И.	2060.
Гусман Н.	2342.
Гуськова Л.	2824.
Гуткина Е.	3065.
Гуттари Т.	2518.
Гущев С.	4622.
Гюго В.	2336—2341.
Гюльназарян Х.	2036, 2107, 4154, 4188.
Гюмреци А.	445.
Давид К.	2813.
Давлетшина Х.	2037.
Давыдов А.	1228.
Давыдов Д. В.	1650, 1721.
Давыдов М.	2038—2039, 2506.
Давыдов-Анатри В.	786.
Давыдова А.	3720.
Давыдова Н.	2534.
Давыдычев Л.	446—448.
Дагаев М.	2646—2647.
Дайреджиев В.	979.
Дакруб М. И.	2442.
Далада Н.	1040, 3498—3499.
Даль В. И.	1902, 1905, 1930, 2490.
Дамбран Э.	4189.
Дамбур Э.	2001, 4119.
Дамдинов Н.	2132.
Данаилов Г.	2350.
Дангулов С.	4503.
Даниелян В.	2107.
Даниленко М.	2950.
Данилов В.	2518.
Данилов И.	449.
Данилов Л.	2954.
Данилов С.	2040, 4190.
Данилов Ю.	4407.
Данько В.	311, 450.
Даренский И.	2566.
Дариенко П.	2041.
Даронян С.	4074.
Даутов В.	2949.
Дацкевич В.	2712.
Дворкин И.	451, 2544.
Дебалтовская В.	3012.
Дегтярев Р.	1041.
Деев В.	452, 2807.
Дежкин Б.	239, 2625.
Дейк, Йосефина ван.	4408.
Дейрани Л.	2442.
Дейч А.	4191.
Дейч М.	3737.
Делетай А.	1215.
Дельвиг А. А.	1650, 1721.
Дементьев А.	454.
Дементьев А. И.	453, 665.
Дементьев В.	4504, 4627.
Демиденко М.	455—456.
Демидов В.	2500.
Демидова Л.	2604.
Демин А.	2858.
Демин В.	576.
Демина Т.	2133.
Демченко А.	457.
Демыкина Г.	458—459.
Демьянов И.	460—461, 649, 2497, 2499, 2506, 2640—2641.
Денисова Г.	2713.
Денисовский Н. Ф.	2924.
Дербенев Л.	2908, 2963.
Дергачев И.	3500, 3710.
Державин Г. Р.	1638, 1650, 1690, 2518.
Дефо Д.	2343—2344.
Дехоти А.	2019, 2519.
Дехтерев Б.	2385, 4506.
Джаафар А. М.	2442.
Джаббаров Д.	2513.
Джавахишвили Д.	2165.
Джалалбекова Л.	2699, 2886—2887.
Джалиль М.	2042, 2641.
Джамбул.	2513.
Джангазиев М.	4192.
Джарек Ахмед.	2442.
Джахан Афруз.	2508.
Джежелей О.	4964—4965.
Джекобе У.	2503.
Джойс П.	2325.
Дижур Б.	465, 2673.
Дик И.	2506.
Диковский С.	1425.
Дил Б.	2408.
Димитрова-Рудар П.	3151, 4458.
Дитрих А.	466.
Дитц В.	3712.
Динаров З.	2790.
Длуголенский Я.	467—469, 1291, 2497, 2544.
Дмитревский В.	473, 2516, 3184—3185, 3684.
Дмитриев А.	2887.
Дмитриев И. И.	1690.
Дмитриев Ю.	470—472, 495, 999, 2500—2501, 2639, 2714—2715, 2764, 2804, 2813, 3066—3067, 3186, 3713, 4653, 4723.
Дмитриева Н.	2807.
Дмитриева О.	2716.
Дмитриевский В.	2808.
Дмитрии Г.	2717.
Доан Зиой.	2345.
Добин Е.	3152.
Добров А.	979.
Добровенский Р.	474.
Добровольский О.	4193, 4654.
Добролюбов Н. А.	1650, 3313—3314 3323.
Добронравов Н.	1472, 2500—2501, 2963.
Доброславский М.	2825.
Добрушкин Е.	3154.
Добряков В.	475—476.
Довлатов М.	361, 3501.
Догадаев В.	1377.
Долин В.	477.
Долинина Н.	3152, 3315.
Долинова Е.	478.
Долматовский Е.	2718, 2908, 3912, 3983.
Долотова Л.	1816, 1827, 3316—3317.
Домаров К.	479.
Домбровский В.	480.
Домбровский К.	2503.
Домнин А.	400—401, 2240.
Дондогой Ц.	2508.
Донская В.	4194.
Донская С.	4507.
Дончик В.	2950.
Доризо Н.	3984.
Дорофеев В.	2956.
Дорофеев И.	2775.
Дорохов А.	2501, 3187.
Дорохов А. В.	2500.
Дорохов Алексей.	2719—2720, 2790.
Дорошенко Е.	4793.
Дорошин М.	482—483.
Достоевский Ф. М.	1639—1645, 2502.
Достян Р.	484.
Драбкина Е.	485, 2721, 2790, 2824, 2840.
Драгунский В.	486—491, 1165, 2506, 2509, 2545.
Драгунский Д.	1316.
Дракохруст А.	1425.
Дремов А.	4075.
Дридзо В. С.	2765.
Дриз О.	2043—2045, 2060, 2513, 2625.
Дрожжин С. Д.	1646, 2491, 2500, 2511.
Дрозд А.	492.
Дроздов А.	493.
Дроздов И.	494.
Дружинин В.	2699, 2722, 2886.
Дружинин В. Ф.	2546.
Дружинина Н.	4861—4862.
Друнина Ю.	496, 1312, 1316, 1472, 2508.
Друскнн А.	2965.
Друцэ И.	2046—2047, 2641.
Друян Б.	1856.
Дрыжакова Е.	3318.
Дрюон М.	2346.
Дуб В.	497.
Дубинский В.	2506.
Дубов Н.	291, 498—499.
Дубовой В.	4863.
Дубровин Б.	2640.
Дубровин В.	500.
Дубровина И.	1403—1406, 3502.
Дубровицкий И.	2723—2724.
Дубровский Э.	501.
Дувйкин В.	893, 3503.
Дудин М.	502, 649, 1191, 1316, 2513, 4299, 4306.
Дудинцев В.	495.
Дудочкин П.	2500, 3150, 4069.
Дуйсенбиев А.	2048—2049.
Дука Л.	4864.
Дунаева Л.	503.
Дунаевская Т.	2533.
Дундуков В.	978.
Дустов А.	2019.
Духанов М.	1316.
Дымова Н.	3973.
Дымшиц А.	3985.
Дьякова А.	4724.
Дьяконов Л.	1909.
Дьяконов Ю.	504—505.
Дьячкова О.	2641.
Дюжев Ю.	3504—3505, 3967, 4865.
Евгеньев Ю.	3188.
Евдокимов В.	560.
Евдокимов Н.	506.
Евстигнеева В.	4866.
Евтушенко Е.	576, 1312.
Егоров Б.	1165, 2509, 3068.
Егоров И.	1581.
Егоров Н.	507.
Егоров С.	1377.
Езерская Г.	2512.
Езерский С.	4867.
Екимцев А.	508—509, 2512.
Елагина А.	2284, 2492.
Елатомцева И.	2725.
Елизарова Л. П.	2942.
Елисеев В. А.	2823.
Елисеев Ю.	2547.
Елисеева В.	3189.
Елистратова Т.	2968.
Елкин А.	2507, 4019.
Ельянов А.	510.
Емельяненко В.	1316.
Емельянов Б.	462, 495, 511, 2501, 2506.
Емельянова И.	2521, 2825.
Емельянова Н.	512.
Емцев М.	2726.
Ендовицкая Н.	4725.
Еникеев Ш.	2050.
Епанешников Л.	513.
Еремеевская А.	4868.
Еременко В.	514.
Еремин В. А.	3314.
Еремин Г.	2804.
Еремин К.	2764.
Еремин М.	2536.
Еремина Е.	2807.
Ермаков Э.	2966.
Ермилов В.	1850—1853, 3319—3320.
Ермолаев В.	2521.
Ермолаев Ю.	515—517, 979, 2500, 2501, 2506, 2604, 2640—2641.
Ермолович Н.	2727, 4402.
Ерохин Д.	3715.
Ершов Г.	3506.
Ершов П. П.	1647—1649, 2490.
Ершов Я.	518—519, 2604.
Ершова С.	3716.
Еселев Н.	3507.
Есенин С.	520—526, 1312, 2490—2491, 2493, 2500, 2511.
Ефетов М.	527—529, 2500.
Ефимов Б.	4623.
Ефимов В.	2604.
Ефимов И.	2548.
Ефимов Игорь.	2728.
Ефимов П.	1377.
Ефимова А.	3014.
Ефимова М.	2545, 4195.
Ефремова Л.	1118.
Ефремова Т.	3150.
Ешкенази М.	4508.
Жаврид Л.	4689.
Жад Г.	2947.
Жажиев А.	530.
Жариков А.	531—532, 2943, 2951.
Жариков Л.	462, 533—534, 2549.
Жаркова Л.	4869.
Жаров А.	1050, 1166, 2500, 2908, 2963—2964, 3508, 3718.
Жданов Л.	2314.
Жданов Н.	2840.
Жданова Г.	4870.
Жданова Л.	535.
Жегалов Н.	4409.
Железников В.	536, 1166, 2506, 3509.
Железнова Н.	3690.
Жемайтис С.	2503.
Жердева Г.	4509.
Жерноклев И.	2729.
Жестев М.	2498.
Жехова К.	4070.
Живова З.	4871.
Жигоцкий Н.	4328.
Жижимов М.	2954.
Жилинскайте В.	2051, 2509.
Жимбиев Ц.-Б.	2132.
Жирков А.	4013.
Житков Б.	538—543.
Житомирова Н.	103, 3155, 3510.
Жичка Ф.	2731.
Жоголев Н.	1229.
Жолтикова Н.	2699.
Жуков Г.	545.
Жуков Г. К.	1425.
Жуков Н.	4510.
Жукова А.	2640, 2732, 4511.
Жукова Л.	4714.
Жуковская Е.	2550—2551.
Жуковская Р.	2495.
Жуковский В. А.	1650—1655, 2490, 2493, 2500, 2505, 2511—2512.
Жумаканов Ж.	2133.
Журавлев А.	546—547.
Журавлев Д.	1650.
Журавлев-Даманский В.	1029.
Журавлева А.	3440—3441.
Журавлева Л.	1377.
Журавлева Л. В.	2919.
Журбина С.	4657.
Заар Э.	2699, 2887.
Забила Н.	226, 2052—2053, 2494, 2499, 3511.
Заболотский В.	2948.
Заболоцкий Н.	548, 1312, 1557, 1951, 2396, 3155.
Заборский М.	495, 979, 3512.
Завадская М.	2508.
Завадский Ю.	4064.
Завадье А.	2329, 2335, 2412—2413, 4358—4359.
Заварова А.	4512.
Заводов А.	549.
Заводчиков П.	3721.
Заворская А. Г.	2824.
Заграевская И.	550—551, 2500, 2506.
Задунайская З.	2362, 2478, 2500, 2640.
Зазека Я.	2950.
Заика С.	3513.
Заикина Л.	4872.
Зайденшнур Э.	3404—3405.
Зайцев В.	1425, 3406, 3722, 3950, 3969 4410.
Зайцева С.	4658.
Зак А.	2503.
Законов В.	4327.
Закруткин В.	32, 2733, 3514.
Закусина Н.	576.
Залесская Б.	3190.
Залетаев В.	2840.
Зальтен Ф.	2348.
Занадворов Г.	1316.
Занин Н.	1425.
Западов А.	369, 1841, 3322, 3515—3517.
Заплавный С.	552.
Зарембина Е.	2497.
Зарицкий Н.	553.
Зарьян Н.	2244, 2521.
Заславский Р.	554.
Захаркин А.	190, 3518.
Захаров А.	895, 3520.
Захаров В.	555, 4014.
Захаров С.	1425.
Захарова А.	2950, 3519.
Захарченко В.	2501.
Захлебный А.	2714.
Заходер Б.	401, 556—559, 2324, 2415, 2506, 2552, 2595.
Зацерман Д.	560.
Збанацкий Ю.	2054.
Збарский И.	4873—4874.
Звездочетова Т.	1557.
Зверев И.	2554.
Зверев М.	561—562.
Зверинцев А.	537, 649.
Згорж А.	2349.
Зебзеева А.	824, 1950, 2908.
Зебзеева Э.	4659.
Зейдлиц.	1650.
Зелеранская Н.	2954.
Зелинская В.	2954.
Земляк Я.	563.
Землякова И.	2670, 2905.
Землянский А.	4307.
Земной В.	564.
Зенкевич Т.	3407.
Зигель Ф.	2739.
Зильберквит М.	2740.
Зиман Л.	3723.
Зимин А.	76, 3521.
Зимин В.	2553.
Зимин Ж.	2055, 2132.
Злобин В.	1472.
Золотарев Л.	566, 2512.
Золотухина А.	4762.
Зорин В.	2741.
Зорьян С.	2107.
Зощенко М.	567, 1165, 2494.
Зуб В.	2056.
Зубавин Б.	568.
Зубарева Е.	3151, 3725—3728, 4196.
Зубков Б.	3069—3070.
Зубков М.	3442.
Зубкова В.	11.
Зубкова Л.	569—570, 970.
Зубова М. В.	1690.
Зуев А.	2959—2960.
Зуев В.	571.
Зуев Д.	4660.
Зуев Д. Д.	753.
Зуенок В.	2950.
Зумакулов Б.	2985, 4875.
Зумакулова Т.	2519.
Зырянов И.	2240, 4120.
Зязиков Б.	2057.
Ибрагимов М.	4197—4198.
Ибрагимова Л.	4308.
Ибряев К.	1472, 2604, 2908, 2968.
Иване-Путныня А.	2956.
Иваненко В.	2058.
Иваненко О.	2059, 3729.
Иванов А.	401, 2518.
Иванов Альберт.	572.
Иванов В.	2500, 2699, 3071.
Иванов Вл.	3443.
Иванов Г.	493.
Иванов Д.	2699.
Иванов И.	2507.
Иванов И. Д.	2824.
Иванов С.	2742, 4513.
Иванов Сергей.	573—574, 2501.
Иванова М. Т.	2824.
Иванова С.	4714.
Ивановский Я.	2950.
Иванченко А.	2507.
Иванчикова Л.	4728.
Иващенко Ю.	3730.
Ивин М.	2886.
Ивич А.	575, 3151.
Ивкнн А.	2965.
Ивнев Р.	3408.
Иглина З.	4805.
Игнатова Н.	4762.
Игнатьева В.	4738.
Игнатьева С.	2938.
Идрис Ю.	2442.
Идрисов К.	2061.
Извекова Н.	2641.
Измайлов Е.	2506.
Изюмский Б.	577.
Икрамов К.	578.
Иларов В.	2954.
Илие М.	4199.
Ильин А.	3074.
Ильин Е.	2707.
Ильина Е.	579—580, 698, 2506, 2545.
Ильина Л.	2886—2887.
Ильина Н.	717, 3522, 4737.
Ильина С.	2640.
Ильичев Я.	2790.
Ильф И.	1165.
Илюхин И.	3844.
Имерманис А.	2026.
Иммерман К. Л.	2539.
Инбер В.	783, 1165, 1312, 1316, 2494, 2513, 3523.
Инин А.	2509.
Иноземцев И.	3605, 3731, 4729.
Инфантьев Б.	3524.
Инфантьев В.	2507, 2743.
Иншаков А.	2566.
Иовлев Б.	581.
Иогансен Н.	2699.
Иоселиани О.	2063—2065.
Иофис Е.	2744.
Иохимович Д.	376.
Ипатьев В.	1377.
Ирасек А.	2521.
Иртышский Б.	2987.
Исаакян А.	2107.
Исаев А.	2745.
Исаев Е.	4200.
Исаев Н.	2512.
Исаева А.	2366, 3151, 4360.
Исаков Г.	1228.
Исакова Н.	4625.
Исаковский М.	1472, 2500—2501, 2506, 2513, 2640, 3732.
Исзнгулов Ф.	2066.
Исарова Л.	3191.
Исбах А.	4076.
Искакова Г.	4733.
Искандаров М.	2019.
Искандер Ф.	582, 1165.
Искольдская М.	3695, 4514.
Искрйн М.	3150.
Исламов Д.	2067.
Исмаил Исмаил Али.	2442.
Исмаилов Х.	2068.
Истомин И.	2069.
Истомин Н.	1118.
Кабалевский Д. Б.	2746, 2808, 3192.
Кабо В.	2449—2450, 4361.
Кава В.	4201.
Каверин В.	583—586, 1386, 3525, 3733—3734, 4094.
Каганов Л.	2747.
Кагарлицкий Ю.	3193, 3735.
Кагерманов Д.	2149.
Кадыри А.	2019.
Кажлаева К.	2070.
Казакевич Э.	587.
Казаков В.	2504.
Казаков Ю.	979, 2506.
Казакова Р.	1312.
Казанков Б.	3736.
Казанцев А.	3966.
Казанцев В.	576.
Казутин Д.	4040.
Казымов А.	2858.
Кай Е.	2501.
Кайгородов Д. Н.	2488.
Кайдла Ю.	2071.
Кайтуков Г.	2072.
Кайюа Р.	4412.
Какурина Д.	4413.
Каладзе К.	2073.
Калаева О.	4876.
Калашников Иван.	591—592.
Калашников Исай.	593.
Калган А.	2074—2075.
Калимуллин И.	594.
Калина Малина.	2351.
Калинин А. М.	2824.
Калинин М. И.	2604, 2824.
Калинин П.	1316.
Калинина Е. И.	2824.
Калинина П. И.	2824.
Калинина Ю. М.	2824.
Калишер Ю.	2534.
Калмыкова Е.	3154.
Каляев К.	4414.
Кальма Н.	595, 978, 2506.
Камалов Ф.	2501.
Каманин Н. П.	1425, 2775.
Каманин Ф.	596, 4039.
Камбулов Н.	597.
Каменева Е.	2921.
Каменская А.	1137, 2324.
Каменский А.	4516.
Каминский В. И.	3158.
Каминский Л.	2497.
Камир Б.	4661.
Камов Б.	3526.
Камов Ф.	1288, 2509, 2625.
Камовская Н.	1936.
Камшалов А.	2807.
Камышанова Л.	3155.
Кан Е.	598, 2640.
Канаев В.	3016.
Кангур К.	2076.
Канивец В.	2840, 4203.
Каниев Р.	2604.
Канн-Новикова Е.	2825.
Канониди З.	599.
Кантемир А. Д.	1690.
Кантор-Гуковская А.	2418.
Капаев С.	2077.
Капиева Н.	2280, 3154, 4084, 4309.
Капитонова Н.	4713.
Капица О.	824, 1877, 1889, 1909, 1918—1919, 1925—1927,, 1941, 1955.
Капица П.	537, 2840, 2886.
Капишникова А.	2989.
Каплин В.	2858.
Капнинский В.	781, 2625.
Капнист В. В.	1690.
Капралов С.	4581.
Капул А.	2804.
Капусто Ю.	600.
Капустян В.	283, 1131.
Капутикян С.	2078.
Карабаева Р.	4877.
Караев К.	2813.
Каразин Н.	1718.
Карамзин Н. М.	1690.
Карасева В.	601.
Караславов Г.	2510.
Каргалов В.	602.
Карганова Е.	145, 590.
Каргинов Г.	2808.
Кардашова А.	364, 603—606, 1308.
Карелина Т.	3734.
Карем М.	162, 2500, 2506.
Карибов Г.	2808.
Карим М.	2079, 2508.
Каримов И.	4025.
Каримова Г.	4202, 4662—4663, 4687.
Каринти Ф.	2555.
Карклинь Г.	4203.
Карнаухова Г.	2556.
Карнаухова И.	824, 1876, 1909—1910, 1917, 1934, 1949, 2496, 2521.
Карпенко Г.	607, 2500—2501.
Карпинская Н.	4734.
Карпинский В. А.	2840.
Карпов В.	608.
Карпов И.	1472.
Карпунин Г.	311, 576, 1108.
Карпычев А.	3194.
Картина А.	609.
Карышев О.	2699, 2886.
Карышева О.	610.
Касаткина Л.	2408, 4362.
Касаткина Н.	2336—2339.
Касичева В.	2950.
Кассиль Л.	320, 611—618, 882, 979, 1165, 1333, 2500—2501, 2951, 3527—3528, 3737-3739.
аль-Кассус, Фуад.	2442.
Касымова М.	2508.
Катаев В.	462, 619—628, 2490, 2501, 3740-3741, 3951.
Катанов В.	2512.
Катенин П. А.	1721.
Катеринина Е.	2808.
Катуков М.	1316.
Катулин А.	3528.
Катюшенко М.	631.
Кауфман Б.	2408.
Кафриэлянц Р.	2521.
Каххори А.	2019.
Кац Р.	2557.
Кацумото Саотомэ.	2352.
Качаев Ю.	632, 2500—2501.
Качанов Р.	633—634, 1175—1176, 2534, 2558.
Качарава А.	2507.
Катаев М.	4581.
Кашкара Т.	4878.
Кашутин А.	2559.
Кашш Я.	4575.
Каюмов Л.	2033, 4121.
аль-Каяли Мавахиб.	2442.
Квин Л.	2956.
Квитко Л.	922, 2060, 2080.
Квливидзе М.	2081.
Квятковский И.	2699.
Кедрин Д.	2804.
Кежун Б.	2513.
Кекилова А.	2508.
Кеккелев Л.	2501.
Келер В.	635.
Келли У.-М.	2408.
Кель О. С.	2962.
Кениня Р.	2956.
Кербабаев А.	3986.
Кербабаев Б.	2513.
Керн А. П.	1650.
Керн Л. Б.	558, 2324.
Керр Д.	2509.
Кертман Л. Е.	2841.
Кершнер Л.	2825.
Кессарийский Э.	2749.
Кеулькут В.	2499.
Кешоков А.	2509.
Кибиев М.	2285.
Кибрик Е.	4517.
Киевлян С.	2228.
Кизил В.	4204.
Кийко Е.	3324.
Кийранен А.	2950.
Кикинов Г.	2518.
Киласония Н.	2508.
Ким ден Ше.	2249.
Киплинг Р.	2353—2354, 2767.
Кириков Б.	2887.
Кириллова И.	4664.
Кирилловская Н.	2915.
Киркила Ю.	4205.
Кирога Варгас Г.	2342.
Кирпичева Е.	3742—3743.
Кирпичников А.	2887.
Кирпичникова И.	636.
Кирсанов В.	4510.
Кирсанов С.	1312.
Киршина К. Д.	2923.
Киршнер Л.	2887.
Кирюхин Н.	1425.
Кирюшкин В.	637.
Киселев Б.	1670, 1673, 3325—3326.
Киселев В.	638.
Киселев Н.	3593.
Киселева А.	639.
Киселева М.	640.
Кислов К.	641.
Кисловской С.	2699.
Кислякова З.	2538.
Кистьян М.	4879—4880.
Кисунько В.	4518.
Кичанова И.	2568—2572.
Клабуков А.	4020.
Клейн А.	2560—2561.
Клепикова Е.	4015, 4041—4043.
Клепов В.	642.
Клеструп Е.	2956.
Клецкая З.	4206.
Кликачев А.	2518.
Климанова О.	2886—2887.
Климов В.	401.
Климов Вс.	643.
Климов И.	1947.
Климовицкий Г.	4519.
Клипель В.	1301.
Клушанцев П.	2750, 2886.
Клыков А.	644.
Клюшев Л.	2500.
Клюшников В.	3444, 4044.
Клюшников Ю.	987.
Клягина-Кондратьева М.	2521.
Клячко Ц.	2500.
Книпович Е.	3529.
Кнорре Ф.	3887.
Княжнин Я Б.	1690.
Княжника Е. А.	1690.
Князев Ю.	4881.
Князева Л.	2596.
Кобец-Филимонова Е.	2082.
Кобзева А.	2562.
Кобрин В.	2950.
Ковалев П.	2083.
Ковалева Г.	4756, 4803.
Ковалева М.	4882.
Ковалева-Шереметева П. И.	1690.
Коваль Ю.	645—647, 2500—2501.
Ковальчук А.	2084.
Ковачева-Вылева Н.	4415.
Ковнацкая М.	2324.
Ковский В.	3195.
Ковынев Б.	1312.
Коган Е.	4521.
Коган П.	1316, 2545.
Коган С.	648, 2534, 2563.
Когер Х.	2966.
Кожевина Г.	2986.
Кожевников А.	650.
Кожевников В.	43, 3530, 4339.
Кожевникова Н.	4522.
Кожевникова Т.	2807.
Кожедуб И.	651.
Кожина Д.	4805.
Кожинов В.	3744.
Козачинекий А.	652.
Козлов А.	1029.
Козлов В.	1033, 2510.
Козлов Вильям.	653—656, 2120.
Козлов И.	3154.
Козлов И. И.	1721.
Козлов С.	657—660, 2500—2501, 2564, 3076—3078.
Козлов Э. П.	2959.
Козлова Л.	2943.
Козловский Е.	2735—2736.
Козловский Я.	2025, 2513, 4122, 4310.
Козубская Е.	2133.
Козырь В.	4741.
Койдан С.	661.
Койн И.	2355.
Коканда В.	2325.
Коковин Е.	662—663, 2501.
Кокорев Г.	2699.
Колабухин В.	1377.
Колас Я.	2085, 2123.
Колдуэлл Э.	2408.
Колева Г.	2328.
Колесников С.	2512.
Колесникова М.	3745.
Колесникова Н.	979.
Колесов Б.	664.
Колесова Л.	3155, 3531.
Колин В.	2356, 2394.
Колина О.	4666.
Коломиец А.	4523.
Коломиец Т.	2508.
Колосов Л.	666.
Колосов М.	667—670.
Колосова Н.	2804.
Колотухин Р.	671.
Колпакова Н.	672—674, 1864.
Колтунов Л.	1118.
Колчин В.	2490.
Колычев О.	1472.
Кольцов А. В.	1650, 1721, 2511.
Кольцов М.	1045, 3532.
Коляструк Н.	675.
Комаристый Н. Е.	2823.
Комаров А.	676.
Комаров В.	2751.
Комаров Л.	3964.
Комаров П.	1301, 1425.
Комарова Г.	2515.
Комаровская Ж.	4768.
Комина Р. В.	3289.
Комиссарова А.	495, 979.
Компанией В. Г.	320.
Кон Л.	2494, 2840.
Конграинс Мартин Э.	2342.
Конгро А.	649.
Кондорская В.	4750.
Кондратов А.	2699.
Кондратьев А.	2501.
Кондратьев Ю.	2303, 4363.
Кондрашенко Л.	2566, 2908, 2964.
Кондрашов В.	1377.
Кондырев Л.	677—677-а
Конев И. С.	2667, 3746.
Конецкий В.	495.
Конин Г.	400, 2925.
Конкка У. С.	2248.
Коновалов В.	2500.
Кононенко В.	2954.
Кононов А.	678, 2494, 2840.
Кононов Н. Н.	3158.
Кононова В.	2926.
Коноплева В.	4667.
Коноплева М.	4713, 4242, 4769.
Константинов В.	2565.
Константинов К.	2510.
Константинова И.	1316.
Константиновский М.	2752—2755, 3079—3080.
Концевая Е.	713.
Кончаловская Н.	679, 2501, 2640, 2756, 3747-3750.
Коньяков В.	576.
Копейкина Н.	3751.
