Ахматова А.	1171, 2640—2641, 3552
Ахмедов Р.	64
Ахмедова А.	4066, 4915
Ахмет А.	2056
Ахметгалиев М.	2643
Ахундова А.	2335, 2337, 2393, 2620
Ахунов Г.	2265, 4298, 4351
Баал Хабырыыс.	2057
Бабаев Э.	65, 372, 1819, 2559, 3318—3319
Бабаков Г.	66
Бабиченко Д.	2699
Бабишин С.	3486
Бабошина О.	2334
Бавина В.	3897—3898
Багандов Г.-Б.	2058, 2119, 2757, 4295
Багиров Э.	2896
Багно Н.	68
Багонин В.	2590
Багразян Г.	69
Баграмян И.	4067
Багрицкий Э.	999, 2628, 2634, 2728, 3676
Багрянцев Б.	3060
Бадашкин А.	1426
Бадер О.	1143
Бадигин К.	70
Бадмаев Ц.-Б.	2059, 2590, 2626, 3224
Бажов П.	71—75, 2593, 2707, 2727, 4008—4009
Базай Р. Ю.	1412
Байбурин Г.	2077
Байгушев А.	547, 3643
Байдерин Виктор.	76
Байдерин Владимир.	77—78
Баймурадов А.	2060
Байнхауэр Х.	425
Байрамов Н.	143, 1058
Байрамукова Н.	4299
Байрон Дж.-Г.	2458
Бакалдин В.	79—81
Бакбергенов С.	2061, 2587
Бакиров У.	2062
Бакланов Г.	82, 255, 4084
Бакланова Х.	2960
Бакозода Н.	2063
Бакунц А.	2051
Балакирев Ю.	424—425
Баландин Р.	2777
Балаховская И.	3233, 5033
Балашова Л.	3511—3513
Балданжабон Ж.	2064
Балебин Г.	2963
Балкаров К.	2338
Балкарова Ф.	2065
Балл Г.	83, 534, 2527
Баллод И.	2526
Балтер Б.	2617
Балыков Н.	2960
Бальзак О. де.	2410—2414
Бальмонт К. Д.	2616
Бальцежак Я.	2436
Балясная Л.	5277
Банина Н.	2823
Банк Н.	467, 3241, 3258, 3899, 4068, 4861
Баныкин В.	84—85, 3224
Барабаш В.	86
Баракова И.	4984
Бараковская Ем.	4494
Баранов С.	87
Баранова А.	2933
Баранова М. А.	5114
Баранько А.	2875
Баратынский Е. А.	1640—1643, 2608, 2616, 2632—2633
Барбье О.	2458
Бардыкова Н.	4448
Барков А.	88—91, 2607—2608, 2756, 3135—3136
Баркова Т.	4993, 5102
Барнаев С.	2619
Барский Ю.	3033
Бартковская А.	3900
Барто А.	92—105, 999, 1136, 2589, 2606—2608, 2618, 2634, 2652, 2756—2757, 3224, 3308, 3676, 4119, 4240
Барто П.	106,
Баруздин С.	107—112, 614, 1057, 1209, 1221, 1329, 2269, 2587, 2606, 2608, 2622, 2756, 2933, 3564, 3644—3645, 4300, 4309, 4352—4353
Басина М.	3320—3321
Басихин Ю.	496, 3646
Баскаков В.	113, 2832
Басов Н.	4879, 4892, 4900
Баталов В.	437, 2066
Батин М.	3647
Батров А.	115
Батсух Л.	4570
Батсуурь Д.	4572
Батуев А.	463, 2823—2824, 3034
Батюшков К. Н.	2610
Баум Ф.	280, 282
Бауэр А.	925
Бахметьева С.	3901
Бахмутская И.	4985, 5115
Бахревский А.	2756
Бахревский В.	116, 2607
Бахшиев М.	2591
Бацылев Е.	4645, 4687
Башмаков П.	2636
Башмаков С.	2624
Баюканский А.	117
Баялинов К.	2067
Бебан М.	2602
Бегак Б.	3216, 3225, 3233, 3259—3261, 3486—3487, 3691, 3902—3904, 4172—4173, 4495—4496
Бедарев О.	265, 2606
Бедник Н.	839—840, 4664
Беднов В.	2630
Бедный Д.	999, 2616, 2634, 2642
Бежански М.	2672
Безбожный В. В.	1440
Безруков В.	118
Безруч П.	2458
Безуглов А.	119
Безыменский А.	999, 2634, 2642, 2728
Безъязычный В.	3613, 3621, 4287
Бейшеналиев Ш.	2068, 2838
Бек А.	552
Белевич А.	1418
Беленков С.	120
Беленькая Л.	4993, 5116—5117
Беленькая Ф.	3648
Беленький Г.	5118—5119
Беликов Г.	2933
Белинович Н.	2355
Белинский В.Г.	1659, 1664, 1785, 3322—3329, 3428—3429
Белобородов А. П.	10
Белов В.	121
Белов Л.	122
Белов М.	2823, 4354
Белов С.	1681, 3330
Белова Б.	2608
Белозеров Т.	123—124, 2607—2608
Беломлинский М.	2603
Белоусов В.	2823, 3033—3034
Белоусов В. А.	2778
Белоусов В. Н.	2779
Белоусов Р.	3217, 3331—3332, 4497—4498
Белоусова М.	3326
Бельгожина Л.	5111
Беляев А.	125—128, 2962
Беляев А.П.	1074, 3137—3138
Беляев Б.	3858
Беляев В.	129—130, 3224
Беляева Л.	5120
Белявская Л.	3000, 3048
Беляков В.	3045
Беляков И.	131—133, 2756
Беляков Л.	1426
Бенашвили Н.	1242, 1483
Бенуа А.	3924
Беранже Ж.-П.	2458, 2610
Берберова Н.	134
Берг А. И.	2858
Берггольц О.	135, 1136, 1171, 2640—2641, 2728
Бердников Г.	3333
Береговая М.	2653
Бережной И.	2780
Береза В.	4986
Березов Ю.	2921
Берендгоф Н.	2607—2608, 2757
Берестецкий В.	3044
Берестов В.	23, 136—143, 2327, 2393, 2516, 2589, 2607—2608, 2620, 2623, 2756
Берзер А.	4295
Берман Л.	4862
Бернс Р.	2458, 2610
Берсанов Х.-А.	2211
Берулава Х.	2642, 5266
Бессараб М.	3334
Бестужев-Марлинский А. А.	3024
Бетев С.	2792
Бехер И.	2458
Бешляга В.	2069
Бешлягэ В.	2286
Бжехва Я.	2516, 2603, 2608
Бианки В.	144—159, 2607, 2618, 3676, 3990
Бианки В.	4859
Бикбай Б.	2284
Биккол Ш.	2070
Биккулов Ш.	962
Бикчентаев А.	2071, 2647
Биленко З.	2782
Биленко М.	3488
Билинкис Я.	3488
Биндер Л.	4499
Бинз А.	2415
Бирман А.	2971
Бирюков В.	337, 2603, 2623
Бирюлин Г.	160
Биссет Д.	2706
Бисти Д.	4688—4689, 4706
Бичерова Т.	4988
Благинина Е.	123, 161—166, 2606—2607, 2618, 2620, 3564, 3649, 4882
Благой Д.	948, 1825—1827, 3335, 3553—3554, 3650
Блейк У.	2458
Близненкова В.	5033
Близнец В.	2072
Блиндер Р.	5122
Блинов А.	2603, 2608
Блинов Анатолий.	167
Блинов Андрей.	168—169
Блинов Г.	170, 3139—3140
Блинова Л.	3112
Блок А.	171—183, 2595—2615, 2618, 2632—2633, 2644—2645
Блок Г.	184
Блок М.	5123
Блудов М.	2783
Блюхер В. К.	2868
Бляхин П.	185
Бобков Ф.	2623
Бобович Б.	4101
Боборико М.	186
Бобров В.	2832
Бобылев Ф.	188
Богатков Б.	1136
Богатурия Ю.	3109
Богатырева С.	679, 2784
Богатырева Ю.	4989
Богданов В.	2785, 2865, 4678
Богданов Е.	189—190
Богданов М.	2600
Богданов Н.	191—198, 539, 552, 1193, 1236, 1329, 2606, 2838, 2962, 3141, 3651, 4120
Богданов О.	2728
Богданова Д.	2963
Богданович А.	199
Богино Г.	3061
Боголепов П.	3336
Боголюбская М.	2571, 2586, 2620
Богомазов С.	721, 2689—2690, 2727
Богомолов В.	200—202, 568
Богомолов З.	987, 3652—3653
Богоров А.	2823
Богословский Н.	1884—1885, 1898, 1925, 3337—3338
Богоявленский П.	439, 3654
Богуславский В.	3218
Богушевская Х.	2672
Бодлер Ш.	2458
Бодровец К.	2963
Божко З.	4990
Бойко Г.	2073, 2589
Бойко С.	2786
Болдырев А.	2787
Болдырев В.	925
Болотин С.	3015—3016
Болховитинов В.	3062
Большак В.	2074
Большаков В.	203, 3339
Большаков Л.	3339, 4301
Бондарев Ю.	552, 2587, 3219, 4275, 4424
Бондаренко В.	4427
Бондаренко Вен.	204—206, 2623, 2630, 2636
Бондаренко Вл.	204—206, 2623, 2630, 2636
Бондаренко М.	3224
Бондарук Н.	2608
Бондарчик С.	207
Бонди С.	1822, 3340
Бонтан А.	2416
Бонч-Бруевич В. Д.	208—210, 2606, 2618, 2622
Бончковский И.	2788
Боотур Б.	2587
Бор М.	2458
Борбугулов М.	4295
Борде И.	2654
Борисенко Н.	3063
Борискин Н.	211
Борисов Б.	2838, 3252
Борисов В.	3064
Борисов И.	212
Борисова В.	3224
Борисова М.	213—214
Борисова-Ветрова Е.	4356
Боровик Э.	4557
Боровиков Г.	215
Боровский А.	4690
Бороздин В.	216, 2608
Воронецкий И.	934, 3224, 4917
Борченко А.	217
Босев А.	934, 948, 2417, 2516, 2672, 4500
Боске А.	2516
Босняцкий Е.	988, 1472
Бостром А.	2605
Ботев Х.	2458, 2607
Ботков В.	218
Ботникова А.	3680
Боцу П.	3545
Бочарников В.	219, 2607
Бочарникова Э.	2789
Бочаров Г.	4135
Бочек А.	424—425
Бочкарева М.	4985
Брагин В. А.	220
Брагин В. Г.	221
Брагинский В.	3044
Брагинский Э.	187
Бражкин И.	3341, 3555
Браиловская Г.	222—224
Брайнина Б.	3908, 4449—4450
Брандис Евг.	2420, 2424, 2441—2442, 3225, 3262, 4107, 4451—4452, 4501
Браницкая Л.	2626
Брансбург С.	1
Брауде Л.	2562, 3033, 3225, 4453—4454
Браун Н.	2642
Браунинг Р.	2458
Бревдо Б.	3033
Бредель В.	2418
Бреев Б.	2711
Бременер М.	2464, 3263, 3909
Брехт Б.	2458, 2516
Бритаев С.	2330, 2368
Бровка П.	2642, 2756, 4309
Бровман Г.	4204
Бродский А.	226—227
Бродский Б.	2790
Бродский И.	1507—1508, 3655
Бродский С.	4771
Бромлей Н.	2607—2608, 2756, 2838, 2950
Бромлей Н. К.	3065
Бромлей Н. Н.	228
Броневский В.	2458
Брошкевич Е.	4589
Брудный Д.	4357
Брумберг В.	2472
Брумберг З.	2472
Брусиловский А.	4771
Брыжинский И.	2075
Брыль Я.	2076
Брюсов В. Я.	2610, 2633, 3225
Брянский Л.	4883
Брянцев А.	1426
Брянцева В.	2791
Брянцева Л.	229—230, 3142—3144
Бубнис В.	4863
Бубнов А.	5001
Бугаенко П.	3776
Бугров В.	3000—3001
Буденный С М.	2868
Будогоская Г.	3698
Буженко Т.	4358
Бузукашвили М.	4069
Букринский Э.	3001
Буланкова Л.	3224
Булат В.	2793
Булатов М.	1950, 1978, 1980—1983, 1985—1988, 2011, 2127, 2617—2618, 2620
Булатова Л.	231
Булучевский Ю.	2794
Булычев К.	232, 925
Булычева А.	233
Булышкина И.	2655
Буляков Д.	2077
Бунин И А.	1644—1646, 2599, 2608, 2611—2612, 2632—2633, 2638, 2645
Бунин П.	3556—3559, 4691
Буравин Г.	4999
Бурдов Н.	2963
Буркитбаева С.	5018
Бурлаков Н.	3656
Бурнашева К.	5124
Буров А.	2656
Бурсов Б.	3342
Бурсов И.	234
Буртин Ю.	1633
Бурштейн Б.	372
Бурыличев В.	2657
Бурылов Б.	372
Буссевитц В.	4502
Буткова М.	2753, 4991
Буторина Е.	4668, 4680
Бутусов М.	3034
Буханов В.	3080
Бухар А.	235
Бухштаб Б.	2795
Бушелева Б.	2795
Бушина Е.	5274, 5278
Бушмакин В.	3224
Бушмин А.	1833, 3344
