author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex
"Айтматов, Ч. Т.",Б-ка мировой лит д детей,повесть,1985,407000,NA,NA,NA,NA,Москва,м
"Алексин, А. Г.",Б-ка мировой лит д детей,повесть,1985,407000,NA,NA,NA,NA,Москва,м
"Алексин, А. Г.",Сигнальщики и Горнисты,повесть,1985,200000,NA,NA,1,NA,Москва,м
"Алмазов, Б. А.",Оглянись! 1,повесть,1988,150000,1,NA,NA,NA,Ленинград,м
"Алмазов, Б. А.",Посмотрите - я расту,повесть,1985,150000,1,NA,NA,NA,Ленинград,м
"Артюхова, Н. М.",Большая береза,рассказ,1988,450000,1,NA,NA,NA,Москва,ж
"Астафьев, В. П.",Васюткино озеро,рассказ,1985,50000,1,NA,NA,NA,Красноярск,м
"Багров, С. П.  ",Белые сени,повесть,1986,150000,1,NA,NA,NA,Ленинград,м
"Баныкин, В. И.","Там, где живут березы",рассказ,1985,150000,1,NA,NA,NA,Москва,м
"Бахревский, В. А.",Арсюша и другие шестилеточки,повесть,1990,150000,1,NA,NA,NA,Москва,м
"Бачинская, С. В.","Про силу воли и клубничное варенье, а также другие веселые истории",рассказ,1989,100000,1,NA,NA,NA,Алма-Ата,ж
"Белокрылов, В. А.",У себя дома,повесть,1985,30000,NA,1,1,NA,Воронеж,м
"Богомолов, В. О.",Иван и Зося,повесть,1985,300000,NA,1,NA,NA,Москва,м
"Бодрова, А. Г.",За синей каемочкой горизонта,повесть,1985,100000,1,NA,NA,NA,Ленинград,ж
"Борисова, М. И.",Добро по кругу,рассказ,1987,150000,1,NA,NA,NA,Ленинград,ж
"Бочкарев, Б. И.",Лазурный цвет земли,повесть,1985,150000,1,NA,NA,NA,Ярославль,м
"Верещагин, Д. И.",Большая улица,повесть,1985,100000,1,NA,NA,NA,Москва,м
"Вольф, С. Е.",Хороша ли для вас эта песня без слов?,повесть,1987,100000,NA,1,NA,NA,Ленинград,NA
"Воронкова, Л. Ф.",Девочка из города,повесть,1985,300000,1,NA,NA,NA,Ростов на Дону,ж
"Воронкова, Л. Ф.",Подружки идут в школу,повесть,1985,2000000,1,NA,NA,NA,Москва,ж
"Воронов, Н. П.",Голубиная охота,повесть,1985,100000,NA,1,1,NA,Москва,м
"Воронцов, А. П.",Юнгаши,повесть,1985,100000,NA,1,1,NA,Ленинград,м
"Воронцов, А. П.",Юнгаши,повесть,1986,100000,NA,1,1,NA,Ленинград,м
"Воронцов, А. П.",Юнгаши,повесть,1987,100000,NA,1,1,NA,Ленинград,м
"Воронцов, А. П.",Юнгаши,повесть,1988,100000,NA,1,1,NA,Ленинград,м
"Воропаев, С. В.",Подстреленное детство,повесть,1986,15000,NA,NA,1,NA,Мурманск,м
"Воскобойников, В. М.","Девочка, мальчик, собака",повесть,1986,100000 ,NA,1,NA,NA,Ленинград,м
"Воскобойников, В. М.",Картины из села Гаврилово,повесть,1986,100000 ,NA,1,NA,NA,Ленинград,м
"Гайдар, А. П.",Судьба барабанщика,рассказ,1985,150000,NA,NA,NA,NA,Душанбе,м
"Гайдар, А. П.",Судьба барабанщика,повесть,1985,600000,1,NA,NA,NA,Москва,м
"Гайдар, А. П.",Тимур и его команда,повесть,1985,100000,1,NA,NA,NA,Москва,м
"Гайдар, А. П.",Школа,повесть,1985,125000,NA,1,NA,NA,Казань,м
"Гарин-Михайловский, Н. Г.",Гимназисты,повесть,1985,200000,NA,NA,1,NA,Минск,м
"Гарин-Михайловский, Н. Г.",Детство Темы,повесть,1985,200000,NA,NA,1,NA,Минск,м
"Гарин-Михайловский, Н. Г.",Детство Темы,повесть,1985,50000,1,1,NA,NA,Новосибирск,м
"Гартунг, Л. А.",Нельзя забывать…,повесть,1985,15000,NA,1,1,NA,Новосибирск,м
"Гиневский, А. М.",Везучий Борька,рассказ,1985,100000,1,NA,NA,NA,Ленинград,м
"Григорович, Д. В.",Гуттаперчивый мальчик,повесть,1985,250000,1,NA,NA,NA,Кемерово,м
"Домаров, К. В.  ",Наши крестьянские звезды,рассказ,1988,115000,1,1,NA,NA,Киев,м
"Драгунский, В. Ю.",Девочка на шаре,рассказ,1985,100000,1,NA,NA,NA,Москва,м
"Дружинин, Н. К.",Лицом к огню ,повесть,1987,100000,NA,1,1,NA,Москва,м
"Дубов, Н.",Б-ка мировой лит д детей,повесть,1985,407000,NA,NA,NA,NA,Москва,м
"Душин, А. И.",Петя Поткин и другие,повесть,1985,15000,NA,1,1,NA,Саранск,м
"Емельянов, А. М.",Донькина деревня,повесть,1985,15000,1,NA,NA,NA,Йошкар-Ола,м
"Железников, В. К.",Повести,повесть,1985,100000,NA,1,NA,NA,Москва,м
"Жигалов, С. А.",Не пускайте собаку на минное поле,повесть,1985,50000,NA,1,1,NA,Куйбышев,м
"Жуков, Н. С.",Маленький почтальон ,повесть,1989,65000,1,1,NA,NA,Харьков,м
"Зубенко, И. А.",Судите сами,повесть,1986,15000,NA,1,1,NA,Краснодар,м
"Иванов, А. А.",Билет туда и обратно,повести,1985,75000,NA,1,NA,NA,Москва,м
"Иванов, С. А.",«Лето я провела хорошо...»,рассказ,1986,900000,1,NA,NA,NA,Москва,м
"Иванов, С. А.",Его среди нас нет,повесть,1985,100000,1,1,NA,NA,Москва,м
"Ивенин, В. А.",На тропинке детства ,повесть,1987,15000,1,NA,NA,NA,Саранск,м
"Икрамов, К. А.",«Славно за бугром коней пасти...»,повесть,1989,100000,NA,NA,1,NA,Москва,м
"Каверин, В. А.",Два капитана,роман,1985,200000,NA,1,1,NA,Киев,м
"Каверин, В. А.",Два капитана,роман,1985,200000,NA,1,1,NA,Москва,м
"Каленова, Т. А.",А рядом - море,повесть,1988,NA,NA,NA,NA,NA,Томск,ж
"Каликин, П. А.",Минька,повесть,1985,50000,1,NA,NA,NA,Алма-Ата,м
"Камалов, Ф.",Где моя собака,рассказ,1985,100000,1,NA,NA,NA,Москва,м
"Карасева, В. Е.",Так и было,рассказ,1985,200000,1,NA,NA,NA,Киев,ж
"Касаткин, М. И.",Первозимок,рассказ,1985,65000,NA,NA,NA,NA,Москва,м
"Кассиль, Л. А.",Великое противостояние,повесть,1985,50000,NA,1,1,NA,Горький,м
"Кассиль, Л. А.",Кондуит и Швамбрания,повесть,1985,100000,NA,1,NA,NA,Москва,м
"Катаев, В. П.",Белеет парус одинокий,повесть,1985,200000,NA,1,NA,NA,Москва,м
"Катаев, В. П.",Белеет парус одинокий,повесть,1986,100000,NA,NA,NA,NA,Киев,м
"Катаев, В. П.",Сын полка,повесть,1985,100000,NA,1,NA,NA,Алма-Ата,м
"Катаев, В. П.",Сын полка,повесть,1985,100000,1,NA,NA,NA,Москва,м
"Ким, А. А.",Федина избушка ,рассказ,1988,150000,1,NA,NA,NA,Москва,м
"Киндер, И. Ф.",Колесо,повесть,1985,150000,1,1,NA,NA,Казань,м
"Киндер, И. Ф.",Колесо,рассказ,1987,30000,NA,1,NA,NA,Казань,м
"Климов, В. В.",Часовые Атамановой горы,повесть,1985,30000,NA,1,NA,NA,Воронеж,м
"Книжник, Г. С.",Петька,повесть,1989,100000,1,NA,NA,NA,Москва,м
"Коваль, Ю. И.",Кепка с карасями,рассказ,1985,100000,1,NA,NA,NA,Москва,м
"Козлов, В. Ф.",Пашкин самолет,рассказ,1989,150000,1,NA,NA,NA,Москва,м
"Кокоулин, Л. Л.",Андрейка,повесть,1987,100000,NA,NA,1,NA,Москва,м
"Колосов, М. М.",Мальчишка,повесть,1985,500000,NA,NA,1,NA,Москва,м
"Коржиков, В. Т.",Пусть посмотрит в глаза граница,повесть,1987,100000,1,NA,NA,NA,Москва,м
"Коробейников, Г. А.",Пещера Рыжего монаха,повесть,1985,100000,NA,1,NA,NA,Москва,м
"Кривомазов, Н. П.",Пропало лето : повесть для юношества в шести магнитофонных записях,повесть,1985,100000,NA,NA,1,NA,Иркутск,м
"Крупин, В. Н.  ",Иван - крестьянский сын,повесть,1986,100000,1,NA,NA,NA,Москва,м
"Кузнецова, А.",Б-ка мировой лит д детей,повесть,1985,407000,NA,NA,NA,NA,Москва,ж
"Кузьмин, Л. И.",Золотые острова,рассказ,1988,100000,1,NA,NA,NA,Москва,м
"Кузьмин, Л. И.",Ключик-замочек ,рассказ,1986,100000,1,NA,NA,NA,Москва,м
"Кузьмин, Л. И.",Под теплым небом,рассказ,1987,60000,1,NA,NA,NA,Пермь,м
"Кузьмин, Л. И.",Полоса невезения,рассказ,1988,100000,1,NA,NA,NA,Москва,м
"Кузьмин, Л. И.",Ранний экспрес,повесть,1988,100000,1,NA,NA,NA,Москва,м
"Кузьмин, Л. И.",Узелок,рассказ,1988,100000,1,NA,NA,NA,Москва,м
"Куликов, А. П.",В городке сибирском,повесть,1985,30000,NA,1,NA,NA,Новосибирск,м
"Куприн, А. И.",Чудесный доктор,рассказ,1985,600000,1,NA,NA,NA,Киев,м
"Леонов, А. Д.",Чей совет дороже? : повесть о юности,повесть,1985,100000,NA,NA,1,NA,Ленинград,м
"Липатов, В. В.",И это все о нем,роман,1985,400000,NA,NA,1,NA,Минск,м
"Лиханов, А. А.",Б-ка мировой лит д детей,роман,1985,407000,NA,NA,NA,NA,Москва,м
"Лиханов, А. А.",Мой генерал,роман,1985,125000,1,NA,NA,NA,Минск,м
"Лиханов, А. А.",Мой генерал,роман,1985,300000,1,NA,NA,NA,Москва,м
"Лихоталь, Т. В.",Одно лето на краю света ,повесть,1989,100000,1,NA,NA,NA,Москва,ж
"Матвеев, Г. И.",Зеленые цепочки,повесть,1985,300000,NA,1,1,NA,Ленинград,м
"Матвеев, Г. И.",Тайная схватка,повесть,1985,300000,NA,1,1,NA,Ленинград,м
"Матвеев, Г. И.",Тарантул,повесть,1985,300000,NA,1,1,NA,Ленинград,м
"Матвеева, Л. Г.",Дарю тебе велосипед,повесть,1985,100000,1,NA,NA,NA,Москва,м
"Медведев, В. В.",Плюс восьмое марта,NA,1986,NA,1,NA,NA,NA,Москва,м
"Медведев, В. В.",Прыжок в известность,рассказ,1986,100000,1,1,NA,NA,Москва,м
"Медведев, В. С.",Огнекрылка,рассказ,1987,NA,1,NA,NA,NA,Ярославль,м
"Медведская, А. Б.",Босиком по снегу ,NA,1988,NA,1,NA,NA,NA,Архангельск ; Вологда,м
