author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,lastname,ntitle
"Конецкий, В.",Если позовет товарищ,Рассказы,1961-01-01,95000,FALSE,TRUE,TRUE,FALSE,Ленинград,м,Конецкий,если позовет товарищ
"Коновалов, Гр.",Вчера,NA,1960-01-01,75000,FALSE,TRUE,TRUE,NA,Саратов,М,Коновалов,вчера
"Коновалова, В.",Прогулки на край света,Рассказы,1976-01-01,100000,TRUE,FALSE,FALSE,NA,Москва,ж,Коновалова,прогулки на край света
Кононенко Е.,Малыш,NA,1947-01-01,75000,FALSE,TRUE,TRUE,FALSE,Москва; Ленинград,NA,Кононенко,малыш
Кононенко Е.,Рассказы о Ленине,Рассказы,1946-01-01,20000,FALSE,TRUE,FALSE,FALSE,Куйбышев,NA,Кононенко,рассказы о ленине
Кононенко Е.,Рассказы о Чапаеве,Рассказы,1947-01-01,NA,TRUE,FALSE,FALSE,FALSE,Москва; Ленинград,NA,Кононенко,рассказы о чапаеве
"Кононенко, Е.",Товарищи,Рассказы,1942-01-01,25000,FALSE,FALSE,TRUE,FALSE,Киров,м,Кононенко,товарищи
Кононов А.,Верное сердце,NA,1952-01-01,30000,FALSE,TRUE,TRUE,NA,Москва; Ленинград,м,Кононов,верное сердце
"Кононов, А. Т.",Имя отряда,NA,1945-01-01,75000,FALSE,TRUE,FALSE,FALSE,Москва; Ленинград,м,Кононов,имя отряда
"Кононов, А.",Повесть о верном сердце.,Повесть,1962-01-01,96000,TRUE,TRUE,FALSE,FALSE,Москва,м,Кононов,повесть о верном сердце
"Кононов, М. Б.",Счастливый Мурашкин,Повесть в рассказах,1983-01-01,100000,TRUE,NA,NA,NA,NA,м,Кононов,счастливый мурашкин
"Кононов, А.",У железного ручья,Повесть,1949-01-01,45000,FALSE,TRUE,TRUE,FALSE,Mосква; Ленинград,м,Кононов,у железного ручья
"Коноплин, Н.",Никита-музыкант,NA,1957-01-01,25000,TRUE,FALSE,FALSE,NA,Воронеж,м,Коноплин,никита музыкант
"Константинов, А. И.",Ординарец начдива,Повесть,1979-01-01,65000,FALSE,TRUE,TRUE,FALSE,Орленко,м,Константинов,ординарец начдива
"Констина, В.",И кончилось детство,Повесть,1982-01-01,50000,NA,TRUE,TRUE,NA,Алма-Ата,ж,Констина,и кончилось детство
"Конторович, Л.",Колька и Наташа,NA,1957-01-01,30000,TRUE,FALSE,FALSE,NA,Челябинск,м,Конторович,колька и наташа
"Контрович, Л.",Колька и Наташа,Повесть,1963-01-01,30000,FALSE,TRUE,FALSE,FALSE,Челябинск,м,Контрович,колька и наташа
Кончаловская Н.,Наша древняя столица,NA,1947-01-01,50000,TRUE,TRUE,FALSE,FALSE,Москва; Ленинград,ж,Кончаловская,наша древняя столица
"Кончаловская, Н.",Наша древняя столица. Картины из прошлого Москвы. Книга третья.,NA,1953-01-01,35000,TRUE,TRUE,FALSE,TRUE,Москва; Ленинград,ж,Кончаловская,наша древняя столица картины из прошлого москвы книга третья
