author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex
"Абрамов, В.","Детские странствия",,1959,200000,0,1,0,,Москва,М
"Александровский, В.","Когда нам семнадцать…",,1959,15000,0,0,1,,Хабаровск,М
"Александровский, В.","Когда нам семнадцать…",,1960,115000,0,1,1,,Москва,М
"Алексин, А.","Важный звонок",,1959,225000,1,0,0,,Москва,М
"Алексин, А.","Говорит седьмой этаж",,1959,115000,1,1,0,,Москва,М
"Алексин, А.","Необычайные похождения Севы Котлова",,1958,165000,0,0,1,,Москва,М
"Аленник, А; Аленник, Э.","Семь приключений Серёжи Стульчикова",,1960,115000,1,0,0,,Ленинград,М;Ж
"Алфёров, В.","На рыбалке",,1959,30000,0,1,0,,Куйбышев,М
"Алфимов, Е.","Дорога домой",,1958,100000,1,1,0,,Смоленск,М
"Аметова, И; Аметова, Э.",Борька,,1959,15000,0,1,0,,Владивосток,Ж;Ж
"Амусина, Р.","Круглая корзинка",,1960,100000,1,0,0,,Ленинград,Ж
"Андронов, С.","Тринадцать мальчишеских лет",,1960,15000,0,1,0,,Воронеж,М
"Анисимова, А.","Голубое перо",,1959,90000,1,0,0,,Пенза,Ж
"Аношкин, М.","Приключения Герки и Павлика на Увильдах",,1959,15000,0,1,0,,Челябинск,М
"Антонов, С.","Встреча в Кремле",,1960,115000,1,0,0,,Москва,М
"Антонов, С.","Валет и Пушок",,1960,115000,1,1,0,,Москва,М
"Антонов, С.","Дальний путешественник",,1960,15000,1,1,0,,Ташкент,М
"Ардаматский, В.","Он сделал всё, что мог",,1960,195000,0,0,1,,Москва,М
"Артищев, М.","Записки семиклассника",,1959,15000,0,1,0,,Оренбург,М
"Артюхова, Н.","Новые соседи",,1960,430000,1,0,0,,Москва,Ж
"Артюхова, Н.",Светлана,,1958,75000,0,0,1,,Москва,Ж
"Астафьев, В.","Тёплый дождь",,1958,115000,1,0,0,,Москва,М
"Баныкин, В.",Мачеха,,1960,150000,0,1,0,,Москва,М
"Баруздин, С.","Про Светлану",,1958,50000,1,1,0,,Минск,М
"Бедарев, О.","Мы с Витькой",,1959,30000,1,0,0,,Москва,М
"Бедарев, О.","Я сын моряка",,1960,300000,1,0,0,,Москва,М
"Берносевич, Г.","Старший брат",,1959,20000,1,0,0,,Минск,Ж
"Богданов, Н.","Когда я был вожатым",,1961,115000,0,1,0,,Москва,М
"Богушевич, Ю.","Дерево дружбы",,1959,50000,0,1,1,,Минск,М
"Боричевская, Е.","Девятый ""Б""",,1959,20000,0,0,1,,Минск,Ж
"Бременер, М.","Лешкина переэкзаменовка",,1958,500000,1,0,0,,Москва,М
"Бременер, М.","Передача ведётся из класса",,1959,30000,0,0,1,,Москва,М
"Верейская, Е.",Таня-революционерка,,1958,12000,1,0,0,,Фрунзе,Ж
"Верейская, Е.","Три девочки. История одной квартиры.",,1958,115000,0,1,0,,Ленинград,Ж
"Верлинский, В.","Новый край",,1960,120000,1,0,0,,Москва,М
"Волошин, А.",Павлушка,,1958,30000,1,0,0,,Кемерово,М
"Воронкова, Л.","Девочка из города",,1960,7000,0,1,0,,Ереван,Ж
"Гайдар, А.","Дым в лесу",,1960,15000,1,0,0,,Ташкент,М
"Гайдар, А.","Тимур и его команда",,1959,75000,0,1,0,,Пермь,М
