author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex
"Журавлев, Е. М.",Все мои друзья,Повесть,1980,15000,0,1,1,0,Йошкар-Ола,м
"Журавлев-Печорский, В. С.",Сторона озер лебединых,Рассказы,1980,50000,0,1,1,0,Москва,м
"Забелин, Б. М. ",Юркино детство,Повесть,1979,15000,0,1,1,0,Ижевск,м
"Зайцев, К. Н.",Я - клоун,Повесть,1979,75000,0,0,1,0,Москва,м
"Закруткин, В. А. ",Матерь человеческая,Повесть,1979,300000,0,0,1,0,Москва,м
"Захаров, С. И. ",Мои мамы,повесть,1980,50000,1,0,0,0,Йошкар-Ола,м
"Зацаринная, А. А.",Звездочка,Рассказы,1979,160000,1,0,0,0,Ярославль,ж
"Зверев, М. Д. ",Белый марал,Повести и рассказы,1980,100000,1,0,0,0,Москва,м
"Зверев, М. Д. ",Волчонок из Бетпак-Далы,Рассказ,1980,150000,1,0,0,0,Москва,м
"Золотовский, К. Д.",Рыба-одеяло,Рассказы,1980,100000,0,1,0,0,Ленинград,м
"Зуев, В.М.",Пылающее озеро ,Повесть,1979,15000,0,1,1,0,Калининград,м
"Зуев, В.М.",Родом из войны,Повесть,1981,15000,0,1,1,0,Калининград,м
"Иванов, С. А.",Бывший Булка и его дочь ,Повесть,1979,100000,1,0,0,0,Москва,м
"Иванов, С. А.","Июнь, июль, август",Повесть,1981,100000,1,0,0,0,Москва,м
"Ивасенко, А. А. ",Когда буду художником,Повесть,1980,150000,1,0,0,0,Ленинград,м
"Ижболдин, В. И. ",Главная улица,Повесть,1979,15000,0,1,1,0,Йошкар-Ола,м
"Икрамов, К. ",Пехотный капитан,Повесть,1980,120000,0,0,1,0,Ташкент,м
"Икрамов, К. ","Скворечник, в котором не жили скворцы",Повесть,1981,100000,0,1,1,0,Москва,м
"Ильинский, Ю. Б.",За ядовитыми змеями,Повесть,1981,100000,0,1,1,0,Москва,м
"Имшенецкая, Н. А.",Искатели метеорита,Повести и рассказы,1981,50000,0,1,0,0,Алма-Ата,ж
"Имшенецкий, В. А.",Зашифрованные маршруты,Повесть,1980,50000,0,0,0,0,Иркутск,м
"Инчин, А. И.",Павлуха-партизан,Повесть,1981,15000,0,1,1,0,Саранск,м
"Исаков, В. З.",Девочка с острова,Повесть и рассказы,1979,100000,0,1,1,0,Москва,м
"Каганов, Э. С.",Гарнизон №17,Повесть,1980,65000,1,0,0,0,Киев,м
"Казаков, Ю. П.",Арктур - гончий пес,Рассказы,1980,100000,1,0,0,0,Москва,м
"Казаков, Ю. П.",Оленьи рога,Рассказы,1980,100000,0,0,1,0,Москва,м
"Кальма, Н.",Книжная лавка близ площади Этуаль,Роман,1979,100000,0,1,1,0,Москва,ж
Камалов Ф.,Война красного Лиса,Повесть,1981,60000,0,0,0,0,Ташкент,м
Камалов Ф.,"Здравствуй, Артем!",Повесть,1981,75000,0,1,0,0,Москва,м
Камалов Ф.,Кто будет жить у желтой горы,Рассказы,1980,100000,1,0,0,0,Москва,м
"Канделаки, Р. Е.",Бродил художник по городу,Повесть,1979,75000,0,1,1,0,Москва,м
"Канторович, Л. В.",Александр Коршунов,Повесть,1980,200000,0,0,0,0,Ленинград,м
"Карасева, В. Е.",Так и было,Рассказы,1979,50000,1,0,0,0,Киев,ж
"Карелин, Л. В.",Девочка с красками,Повесть,1981,150000,0,1,0,0,Москва,м
"Кариаева, Т. Х.",Трудные ступени,Повесть,1979,15000,0,1,0,0,Иркутск,ж
"Каримов, Р. ",Волшебная сумка,Повесть,1981,10000,0,1,0,0,Душанбе,м
"Карпенко, Г. В.",Клятва на мечах,Повесть,1979,100000,1,0,0,0,Москва,м
